This file was created by using the 202605 CRSP database.  It,,
contains a momentum factor, constructed from six value-weight portfolios formed,
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
MOM is the average of the returns on two (big and small) high prior return portfolios,,
minus the average of the returns on two low prior return portfolios.  The portfolios,,
are constructed daily.  Big means a firm is above the median market cap on the NYSE,,
at the end of the previous day; small firms are below the median NYSE market cap.,,
Prior return is measured from day - 250 to - 21.  Firms in the low prior return,,
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above,,
the 70th NYSE percentile.,,
,,
Missing data are indicated by -99.99 or -999.,,
,,
,Mom,
19261103,0.35,
19261104,-0.61,
19261105,1.15,
19261106,-0.18,
19261108,-0.05,
19261109,0.19,
19261110,0.31,
19261111,-0.94,
19261112,-0.4,
19261113,0.4,
19261115,0.09,
19261116,0.03,
19261117,0.19,
19261118,0.52,
19261119,0.21,
19261120,-0.62,
19261122,-0.12,
19261123,0.33,
19261124,-0.47,
19261126,-0.18,
19261127,0.51,
19261129,-0.09,
19261130,0.38,
19261201,-0.01,
19261202,-0.06,
19261203,-0.68,
19261204,0.04,
19261206,0.21,
19261207,0.15,
19261208,0.16,
19261209,-0.45,
19261210,-0.09,
19261211,-0.34,
19261213,-0.79,
19261214,0.43,
19261215,-0.09,
19261216,0.02,
19261217,0.16,
19261218,-0.11,
19261220,0.64,
19261221,0.59,
19261222,-0.02,
19261223,0.39,
19261224,0.2,
19261227,0.25,
19261228,0.3,
19261229,-0.11,
19261230,-0.03,
19261231,-0.66,
19270103,-0.01,
19270104,-0.28,
19270105,-0.49,
19270106,-0.14,
19270107,0.59,
19270108,-0.61,
19270110,0.18,
19270111,0.26,
19270112,0.43,
19270113,0.34,
19270114,0.55,
19270115,0.75,
19270117,-0.1,
19270118,-0.23,
19270119,-0.43,
19270120,-0.04,
19270121,0.78,
19270122,0.35,
19270124,0.26,
19270125,-0.11,
19270126,0.33,
19270127,-0.16,
19270128,0.46,
19270129,0.48,
19270131,0.61,
19270201,-0.23,
19270202,-0.19,
19270203,0.41,
19270204,-0.7,
19270205,0.03,
19270207,-0.28,
19270208,-0.26,
19270209,-0.16,
19270210,-0.13,
19270211,-0.08,
19270214,0.4,
19270215,0.32,
19270216,0.35,
19270217,0.52,
19270218,0.34,
19270219,-0.35,
19270221,-0.19,
19270223,0.14,
19270224,-0.06,
19270225,-0.52,
19270226,0,
19270228,0.37,
19270301,0.23,
19270302,-0.35,
19270303,0.72,
19270304,-0.29,
19270305,-0.13,
19270307,0.28,
19270308,-0.03,
19270309,0.32,
19270310,0.37,
19270311,0.54,
19270312,-0.64,
19270314,0.44,
19270315,-0.2,
19270316,1.07,
19270317,0.22,
19270318,-0.24,
19270319,0.02,
19270321,0.29,
19270322,-0.54,
19270323,-0.14,
19270324,0.89,
19270325,0.18,
19270326,-0.46,
19270328,0.48,
19270329,0.55,
19270330,0.65,
19270331,-0.06,
19270401,0.48,
19270402,-0.07,
19270404,0.98,
19270405,0.25,
19270406,-0.12,
19270407,-0.24,
19270408,0.92,
19270409,0.91,
19270411,-0.21,
19270412,-0.69,
19270413,-0.17,
19270414,-0.34,
19270416,0.36,
19270418,0.38,
19270419,0.06,
19270420,-0.1,
19270421,0.2,
19270422,0.47,
19270423,0.25,
19270425,-0.54,
19270426,0.57,
19270427,1.02,
19270428,-0.41,
19270429,0.24,
19270430,0.08,
19270502,0.52,
19270503,0.54,
19270504,-0.6,
19270505,-0.48,
19270506,-0.07,
19270507,-0.21,
19270509,0.55,
19270510,0,
19270511,-0.41,
19270512,-0.15,
19270513,0.96,
19270514,-0.17,
19270516,-0.04,
19270517,0.76,
19270518,0.59,
19270519,0.37,
19270520,0.04,
19270521,-0.58,
19270523,0.92,
19270524,-0.21,
19270525,0.21,
19270526,-0.36,
19270527,0.76,
19270528,0.06,
19270531,0.67,
19270601,1.77,
19270602,0.05,
19270603,-0.59,
19270604,0.56,
19270606,0.26,
19270607,-0.5,
19270608,-0.28,
19270609,-0.05,
19270610,-0.35,
19270611,-0.05,
19270614,-0.72,
19270615,0.88,
19270616,0.62,
19270617,0.52,
19270618,0.03,
19270620,-0.22,
19270621,0.22,
19270622,0.13,
19270623,-0.58,
19270624,0.31,
19270625,0.59,
19270627,-0.3,
19270628,-0.1,
19270629,-0.08,
