cik,ticker,company_name,company_name_normalized
1750,AIR,AAR CORP,aar
1800,ABT,ABBOTT LABORATORIES,abbott laboratories
2098,ACU,ACME UNITED CORP,acme united
2186,BKTI,BK Technologies Corp,bk technologies
2230,ADX,"ADAMS DIVERSIFIED EQUITY FUND, INC.",adams diversified equity fund
2488,AMD,ADVANCED MICRO DEVICES INC,advanced micro devices
2809,AEM,AGNICO EAGLE MINES LTD,agnico eagle mines
2969,APD,"Air Products & Chemicals, Inc.",air products & chemicals
3124,AKZOF,AKZO NOBEL NV,akzo nobel nv
3124,AKZOY,AKZO NOBEL NV,akzo nobel nv
3197,CECO,CECO ENVIRONMENTAL CORP,ceco environmental
3453,MATX,"Matson, Inc.",matson
3499,ALX,ALEXANDERS INC,alexanders
3545,ALCO,"ALICO, INC.",alico
3570,LNG,"Cheniere Energy, Inc.",cheniere energy
4127,SWKS,"SKYWORKS SOLUTIONS, INC.",skyworks solutions
4281,HWM,Howmet Aerospace Inc.,howmet aerospace
4457,UHAL,U-Haul Holding Co /NV/,u-haul holding co /nv/
4457,UHAL-B,U-Haul Holding Co /NV/,u-haul holding co /nv/
4904,AEP,AMERICAN ELECTRIC POWER CO INC,american electric power
4962,AXP,AMERICAN EXPRESS CO,american express
4977,AFL,AFLAC INC,aflac
5094,VBF,Invesco Bond Fund,invesco bond fund
5272,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",american international group
5513,UNMA,Unum Group,unum group
5513,UNM,Unum Group,unum group
5981,AVD,AMERICAN VANGUARD CORP,american vanguard
6176,AP,AMPCO PITTSBURGH CORP,ampco pittsburgh
6201,AAL,American Airlines Group Inc.,american airlines group
6207,AXR,AMREP CORP.,amrep
6281,ADI,ANALOG DEVICES INC,analog devices
6845,APOG,"APOGEE ENTERPRISES, INC.",apogee enterprises
6951,AMAT,APPLIED MATERIALS INC /DE,applied materials inc /de
6955,EPAC,ENERPAC TOOL GROUP CORP,enerpac tool group
7084,ADM,Archer-Daniels-Midland Co,archer-daniels-midland
7323,EAI,"ENTERGY ARKANSAS, LLC",entergy arkansas
7431,AWI,ARMSTRONG WORLD INDUSTRIES INC,armstrong world industries
7536,ARW,"ARROW ELECTRONICS, INC.",arrow electronics
7623,ARTW,ARTS WAY MANUFACTURING CO INC,arts way manufacturing
7789,ASB-PE,ASSOCIATED BANC-CORP,associated banc-corp
7789,ASB-PF,ASSOCIATED BANC-CORP,associated banc-corp
7789,ASBA,ASSOCIATED BANC-CORP,associated banc-corp
7789,ASB,ASSOCIATED BANC-CORP,associated banc-corp
8063,ATRO,ASTRONICS CORP,astronics
8063,ATROB,ASTRONICS CORP,astronics
8146,ALOT,"AstroNova, Inc.",astronova
8177,AAME,ATLANTIC AMERICAN CORP,atlantic american
8504,UAVS,AgEagle Aerial Systems Inc.,ageagle aerial systems
8670,ADP,AUTOMATIC DATA PROCESSING INC,automatic data processing
8818,AVY,Avery Dennison Corp,avery dennison
8858,AVT,AVNET INC,avnet
8947,AZZ,AZZ INC,azz
9092,BMI,BADGER METER INC,badger meter
9326,BCPC,BALCHEM CORP,balchem
9389,BALL,BALL Corp,ball
9521,BCV-PA,BANCROFT FUND LTD,bancroft fund
9521,BCV,BANCROFT FUND LTD,bancroft fund
9631,BNS,BANK OF NOVA SCOTIA,bank of nova scotia
10048,BRN,BARNWELL INDUSTRIES INC,barnwell industries
10329,BSET,BASSETT FURNITURE INDUSTRIES INC,bassett furniture industries
10456,BAX,BAXTER INTERNATIONAL INC,baxter international
10795,BDX,BECTON DICKINSON & CO,becton dickinson &
11544,WRB,BERKLEY W R CORP,berkley w r
11544,WRB-PG,BERKLEY W R CORP,berkley w r
