cik,breach_date,executive_change_30d,executive_change_90d,executive_change_180d,num_item5_02_filings_180d,days_to_first_item_5_02
1136893,2023-10-03,0.0,0.0,1.0,3.0,121.0
63908,2025-01-12,1.0,1.0,1.0,3.0,5.0
1324404,2018-01-08,0.0,0.0,0.0,0.0,
718877,2022-12-02,1.0,1.0,1.0,2.0,14.0
718877,2012-08-01,1.0,1.0,1.0,4.0,26.0
5272,2017-03-10,1.0,1.0,1.0,5.0,0.0
796343,2013-09-11,0.0,0.0,1.0,1.0,140.0
796343,2019-10-19,0.0,0.0,1.0,2.0,103.0
796343,2013-09-17,0.0,0.0,1.0,1.0,134.0
1283699,2025-02-23,1.0,1.0,1.0,3.0,26.0
1091667,2020-12-06,1.0,1.0,1.0,2.0,22.0
5272,2018-10-29,0.0,1.0,1.0,4.0,39.0
5272,2019-03-04,1.0,1.0,1.0,1.0,1.0
1324404,2020-06-01,0.0,0.0,0.0,0.0,
927628,2020-11-18,1.0,1.0,1.0,5.0,15.0
1324404,2021-11-08,0.0,0.0,0.0,0.0,
1097864,2022-02-22,0.0,0.0,1.0,1.0,100.0
1702780,2024-02-29,0.0,0.0,0.0,0.0,
1702780,2024-03-01,0.0,0.0,0.0,0.0,
1702780,2019-11-04,0.0,1.0,1.0,2.0,60.0
764180,2006-12-01,0.0,1.0,1.0,1.0,63.0
1324404,2022-04-05,0.0,1.0,1.0,1.0,38.0
1034054,2023-11-28,1.0,1.0,1.0,2.0,24.0
4904,2018-12-09,0.0,0.0,0.0,0.0,
4904,2019-02-18,0.0,0.0,0.0,0.0,
713676,2018-08-01,0.0,1.0,1.0,2.0,64.0
318154,2023-08-16,0.0,0.0,1.0,1.0,120.0
318154,2021-04-21,0.0,0.0,1.0,1.0,100.0
820313,2021-08-16,0.0,0.0,0.0,0.0,
315293,2020-12-17,0.0,1.0,1.0,1.0,43.0
315293,2020-12-29,0.0,1.0,1.0,1.0,31.0
315293,2022-02-25,0.0,0.0,1.0,2.0,118.0
713676,2023-06-28,0.0,0.0,0.0,0.0,
320193,2019-02-02,1.0,1.0,1.0,1.0,4.0
320193,2014-08-31,0.0,0.0,0.0,0.0,
320193,2020-11-01,0.0,1.0,1.0,1.0,65.0
320193,2010-06-01,0.0,0.0,1.0,1.0,169.0
320193,2015-07-01,0.0,0.0,1.0,2.0,93.0
320193,2013-07-18,1.0,1.0,1.0,1.0,12.0
320193,2015-09-18,1.0,1.0,1.0,3.0,14.0
874761,2024-06-20,0.0,0.0,0.0,0.0,
927628,2023-12-06,0.0,1.0,1.0,2.0,85.0
1097864,2021-03-20,0.0,1.0,1.0,1.0,89.0
5272,2021-04-28,1.0,1.0,1.0,2.0,15.0
732717,2014-04-01,0.0,1.0,1.0,1.0,90.0
732717,2017-01-25,0.0,0.0,0.0,0.0,
732717,2013-11-05,0.0,1.0,1.0,1.0,37.0
732717,2024-03-17,0.0,0.0,0.0,0.0,
732717,2014-06-11,1.0,1.0,1.0,2.0,19.0
732717,2014-02-01,0.0,0.0,1.0,1.0,149.0
732717,2008-05-23,0.0,0.0,1.0,1.0,129.0
732717,2014-10-09,1.0,1.0,1.0,2.0,29.0
732717,2013-01-01,0.0,1.0,1.0,2.0,34.0
732717,2012-01-01,0.0,0.0,1.0,1.0,180.0
732717,2022-06-01,1.0,1.0,1.0,2.0,30.0
