org_name,reported_date,breach_date,end_breach_date,incident_details,information_affected,organization_type,total_affected,breach_type,Map,cik,sic,naics,nvd_vendor,total_cves,cves_1yr_before,cves_2yr_before,cves_5yr_before,has_stock_data,fcc_category,fcc_reportable,car_5d,car_30d,bhar_5d,bhar_30d,has_crsp_data,firm_size_log,roa,leverage,sales_q,assets,disclosure_delay_days,immediate_disclosure,delayed_disclosure,return_volatility_pre,return_volatility_post,volume_volatility_pre,volume_volatility_post,volatility_change,has_complete_data,large_firm,breach_severity,prior_breaches_total,prior_breaches_1yr,prior_breaches_3yr,prior_breaches_5yr,days_since_last_breach,is_repeat_offender,is_first_breach,pii_breach,health_breach,financial_breach,ip_breach,ransomware,nation_state,insider_threat,ddos_attack,phishing,malware,severity_score,records_severity,records_affected_numeric,combined_severity_score,high_severity_breach,num_breach_types,complex_breach,media_coverage_count,major_outlet_coverage,high_media_coverage,major_outlet_flag,has_media_coverage,executive_change_30d,executive_change_90d,executive_change_180d,num_changes_180d,days_to_first_change,enforcement_type,penalty_amount_usd,enforcement_within_1yr,enforcement_within_2yr,has_enforcement,enforcement_within_365d,cpni_breach,breach_year,sic_3digit,hhi_industry_year,leverage_std,roa_std,governance_weakness_score,weak_governance,strong_governance,vendor_mean_cvss,vendor_max_cvss,vendor_high_severity_pct,has_high_complexity,complexity_category,total_affected_log,resolved_cik,resolution_source,resolution_confidence,permno,car_60d,car_90d,volatility_30d,abnormal_volume_30d,volatility_60d,volatility_90d,org_name_original,permno_original
A&A Services,2024-05-24,2023-10-03,2023-10-10 00:00:00,"The Delaware Department of Justice reported that A&A Services d/b/a Sav-Rx experienced a data breach that occurred between October 3, 2023, and October 10, 2023, affecting 3,162 individuals. The breach involved unauthorized access to non-clinical systems, potentially exposing personal health information.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Full Name"""",""""Address 1"""",""""Address 2"""",""""City"""",""""State"""",""""ZIP""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Protected Health Information""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,3162,HACK,FIS,1136893,6200,511210,A&A Services,0,0,0,0,False,Non-FCC,False,-3.6767,-6.246847854593374,-3.6972,,True,10.39573690072918,-0.008669650581111,0.6335803212096137,2492.0,53174.0,234,0,1,19.1224,32.0273,1873135.3,1746591.2,12.9049,False,0,Small,0,0,0,0,,0,1,1,1,0,0,1,0,1,0,0,0,12,2,3162,14,1,4,1,0,0,0,0,0,0.0,1.0,1.0,8.0,-28.0,,,0,0,0,0,0,2023,620,463.9999999999998,-0.4535296335377453,-0.5211862820694998,0.0338283242658772,0,0,,,,0,Low,8.059276223305648,1136893.0,Dataset Current Assignment,MEDIUM,89003.0,2.530793076643389,-0.9644245546787776,32.69079960811882,,29.760408050433256,27.06300338930089,,
A.Y. McDonald Industries Inc.,2025-02-12,2025-01-12,2025-01-30 00:00:00,"The Iowa Attorney General's Office reported a data breach involving A.Y. McDonald Industries Inc. on February 12, 2025. The breach occurred on or about January 12, 2025, affecting approximately 821 Iowa residents, with compromised data including full names and Social Security Numbers. A.Y. McDonald is providing affected individuals with complimentary credit monitoring services.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Full names"""",""""Social Security Numbers""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security Numbers""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,821,HACK,MCD,63908,5000,511210,A.Y. McDonald Industries Inc.,0,0,0,0,False,Non-FCC,False,,,,,False,12.24206376453863,0.0365336522779167,1.068808669493675,6388.0,55182.0,31,0,1,,,,,,False,1,Small,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,0,0,6,1,821,7,1,2,1,0,0,0,0,0,1.0,1.0,1.0,7.0,5.0,,,0,0,0,0,0,2025,500,5000.0,1.208100603852883,0.8058157884365981,0.2011424077081424,0,0,,,,0,Low,6.71174039505618,63908.0,Dataset Current Assignment,MEDIUM,43449.0,,,,,,,,
ABM Industries Incorporated,2019-03-19,2018-01-08,2018-08-07 00:00:00,"The New Hampshire Attorney General's Office reported a data breach involving ABM Industries Incorporated on March 19, 2019. The breach, which occurred between January 8, 2018, and August 7, 2018, involved unauthorized access to employee email accounts due to a phishing attack, potentially affecting the personal information of twenty-three (23) New Hampshire residents, including Social Security numbers and financial information.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number"""",""""Driver's license number"""",""""Passport number"""",""""Email address"""",""""Account password""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number"""",""""Driver's license number"""",""""Passport number"""",""""Bank account/financial information"""",""""Credit/debit card number"""",""""Account password""""]},""""Customer Records"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Bank account/financial information"""",""""Credit/debit card number""""]}}}",BSO,23,HACK,CF,1324404,1000,511210,ABM Industries Incorporated,0,0,0,0,False,Non-FCC,False,-7.8456,-5.0542695301854845,-7.8953,,True,9.202714265000898,0.0345391071826487,0.5035281883681201,1099.0,13463.0,435,0,1,23.9007,40.7682,1425122.36,1397151.65,16.8676,False,0,Small,0,0,0,0,,0,1,1,1,1,0,1,0,1,0,1,0,17,1,23,18,1,6,1,0,0,0,0,0,1.0,1.0,1.0,7.0,30.0,,,0,0,0,0,0,2018,100,3333.333333333333,-0.9500472827638642,0.7472633087783594,-0.8486552957711118,0,1,,,,0,Low,3.1780538303479458,1324404.0,Dataset Current Assignment,MEDIUM,90829.0,-3.36917963456429,-8.464169833767976,41.28837965137407,,42.99983522974104,41.631401714618434,,
"Activision Publishing, Inc.",2023-02-20,2022-12-02,2022-12-04 00:00:00,"Data Compromised: Full employee names, corporate email addresses, phone numbers, job titles, office locations, work addresses, and salary information. The company maintained that no sensitive employee data, game code, or player data was accessed, though this was disputed by security researchers.",,BSO,20000,HACK,ATVI,718877,7372,541511,activision,5,0,1,3,False,Non-FCC,False,3.5916,6.72439251342195,3.541,,True,10.97121976166015,0.0169789227166276,0.2658860265417642,1782.0,25620.0,80,0,1,19.6373,14.2806,1862474.85,4268645.11,-5.3567,True,1,Medium,1,0,0,0,3775.0,1,0,0,0,0,0,0,0,1,0,0,0,2,3,20000,5,0,1,0,0,0,0,0,0,1.0,1.0,1.0,7.0,-25.0,,,0,0,0,0,0,2022,737,1200.0,-1.857325963774384,0.2317611292683678,-1.044543546521376,0,1,,,,0,Low,9.90353755128617,1870564.0,"SEC name: ACTIVISION PUBLISHING, INC.",,79678.0,-0.0229286928867367,3.65259295774556,14.44837630323906,,15.12425365953827,23.70610134800458,,
"Activision Publishing, Inc.",2012-08-09,2012-08-01,2012-08-30 00:00:00,"Data Compromised: Email addresses, encrypted passwords (using Secure Remote Password protocol), answers to personal security questions, and Mobile/Dial-In Authenticator information. No financial information, credit cards, billing addresses, or real names were reported compromised.",,BSO,14000000,HACK,ATVI,718877,7372,541511,activision,5,0,0,1,False,Non-FCC,False,-4.7423,-3.6016827927391915,-4.9023,,True,9.49697174013148,0.015078653516994,0.1389681310620262,1075.0,12269.0,8,0,0,32.6688,25.6772,2099911.97,3528680.18,-6.9916,True,0,Massive,0,0,0,0,,0,1,1,0,1,0,0,0,0,0,0,0,6,5,14000000,11,1,2,1,0,0,0,0,0,1.0,1.0,1.0,8.0,-27.0,,,0,0,0,0,0,2012,737,3333.333333333333,-2.341877610344688,0.175976241816739,-1.258926926080713,0,1,,,,0,Low,16.454567959008102,1870564.0,"SEC name: ACTIVISION PUBLISHING, INC.",,79678.0,-10.433647684757464,-12.806334027232314,25.615621455524508,,24.7718749317299,22.27687180681007,,
"ADF International, Inc.",2017-04-12,2017-03-10,2017-03-13 00:00:00,"The New Hampshire Attorney General's Office reported on April 12, 2017, that ADF International, Inc. experienced a security incident on March 10, 2017, potentially affecting one New Hampshire resident. The incident involved an unauthorized individual impersonating an ADF employee to obtain files containing personal information, including names, addresses, Social Security numbers, and compensation information, but no evidence of system access was found.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""First and last name"""",""""Address"""",""""Social Security number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""2016 compensation information""""]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,1,DISC,AIG,5272,6200,511210,"ADF International, Inc.",0,0,0,0,False,Non-FCC,False,-1.7061,-2.129206270972284,-1.7105,,True,11.08222553251146,-0.0061031902766404,0.8457484385787454,13037.0,498264.0,33,0,1,30.4428,11.766,6485877.34,2663019.73,-18.6768,False,1,Small,0,0,0,0,,0,1,1,0,0,0,1,0,1,0,0,0,8,1,1,9,1,3,1,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,2017,620,2800.0,0.3564933362911796,-0.4458444835171837,0.4011689099041817,1,0,,,,0,Low,0.6931471805599453,5272.0,Dataset Current Assignment,MEDIUM,66800.0,-2.960303235755468,-1.7973079499809197,12.067015311243685,,13.512834504620718,13.084599793487268,,
Adobe Systems Incorporated,2013-10-03,2013-09-11,2013-09-17 00:00:00,"The California Office of the Attorney General reported that Adobe Systems Incorporated experienced a data breach involving unauthorized access to customer order information between September 11 and September 17, 2013. The breach potentially exposed customer names, payment card expiration dates, and encrypted payment card numbers; however, the number of affected individuals is unknown.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Customer names""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Payment card expiration dates""""]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Encrypted payment card numbers""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,2900000,HACK,ADBE,796343,7372,541511,adobe,6662,148,350,720,False,Non-FCC,False,7.0757,6.9951840076388105,7.0711,,True,10.04140538253733,0.0081102926318496,0.3321619291322118,995.119,10234.156,22,0,0,14.8171,37.1222,761511.64,3192718.74,22.305,True,0,Massive,0,0,0,0,,0,1,1,0,1,0,1,0,1,0,0,0,11,5,2900000,16,1,4,1,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,2013,737,1358.024691358025,-1.604295470267174,-0.0285891049115381,-0.7878531826778178,0,1,,,,0,Low,14.88022163978423,796343.0,SEC EDGAR,HIGH,75510.0,9.23790416405177,8.395500932710087,37.995729964563125,,31.09646620333445,27.133743018681937,,
Adobe Systems Incorporated,2019-10-19,2019-10-19,2019-10-19 00:00:00,An unsecured Elasticsearch database belonging to Adobe Creative Cloud was accessible to anyone without any password or authentication ,,BSO,7500000,HACK,ADBE,796343,7372,541511,adobe,6662,387,740,1912,False,Non-FCC,False,-0.1173,7.616631968433718,-0.1999,,True,11.83471727326836,0.0395296805565528,0.4892628128415627,2834.126,20054.88,0,1,0,22.9121,21.9699,1231221.95,1045472.02,-0.9422,True,1,Massive,2,0,0,0,2223.0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,7500000,5,0,0,0,0,0,0,0,0,0.0,1.0,1.0,6.0,54.0,,,0,0,0,0,0,2019,737,1555.555555555556,-1.004510139827552,0.8937681166424322,-0.9491391282349924,0,1,,,,0,Low,15.830413711839864,796343.0,SEC EDGAR,HIGH,75510.0,15.26547141239547,20.31775142983456,21.969871323155264,,20.442294108574597,17.969075968593874,,
Adobe Systems Incorporated,2013-10-02,2013-09-17,2013-09-30 00:00:00,"On October 2, 2013, the Maine Office of the Attorney General reported a data breach involving Adobe Systems Incorp. Details regarding the breach date and number of residents affected are unknown, but the information compromised included names, payment card expiration dates, encrypted payment card numbers, and other information related to customer orders.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""names""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""payment card expiration dates"""",""""other info relating to customer orders""""]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[""""encrypted payment card numbers""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,153000000,HACK,ADBE,796343,7372,541511,adobe,6662,148,350,720,False,Non-FCC,False,6.6415,5.971417363983678,6.4545,,True,10.04140538253733,0.0081102926318496,0.3321619291322118,995.119,10234.156,15,0,0,15.1298,37.2379,805583.9,3139450.15,22.1081,True,0,Massive,1,1,1,1,6.0,1,0,1,0,1,0,1,0,0,0,0,0,9,5,153000000,14,1,3,1,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,2013,737,1358.024691358025,-1.604295470267174,-0.0285891049115381,-0.7878531826778178,0,1,,,,0,Low,18.845948485892656,796343.0,SEC EDGAR,HIGH,75510.0,13.811841980288154,16.80459349568808,38.09208844958371,,31.355950654648385,38.09364649780007,,
"Advanced Mobile Notary, LLC",2025-05-20,2025-02-23,2025-04-15 00:00:00,"The New Hampshire Attorney General's Office reported a data breach involving Advanced Mobile Notary on May 20, 2025. The breach occurred on or around February 23, 2025, potentially affecting the personal information of three New Hampshire residents. Affected individuals are being offered complimentary credit monitoring services.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Protected Classification Characteristics"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]}}}",BSO,3,HACK,TMUS,1283699,4833,511210,"Advanced Mobile Notary, LLC",0,0,0,0,False,Non-FCC,False,,,,,False,12.43973327162233,0.0143293195856466,0.7032182084745355,21872.0,208035.0,86,0,1,,,,,,False,1,Small,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,0,0,6,1,3,7,1,2,1,0,0,0,0,0,1.0,1.0,1.0,14.0,-27.0,,,0,0,0,0,1,2025,483,5000.0,-0.1876636355998728,0.1539785643129615,-0.1708210999564171,0,0,,,,0,Low,1.3862943611198906,1283699.0,Dataset Current Assignment,MEDIUM,91937.0,,,,,,,,
