org_name,reported_date,breach_date,end_breach_date,incident_details,information_affected,organization_type,total_affected,breach_type,Map,cik,sic,naics,nvd_vendor,total_cves,cves_1yr_before,cves_2yr_before,cves_5yr_before,has_stock_data,fcc_category,fcc_reportable,car_5d,car_30d,bhar_5d,bhar_30d,has_crsp_data,firm_size_log,roa,leverage,sales_q,assets,disclosure_delay_days,immediate_disclosure,delayed_disclosure,return_volatility_pre,return_volatility_post,volume_volatility_pre,volume_volatility_post,volatility_change,has_complete_data,large_firm,breach_severity,prior_breaches_total,prior_breaches_1yr,prior_breaches_3yr,prior_breaches_5yr,days_since_last_breach,is_repeat_offender,is_first_breach,pii_breach,health_breach,financial_breach,ip_breach,ransomware,nation_state,insider_threat,ddos_attack,phishing,malware,severity_score,records_severity,records_affected_numeric,combined_severity_score,high_severity_breach,num_breach_types,complex_breach,media_coverage_count,major_outlet_coverage,high_media_coverage,major_outlet_flag,has_media_coverage,executive_change_30d,executive_change_90d,executive_change_180d,num_changes_180d,days_to_first_change,enforcement_type,penalty_amount_usd,enforcement_within_1yr,enforcement_within_2yr,has_enforcement,enforcement_within_365d,cpni_breach,breach_year,sic_3digit,hhi_industry_year,leverage_std,roa_std,governance_weakness_score,weak_governance,strong_governance
A&A Services,2024-05-24,2023-10-03,2023-10-10 00:00:00,"The Delaware Department of Justice reported that A&A Services d/b/a Sav-Rx experienced a data breach that occurred between October 3, 2023, and October 10, 2023, affecting 3,162 individuals. The breach involved unauthorized access to non-clinical systems, potentially exposing personal health information.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Full Name"""",""""Address 1"""",""""Address 2"""",""""City"""",""""State"""",""""ZIP""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Protected Health Information""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,3162,HACK,FIS,1136893,6200,511210,A&A Services,0,0,0,0,False,Non-FCC,False,-3.6767,-4.5357,-3.6972,-5.088,True,10.39573690072918,-0.008669650581111,0.6335803212096137,2492.0,53174.0,234,0,1,19.1224,32.0273,1873135.3,1746591.2,12.9049,False,0,Small,0,0,0,0,,0,1,1,1,0,0,1,0,1,0,0,0,12,2,3162.0,14,1,4,1,0,0,0,0,0,0.0,1.0,1.0,8.0,-28.0,,,0,0,0,0,0,2023,620,728.8365776369398,-0.4535296335377453,-0.5211862820694998,0.03382832426587726,0,0
A&A Services,2024-05-24,2023-10-03,2023-10-08 00:00:00,"The Iowa Attorney General's Office reported a data breach by A&A Services d/b/a Sav-Rx on May 24, 2024. The breach, first detected on October 8, 2023, was due to unauthorized third-party access to non-clinical systems, potentially affecting the personal information of 17,630 Iowa residents. Compromised information may have included names, dates of birth, social security numbers, email addresses, and more.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Date of birth"""",""""Social Security number"""",""""Email address"""",""""Address"""",""""Phone number"""",""""Insurance identification number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,17630,HACK,FIS,1136893,6200,511210,A&A Services,0,0,0,0,False,Non-FCC,False,-3.6767,-4.5357,-3.6972,-5.088,True,10.39573690072918,-0.008669650581111,0.6335803212096137,2492.0,53174.0,234,0,1,19.1224,32.0273,1873135.3,1746591.2,12.9049,False,0,Medium,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,0,0,6,3,17630.0,9,1,2,1,0,0,0,0,0,0.0,1.0,1.0,8.0,-28.0,,,0,0,0,0,0,2023,620,728.8365776369398,-0.4535296335377453,-0.5211862820694998,0.03382832426587726,0,0
A.Y. McDonald Industries Inc.,2025-02-12,2025-01-12,2025-01-30 00:00:00,"The Iowa Attorney General's Office reported a data breach involving A.Y. McDonald Industries Inc. on February 12, 2025. The breach occurred on or about January 12, 2025, affecting approximately 821 Iowa residents, with compromised data including full names and Social Security Numbers. A.Y. McDonald is providing affected individuals with complimentary credit monitoring services.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Full names"""",""""Social Security Numbers""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security Numbers""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,821,HACK,MCD,63908,5000,511210,A.Y. McDonald Industries Inc.,0,0,0,0,False,Non-FCC,False,,,,,False,12.24206376453863,0.0365336522779167,1.068808669493675,6388.0,55182.0,31,0,1,,,,,,False,1,Small,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,0,0,6,1,821.0,7,1,2,1,0,0,0,0,0,1.0,1.0,1.0,7.0,5.0,,,0,0,0,0,0,2025,500,5000.0,1.208100603852883,0.8058157884365981,0.20114240770814246,0,0
ABM Industries Incorporated,2019-03-19,2018-01-08,2018-08-07 00:00:00,"The New Hampshire Attorney General's Office reported a data breach involving ABM Industries Incorporated on March 19, 2019. The breach, which occurred between January 8, 2018, and August 7, 2018, involved unauthorized access to employee email accounts due to a phishing attack, potentially affecting the personal information of twenty-three (23) New Hampshire residents, including Social Security numbers and financial information.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number"""",""""Driver's license number"""",""""Passport number"""",""""Email address"""",""""Account password""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number"""",""""Driver's license number"""",""""Passport number"""",""""Bank account/financial information"""",""""Credit/debit card number"""",""""Account password""""]},""""Customer Records"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Bank account/financial information"""",""""Credit/debit card number""""]}}}",BSO,23,HACK,CF,1324404,1000,511210,ABM Industries Incorporated,0,0,0,0,False,Non-FCC,False,-7.8456,0.7527,-7.8953,-0.085,True,9.202714265000898,0.0345391071826487,0.5035281883681201,1099.0,13463.0,435,0,1,23.9007,40.7682,1425122.36,1397151.65,16.8676,False,0,Small,0,0,0,0,,0,1,1,1,1,0,1,0,1,0,1,0,17,1,23.0,18,1,6,1,0,0,0,0,0,1.0,1.0,1.0,7.0,30.0,,,0,0,0,0,0,2018,100,5000.0,-0.9500472827638642,0.7472633087783594,-0.8486552957711118,0,1
ABM Industries Incorporated,2019-07-23,2018-01-08,2018-08-07 00:00:00,"The New Hampshire Attorney General's Office reported on July 23, 2019, that ABM Industries Incorporated experienced a data breach affecting 31 New Hampshire residents. The breach involved unauthorized access to employee email accounts due to a phishing incident that occurred between January 8, 2018, and August 7, 2018, potentially exposing various types of personal information, including Social Security numbers and financial information.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number"""",""""Driver's license number"""",""""Passport number"""",""""Email address"""",""""Account password""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number"""",""""Driver's license number"""",""""Passport number"""",""""Bank account/financial information"""",""""Credit/debit card number"""",""""Account password""""]},""""Customer Records"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Bank account/financial information"""",""""Credit/debit card number""""]}}}",BSO,134,HACK,CF,1324404,1000,511210,ABM Industries Incorporated,0,0,0,0,False,Non-FCC,False,-7.8456,0.7527,-7.8953,-0.085,True,9.202714265000898,0.0345391071826487,0.5035281883681201,1099.0,13463.0,561,0,1,23.9007,40.7682,1425122.36,1397151.65,16.8676,False,0,Small,0,0,0,0,,0,1,1,1,1,0,1,0,1,0,1,0,17,1,134.0,18,1,6,1,0,0,0,0,0,1.0,1.0,1.0,7.0,30.0,,,0,0,0,0,0,2018,100,5000.0,-0.9500472827638642,0.7472633087783594,-0.8486552957711118,0,1
ABM Industries Incorporated,2019-03-12,2018-01-08,2018-08-07 00:00:00,"The Washington State Office of the Attorney General reported a data breach involving ABM Industries Incorporated on March 12, 2019. The breach, discovered on June 14, 2018, resulted from a phishing cyberattack and affected 846 Washington residents. Compromised information included names, Social Security numbers, driver's license numbers, financial information, and medical information.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Social Security number"""",""""Driver's license number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number"""",""""Driver's license number"""",""""Financial & Banking Information"""",""""Medical Information""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,846,HACK,CF,1324404,1000,511210,ABM Industries Incorporated,0,0,0,0,False,Non-FCC,False,-7.8456,0.7527,-7.8953,-0.085,True,9.202714265000898,0.0345391071826487,0.5035281883681201,1099.0,13463.0,428,0,1,23.9007,40.7682,1425122.36,1397151.65,16.8676,False,0,Small,0,0,0,0,,0,1,1,1,1,0,1,0,0,0,1,0,15,1,846.0,16,1,5,1,0,0,0,0,0,1.0,1.0,1.0,7.0,30.0,,,0,0,0,0,0,2018,100,5000.0,-0.9500472827638642,0.7472633087783594,-0.8486552957711118,0,1
ABM Industries Incorporated,2019-03-12,2018-01-08,2018-08-07 00:00:00,"The Oregon Department of Justice reported a data breach involving ABM Industries Incorporated on March 12, 2019. The breach occurred between January 8, 2018, and August 7, 2018, affecting a total of 42,366 individuals.","{""""Encryption Status"""":""""UNKN"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Protected Classification Characteristics"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]}}}",BSO,42366,HACK,CF,1324404,1000,511210,ABM Industries Incorporated,0,0,0,0,False,Non-FCC,False,-7.8456,0.7527,-7.8953,-0.085,True,9.202714265000898,0.0345391071826487,0.5035281883681201,1099.0,13463.0,428,0,1,23.9007,40.7682,1425122.36,1397151.65,16.8676,False,0,Medium,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,0,0,6,3,42366.0,9,1,2,1,0,0,0,0,0,1.0,1.0,1.0,7.0,30.0,,,0,0,0,0,0,2018,100,5000.0,-0.9500472827638642,0.7472633087783594,-0.8486552957711118,0,1
"Activision Publishing, Inc.",2023-02-20,2022-12-02,2022-12-04 00:00:00,"Data Compromised: Full employee names, corporate email addresses, phone numbers, job titles, office locations, work addresses, and salary information. The company maintained that no sensitive employee data, game code, or player data was accessed, though this was disputed by security researchers.",,BSO,20000,HACK,ATVI,718877,7372,541511,activision,5,0,1,3,False,Non-FCC,False,3.5916,1.701,3.541,1.7354,True,10.97121976166015,0.0169789227166276,0.2658860265417642,1782.0,25620.0,80,0,1,19.6373,14.2806,1862474.85,4268645.11,-5.3567,True,1,Medium,1,0,0,0,3775.0,1,0,0,0,0,0,0,0,1,0,0,0,2,3,20000.0,5,0,1,0,0,0,0,0,0,1.0,1.0,1.0,7.0,-25.0,,,0,0,0,0,0,2022,737,1200.0000000000002,-1.8573259637743833,0.23176112926836787,-1.0445435465213755,0,1
"Activision Publishing, Inc.",2012-08-09,2012-08-01,2012-08-30 00:00:00,"Data Compromised: Email addresses, encrypted passwords (using Secure Remote Password protocol), answers to personal security questions, and Mobile/Dial-In Authenticator information. No financial information, credit cards, billing addresses, or real names were reported compromised.",,BSO,14000000,HACK,ATVI,718877,7372,541511,activision,5,0,0,1,False,Non-FCC,False,-4.7423,-6.5928,-4.9023,-7.1285,True,9.49697174013148,0.015078653516994,0.1389681310620262,1075.0,12269.0,8,0,0,32.6688,25.6772,2099911.97,3528680.18,-6.9916,True,0,Massive,0,0,0,0,,0,1,1,0,1,0,0,0,0,0,0,0,6,5,14000000.0,11,1,2,1,0,0,0,0,0,1.0,1.0,1.0,8.0,-27.0,,,0,0,0,0,0,2012,737,3333.333333333333,-2.341877610344688,0.17597624181673902,-1.2589269260807134,0,1
"ADF International, Inc.",2017-04-12,2017-03-10,2017-03-13 00:00:00,"The New Hampshire Attorney General's Office reported on April 12, 2017, that ADF International, Inc. experienced a security incident on March 10, 2017, potentially affecting one New Hampshire resident. The incident involved an unauthorized individual impersonating an ADF employee to obtain files containing personal information, including names, addresses, Social Security numbers, and compensation information, but no evidence of system access was found.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""First and last name"""",""""Address"""",""""Social Security number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""2016 compensation information""""]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,1,DISC,AIG,5272,6200,511210,"ADF International, Inc.",0,0,0,0,False,Non-FCC,False,-1.7061,-6.3528,-1.7105,-6.2847,True,11.08222553251146,-0.0061031902766404,0.8457484385787454,13037.0,498264.0,33,0,1,30.4428,11.766,6485877.34,2663019.73,-18.6768,False,1,Small,0,0,0,0,,0,1,1,0,0,0,1,0,1,0,0,0,8,1,1.0,9,1,3,1,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,2017,620,3437.5,0.35649333629117963,-0.44584448351718375,0.4011689099041817,1,0
