final_cik,breach_date,org_name,name_variants,n_source_records,breach_type,multi_type,total_affected_max,multi_filing,incident_details,reported_date,end_breach_date,information_affected,organization_type,final_grade,final_evidence,chain_note,fcc_form499,treatment_evidence,car_5d,car_30d,bhar_5d,bhar_30d,return_volatility_pre,return_volatility_post,volume_volatility_pre,volume_volatility_post,volatility_change,permno,matched_ticker,permno_match,has_crsp_data,firm_size_log,leverage,roa,op_margin,prior_breaches_total,prior_breaches_1yr,disclosure_delay_days,delay_recoded,immediate_disclosure,health_breach,executive_change_30d,executive_change_90d,executive_change_180d,days_to_first_item_5_02
4904,2018-12-09,American Electric Power,American Electric Power,1,HACK,False,2,False,"The Indiana Office of the Attorney General reported a data breach involving American Electric Power on April 26, 2019. The breach occurred on December 9, 2018, affecting a total of 4,197 individuals, with 1 resident specifically noted as affected.",2019-04-26 00:00:00,2018-12-09 00:00:00,"{""""Encryption Status"""":""""UNKN"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Protected Classification Characteristics"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]}}}",BSO,VERIFIED-GATE1,Gate1-A (AEP),,0,,1.0035,-3.0322,0.9479,-2.9428,14.7453,22.7721,615859.28,1023290.21,8.0268,24109.0,AEP,window,1,11.078,0.7169,0.0295,0.3519,0,0,138.0,0,0.0,0,0,0,0,
4904,2019-02-18,American Electric Power,American Electric Power,1,HACK,False,70000000,False,"The Montana Department of Justice reported a data breach involving American Electric Power on April 26, 2019. The breach occurred on February 18, 2019, when an unauthorized individual accessed an email account belonging to a Coates Field Service employee, potentially exposing personal information of 2 individuals.",2019-04-26 00:00:00,2019-02-18 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED-GATE1,Gate1-A (AEP),,0,,0.7452,1.811,0.7366,1.8563,14.1913,9.7772,778296.57,1715548.81,-4.4141,24109.0,AEP,window,1,11.139,0.7214,0.028,0.3103,1,1,67.0,0,0.0,0,0,0,0,
8670,2013-04-29,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc.",1,DISC,False,680,False,"The New Hampshire Office of the Attorney General reported a data breach involving Automatic Data Processing (ADP) on June 4, 2013. The breach, discovered on April 29, 2013, affected the personal information of 680 New Hampshire residents, including names and Social Security numbers, due to a coding error in payroll tax PDF files. ADP has initiated notification to affected individuals and is offering credit monitoring services.",2013-06-04 00:00:00,2013-05-04 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Social Security number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: AUTOMATIC DATA PROCESSING INC,,0,,0.8128,-0.2057,0.8035,-0.3089,14.9991,17.1529,432373.76,507433.11,2.1538,44644.0,ADP,window,1,10.3358,0.8016,0.0451,0.214,0,0,36.0,0,0.0,0,0,0,1,100.0
12927,2016-11-21,The Boeing Company,The Boeing Company,1,INSD,False,36000,False,"The New Hampshire Attorney General reported a data breach involving The Boeing Company on February 9, 2017. The breach, discovered on January 9, 2017, involved an employee inadvertently sending personal information of approximately 36,000 employees to his non-Boeing spouse on November 21, 2016. Four residents of New Hampshire were specifically affected, with the compromised data including names, social security numbers, and dates of birth.",2017-02-09 00:00:00,2017-01-09 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""First name"""",""""Last name"""",""""Place of birth"""",""""Employee ID (BEMSID)""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Employee ID (BEMSID)"""",""""Accounting department codes""""]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social security number"""",""""Date of birth""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: BOEING CO,,0,,2.5333,3.8354,2.5742,4.037,20.8137,11.6641,2305636.87,1131075.5,-9.1496,19561.0,BA,window,1,11.4554,0.9322,0.0548,0.0917,0,0,80.0,0,0.0,0,0,0,0,
14693,2020-07-28,Brown-Forman Corporation,Brown-Forman Corporation,1,HACK,False,263,False,"The New Hampshire Office of the Attorney General reported a data breach involving Brown-Forman on April 1, 2021. The breach occurred on July 28, 2020, and potentially affected the personal information of 41 additional individuals in New Hampshire, including Social Security numbers and corporate credit card information.",2021-04-01 00:00:00,2020-08-04 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Social Security numbers"""",""""Corporate credit card information""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Information of dependents, beneficiaries, former employees""""]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security numbers"""",""""Corporate credit card information""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: BROWN FORMAN CORP,,0,,,,,,,,,,,,,,0,,,,,0,0,247.0,0,0.0,0,0,0,0,
14745,2018-04-15,"Brown, Lisle/Cummings, Inc.","Brown, Lisle/Cummings, Inc.",1,HACK,False,2,False,"On June 15, 2018, the New Hampshire Attorney General's Office was notified by Brown, Lisle/Cummings, Inc. (BLC) of a phishing incident that potentially exposed the personal information of two New Hampshire residents. The unauthorized access occurred between April 15, 2018, and April 20, 2018, affecting the names and Social Security numbers of the individuals involved.",2018-06-15 00:00:00,2018-04-20 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Social Security number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,"EDGAR name: BROWN, LISLE/CUMMINGS, INC.",,0,,,,,,,,,,,,,,0,,,,,0,0,61.0,0,0.0,0,0,0,0,
18926,2013-12-27,CenturyLink,CenturyLink,1,HACK,False,605,False,"The Indiana Office of the Attorney General reported that CenturyLink experienced a data breach on December 27, 2013, affecting a total of 75 individuals. The breach was reported on May 28, 2014.",2014-05-28 00:00:00,2013-12-27 00:00:00,"{""""Encryption Status"""":""""UNKN"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Protected Classification Characteristics"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: CENTURY TELEPHONE ENTERPRISES INC,,1,Clause (b): CenturyLink/Lumen carrier family (Gate 1 rescue noted Form 499 relevance; regional LEC filers),0.151,-6.101,0.151,-5.925,16.5426,8.7974,2013965.21,1967793.57,-7.7452,60599.0,CTL,window,1,10.8971,0.6429,0.0144,0.4166,0,0,152.0,0,0.0,0,0,0,1,157.0
18926,2017-01-30,CenturyLink,CenturyLink,2,HACK,False,890,True,"The New Hampshire Department of Justice reported on February 24, 2017, that CenturyLink experienced a data breach involving the potential exposure of personal information of two New Hampshire residents. The breach was detected on February 1, 2017, and was linked to a phishing attack that compromised an employee's email account, potentially exposing names, addresses, Social Security Numbers, and dates of birth.",2017-02-20 00:00:00,2017-02-01 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Address"""",""""Social Security Number"""",""""Date of birth""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security Number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: CENTURY TELEPHONE ENTERPRISES INC,,1,Clause (b): CenturyLink/Lumen carrier family (Gate 1 rescue noted Form 499 relevance; regional LEC filers),-3.5148,-10.5819,-3.4746,-10.4291,23.3201,14.0415,2689540.97,3019392.04,-9.2786,60599.0,CTL,window,1,10.7583,0.715,0.0133,0.3736,1,0,21.0,0,0.0,0,1,1,1,24.0
18926,2017-02-28,CenturyLink,CenturyLink,1,HACK,False,12,False,"The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving CenturyLink on February 28, 2017. The breach affected 27 residents and involved the compromise of electronic records containing Social Security Numbers (SSN).",2017-02-28 00:00:00,2017-02-28 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: CENTURY TELEPHONE ENTERPRISES INC,,1,Clause (b): CenturyLink/Lumen carrier family (Gate 1 rescue noted Form 499 relevance; regional LEC filers),-6.2067,4.1043,-6.0613,3.917,13.171,23.6414,2170844.54,4074202.53,10.4704,60599.0,CTL,window,1,10.7583,0.715,0.0133,0.3736,2,1,0.0,0,1.0,0,0,0,1,93.0
18926,2020-08-20,CenturyLink Communications,CenturyLink Communications,2,HACK,False,1942,True,"The Maine Office of the Attorney General reported a data breach involving CenturyLink Communications, with the breach occurring between August 20 and August 31, 2020. Approximately 1,942 accounts were affected due to a sophisticated password guessing attack on the MyCenturyLink customer account website, potentially exposing usernames, email addresses, first and last names, service and billing addresses, and other related information. Written notifications were sent to customers starting September 21, 2020, with all letters mailed by September 25, 2020.",2020-09-25 00:00:00,2020-08-31 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Username"""",""""Password"""",""""Email address"""",""""First name"""",""""Last name"""",""""Service Address"""",""""Billing Address"""",""""Security Question (answer masked and not visible)""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Services subscribed to"""",""""Billing records (up to 12-18 months)"""",""""Billing preferences (paper or paperless)"""",""""Current products / services"""",""""Qualified upgrades"""",""""Recent Order activity"""",""""Payment History"""",""""Payment preference (autopay or one-time)"""",""""Last 4-digits of payment instrument on file"""",""""List of accounts associated to the username"""",""""Voice mail""""]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED-GATE1,Gate1-G rescue: CenturyLink/Lumen parent (Form 499 relevant carrier) (ticker LUMN -> CIK 18926),,1,Clause (b): CenturyLink/Lumen carrier family (Gate 1 rescue noted Form 499 relevance; regional LEC filers),-2.1486,-9.9072,-2.2989,-9.2095,36.7055,28.3509,6088911.66,1750736.89,-8.3546,60599.0,CTL,window,1,11.0782,0.7919,-0.0814,0.3843,3,0,36.0,0,0.0,0,0,0,1,153.0
