org_name,reported_date,breach_date,end_breach_date,incident_details,information_affected,organization_type,total_affected,breach_type,Map,legacy_cik,sic,naics,nvd_vendor,total_cves,cves_1yr_before,cves_2yr_before,cves_5yr_before,resolved_cik,grade,method,evidence
A&A Services,2024-05-24 00:00:00,2023-10-03,2023-10-10 00:00:00,"The Delaware Department of Justice reported that A&A Services d/b/a Sav-Rx experienced a data breach that occurred between October 3, 2023, and October 10, 2023, affecting 3,162 individuals. The breach involved unauthorized access to non-clinical systems, potentially exposing personal health information.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Full Name"""",""""Address 1"""",""""Address 2"""",""""City"""",""""State"""",""""ZIP""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Protected Health Information""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,3162,HACK,FIS,1136893,6200,511210,A&A Services,0,0,0,0,,EXCLUDED-UNRESOLVED,NO_MATCH,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
A&A Services,2024-05-24 00:00:00,2023-10-03,2023-10-08 00:00:00,"The Iowa Attorney General's Office reported a data breach by A&A Services d/b/a Sav-Rx on May 24, 2024. The breach, first detected on October 8, 2023, was due to unauthorized third-party access to non-clinical systems, potentially affecting the personal information of 17,630 Iowa residents. Compromised information may have included names, dates of birth, social security numbers, email addresses, and more.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Date of birth"""",""""Social Security number"""",""""Email address"""",""""Address"""",""""Phone number"""",""""Insurance identification number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,17630,HACK,FIS,1136893,6200,511210,A&A Services,0,0,0,0,,EXCLUDED-UNRESOLVED,NO_MATCH,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
A.Y. McDonald Industries Inc.,2025-02-12 00:00:00,2025-01-12,2025-01-30 00:00:00,"The Iowa Attorney General's Office reported a data breach involving A.Y. McDonald Industries Inc. on February 12, 2025. The breach occurred on or about January 12, 2025, affecting approximately 821 Iowa residents, with compromised data including full names and Social Security Numbers. A.Y. McDonald is providing affected individuals with complimentary credit monitoring services.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Full names"""",""""Social Security Numbers""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security Numbers""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,821,HACK,MCD,63908,5000,511210,A.Y. McDonald Industries Inc.,0,0,0,0,,EXCLUDED-UNRESOLVED,NO_MATCH,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
ABM Industries Incorporated,2019-03-19 00:00:00,2018-01-08,2018-08-07 00:00:00,"The New Hampshire Attorney General's Office reported a data breach involving ABM Industries Incorporated on March 19, 2019. The breach, which occurred between January 8, 2018, and August 7, 2018, involved unauthorized access to employee email accounts due to a phishing attack, potentially affecting the personal information of twenty-three (23) New Hampshire residents, including Social Security numbers and financial information.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number"""",""""Driver's license number"""",""""Passport number"""",""""Email address"""",""""Account password""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number"""",""""Driver's license number"""",""""Passport number"""",""""Bank account/financial information"""",""""Credit/debit card number"""",""""Account password""""]},""""Customer Records"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Bank account/financial information"""",""""Credit/debit card number""""]}}}",BSO,23,HACK,CF,1324404,1000,511210,ABM Industries Incorporated,0,0,0,0,771497.0,VERIFIED,EXACT_UNAMBIGUOUS,EDGAR name: ABM INDUSTRIES INC
ABM Industries Incorporated,2019-07-23 00:00:00,2018-01-08,2018-08-07 00:00:00,"The New Hampshire Attorney General's Office reported on July 23, 2019, that ABM Industries Incorporated experienced a data breach affecting 31 New Hampshire residents. The breach involved unauthorized access to employee email accounts due to a phishing incident that occurred between January 8, 2018, and August 7, 2018, potentially exposing various types of personal information, including Social Security numbers and financial information.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number"""",""""Driver's license number"""",""""Passport number"""",""""Email address"""",""""Account password""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number"""",""""Driver's license number"""",""""Passport number"""",""""Bank account/financial information"""",""""Credit/debit card number"""",""""Account password""""]},""""Customer Records"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Bank account/financial information"""",""""Credit/debit card number""""]}}}",BSO,134,HACK,CF,1324404,1000,511210,ABM Industries Incorporated,0,0,0,0,771497.0,VERIFIED,EXACT_UNAMBIGUOUS,EDGAR name: ABM INDUSTRIES INC
ABM Industries Incorporated,2019-03-12 00:00:00,2018-01-08,2018-08-07 00:00:00,"The Washington State Office of the Attorney General reported a data breach involving ABM Industries Incorporated on March 12, 2019. The breach, discovered on June 14, 2018, resulted from a phishing cyberattack and affected 846 Washington residents. Compromised information included names, Social Security numbers, driver's license numbers, financial information, and medical information.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Social Security number"""",""""Driver's license number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number"""",""""Driver's license number"""",""""Financial & Banking Information"""",""""Medical Information""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,846,HACK,CF,1324404,1000,511210,ABM Industries Incorporated,0,0,0,0,771497.0,VERIFIED,EXACT_UNAMBIGUOUS,EDGAR name: ABM INDUSTRIES INC
ABM Industries Incorporated,2019-03-12 00:00:00,2018-01-08,2018-08-07 00:00:00,"The Oregon Department of Justice reported a data breach involving ABM Industries Incorporated on March 12, 2019. The breach occurred between January 8, 2018, and August 7, 2018, affecting a total of 42,366 individuals.","{""""Encryption Status"""":""""UNKN"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Protected Classification Characteristics"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]}}}",BSO,42366,HACK,CF,1324404,1000,511210,ABM Industries Incorporated,0,0,0,0,771497.0,VERIFIED,EXACT_UNAMBIGUOUS,EDGAR name: ABM INDUSTRIES INC
"Activision Publishing, Inc.",2023-02-20 00:00:00,2022-12-02,2022-12-04 00:00:00,"Data Compromised: Full employee names, corporate email addresses, phone numbers, job titles, office locations, work addresses, and salary information. The company maintained that no sensitive employee data, game code, or player data was accessed, though this was disputed by security researchers.",,BSO,20000,HACK,ATVI,718877,7372,541511,activision,5,0,1,3,1870564.0,VERIFIED,EXACT_UNAMBIGUOUS,"EDGAR name: ACTIVISION PUBLISHING, INC."
"Activision Publishing, Inc.",2012-08-09 00:00:00,2012-08-01,2012-08-30 00:00:00,"Data Compromised: Email addresses, encrypted passwords (using Secure Remote Password protocol), answers to personal security questions, and Mobile/Dial-In Authenticator information. No financial information, credit cards, billing addresses, or real names were reported compromised.",,BSO,14000000,HACK,ATVI,718877,7372,541511,activision,5,0,0,1,1870564.0,VERIFIED,EXACT_UNAMBIGUOUS,"EDGAR name: ACTIVISION PUBLISHING, INC."
"ADF International, Inc.",2017-04-12 00:00:00,2017-03-10,2017-03-13 00:00:00,"The New Hampshire Attorney General's Office reported on April 12, 2017, that ADF International, Inc. experienced a security incident on March 10, 2017, potentially affecting one New Hampshire resident. The incident involved an unauthorized individual impersonating an ADF employee to obtain files containing personal information, including names, addresses, Social Security numbers, and compensation information, but no evidence of system access was found.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""First and last name"""",""""Address"""",""""Social Security number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""2016 compensation information""""]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,1,DISC,AIG,5272,6200,511210,"ADF International, Inc.",0,0,0,0,,EXCLUDED-UNRESOLVED,NO_MATCH,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
