tic,datadate,at,lt,ni,sale,cogs,xsga
CTL,2007-12-31,8184.553,4767.53,418.37,2562.658,922.86,388.759
CTL,2008-12-31,8254.195,5090.955,365.732,2598.407,953.99,385.951
CTL,2009-12-31,22562.729,13095.93,647.211,4973.211,1756.747,733.956
CTL,2010-12-31,22038.098,12390.939,947.705,7041.534,2365.668,1059.306
CTL,2011-12-31,56139.0,35312.0,573.0,15351.0,6258.0,2575.0
CTL,2012-12-31,54020.0,34731.0,777.0,18376.0,7605.0,3115.0
CTL,2013-12-31,51787.0,34596.0,-239.0,18095.0,7492.0,3171.0
CTL,2014-12-31,50147.0,35124.0,772.0,18031.0,7796.0,3179.0
CTL,2015-12-31,47604.0,33544.0,878.0,17900.0,7764.0,3176.0
CTL,2016-12-31,47017.0,33618.0,626.0,17470.0,7767.0,3176.0
CTL,2017-12-31,75611.0,52120.0,1389.0,17656.0,8203.0,3155.0
CTL,2018-12-31,70256.0,50428.0,-1733.0,23443.0,10862.0,3772.0
CTL,2019-12-31,64742.0,51272.0,-5269.0,22401.0,10077.0,3715.0
CTL,2020-12-31,59394.0,48232.0,-1232.0,20712.0,8559.0,3432.0
S,2007-12-31,64109.0,42110.0,-29580.0,40146.0,17191.0,12155.0
S,2008-12-31,58252.0,38647.0,-2796.0,35635.0,16746.0,11225.0
S,2009-12-31,55424.0,37329.0,-2436.0,32260.0,16435.0,9466.0
S,2010-12-31,51654.0,37108.0,-3465.0,32563.0,17492.0,9438.0
S,2011-12-31,49383.0,37956.0,-2890.0,33679.0,19015.0,9592.0
S,2012-12-31,51570.0,44483.0,-4326.0,35345.0,20797.0,9746.0
S,2013-12-31,86095.0,60511.0,-3018.0,35493.0,20329.0,9755.0
S,2015-03-31,83030.0,61320.0,-3345.0,34532.0,18969.0,9563.0
S,2016-03-31,78975.0,59192.0,-1995.0,32180.0,15232.0,8479.0
S,2017-03-31,85123.0,66315.0,-1206.0,33347.0,14938.0,7994.0
S,2018-03-31,85459.0,59040.0,7389.0,32439.0,13355.0,8066.0
S,2019-03-31,84601.0,58474.0,-1943.0,33597.0,13395.0,7429.0
