date,RF_FF3,RMW,CMA,RF_FF5,MOM,MKT-RF,SMB,HML
2004-01-02,0.0,-0.58,0.6,0.0,0.02,-0.17,0.81,0.42
2004-01-05,0.0,-0.75,0.82,0.0,0.55,1.2,0.4,0.01
2004-01-06,0.0,-0.47,0.56,0.0,0.71,0.2,0.09,0.27
2004-01-07,0.0,-0.52,0.2,0.0,0.46,0.34,0.59,-0.08
2004-01-08,0.0,-0.9,0.95,0.0,0.3,0.45,0.3,0.72
2004-01-09,0.0,-0.48,0.13,0.0,0.41,-0.72,-0.02,0.29
2004-01-12,0.0,-0.89,0.79,0.0,0.37,0.57,0.91,0.13
2004-01-13,0.0,0.27,-0.06,0.0,-0.03,-0.51,0.18,0.09
2004-01-14,0.0,0.0,0.2,0.0,0.18,0.8,-0.07,0.44
2004-01-15,0.0,-0.06,0.16,0.0,0.11,0.15,0.04,-0.28
2004-01-16,0.0,-1.41,0.69,0.0,1,0.72,0.09,0.59
2004-01-20,0.0,-0.36,0.48,0.0,0.19,0.15,1.14,0.62
2004-01-21,0.0,0.96,-0.72,0.0,-0.74,0.64,-1.08,0.31
2004-01-22,0.0,0.57,-0.69,0.0,-0.17,-0.32,-0.57,-0.06
2004-01-23,0.0,0.11,-0.12,0.0,-0.51,-0.14,0.89,-0.1
2004-01-26,0.0,-0.34,0.15,0.0,0.46,1.12,-0.11,-0.27
2004-01-27,0.0,0.81,-0.17,0.0,-0.36,-0.96,-0.03,0.0
2004-01-28,0.0,0.34,0.05,0.0,-0.73,-1.44,-0.32,-0.4
2004-01-29,0.0,0.67,-0.98,0.0,-1.23,0.25,-0.99,-0.77
2004-01-30,0.0,-0.51,0.17,0.0,0.58,-0.15,0.21,0.42
2004-02-02,0.0,0.24,-0.29,0.0,-0.55,0.27,-0.35,-0.16
2004-02-03,0.0,0.2,-0.16,0.0,0.02,0.0,-0.14,-0.03
2004-02-04,0.0,1.6,-1.15,0.0,-1.51,-0.97,-1.52,-0.62
2004-02-05,0.0,-0.25,0.22,0.0,0.15,0.23,0.51,0.23
2004-02-06,0.0,-0.88,0.87,0.0,1.63,1.39,1.03,0.42
2004-02-09,0.0,-0.22,0.22,0.0,0.01,-0.1,0.34,0.28
2004-02-10,0.0,-0.3,0.14,0.0,-0.19,0.56,0.53,0.2
2004-02-11,0.0,0.0,0.01,0.0,0.59,1.04,-0.4,0.14
2004-02-12,0.0,0.4,-0.07,0.0,-0.14,-0.46,-0.08,-0.15
2004-02-13,0.0,0.44,-0.39,0.0,-0.51,-0.57,-0.71,-0.14
2004-02-17,0.0,-0.49,0.08,0.0,0.43,0.98,0.3,0.59
