gvkey,conm,gsector,ggroup,gind,sic,fic
001000,A & E PLASTIK PAK INC,,,,3089,USA
001001,A & M FOOD SERVICES INC,25,2530,253010,5812,USA
001002,AAI CORP,,,,3825,USA
001003,A.A. IMPORTING CO INC,25,2550,255040,5712,USA
001004,AAR CORP,20,2010,201010,5080,USA
001005,A.B.A. INDUSTRIES INC,,,,3724,USA
001006,ABC INDS INC,,,,2711,USA
001007,ABKCO INDUSTRIES INC,25,2540,254010,3652,USA
001008,ABM COMPUTER SYSTEMS INC,45,4520,452020,3577,USA
001009,ABS INDUSTRIES INC,15,1510,151040,3460,USA
001010,ACF INDUSTRIES INC,20,2030,203040,3743,USA
001011,ACS ENTERPRISES INC,25,2540,254010,4841,USA
001012,ACS INDUSTRIES INC,45,4520,452010,3357,USA
001013,ADC TELECOMMUNICATIONS INC,45,4520,452010,3661,USA
001014,ADDSCO INDUSTRIES INC,40,4040,404010,6512,USA
001015,ADI ELECTRONICS INC,45,4520,452030,3678,USA
001016,AEC INC,20,2010,201020,3585,USA
001017,AEL INDUSTRIES  -CL A,20,2010,201010,3812,USA
001018,AES TECHNOLOGY SYSTEMS INC,25,2520,252020,3861,USA
001019,AFA PROTECTIVE SYSTEMS INC,20,2020,202010,7380,USA
001020,AFG INDUSTRIES INC,20,2010,201020,3211,USA
001021,AFP IMAGING CORP,35,3510,351010,3844,USA
001022,AGM INDUSTRIES INC,,,,3714,USA
001023,AGS COMPUTERS INC,25,2550,255010,5045,USA
001024,A I A INDUSTRIES INC,20,2030,203010,4522,USA
001025,A I C INTL INC,25,2550,255010,5040,USA
001026,AID INC-DEL CL A,,,,8062,USA
001027,A I M COS,,,,3330,USA
001028,AIM TELEPHONES INC,20,2020,202010,7385,USA
001029,A.I.N. LEASING CORP,,,,6794,USA
001030,A I T S INC,,,,7990,USA
001031,A J INDS INC,,,,3990,USA
001032,AKF FOODS INC,,,,2030,USA
001033,A L D INC,20,2010,201060,3580,USA
001034,ALPHARMA INC  -CL A,35,3520,352020,2834,USA
001035,AMCA INTERNATIONAL LTD,,,,3490,USA
001036,UNITED DOMINION INDUSTRIES,20,2010,201060,3443,CAN
001037,AM COMMUNICATIONS INC,45,4520,452010,3663,USA
001038,AMC ENTERTAINMENT INC -OLD,25,2540,254010,7830,USA
001039,AMC INVESTORS INC,,,,2300,USA
001040,AMF INC,25,2520,252020,3949,USA
001041,AMI INDUSTRIES INC,,,,2520,USA
001042,AMI SYSTEMS INC,,,,3612,USA
001043,MULTIGRAPHICS INC,20,2020,202010,5040,USA
001044,AMK CORP,,,,2011,USA
001045,AMERICAN AIRLINES GROUP INC,20,2030,203020,4512,USA
001046,AMS/REALSTAR INC,45,4510,451030,7372,USA
001047,ANEFCO INC,20,2010,201030,8711,USA
001048,ANR PIPELINE CO,10,1010,101020,4922,USA
001049,APF ELECTRONICS,25,2550,255010,5040,USA
001050,CECO ENVIRONMENTAL CORP,20,2010,201060,3564,USA
001051,API INSTRUMENTS CO,,,,3670,USA
001052,API TRUST,,,,6798,USA
001053,AFI CORP,,,,3825,USA
001054,ASK GROUP INC,45,4510,451030,7373,USA
001055,AST RESEARCH INC,45,4520,452020,3571,USA
001056,AEROFLEX INC,45,4520,452030,3825,USA
001057,ABEX CORP,,,,3743,USA
001058,APL CORP,20,2010,201020,3089,USA
001059,A P S INC,,,,5010,USA
001061,ARI INDUSTRIES INC,,,,3823,USA
001062,ASA GOLD AND PRECIOUS METALS,40,4020,402030,6799,BMU
003834,DEER PARK BAKING CO,,,,2050,USA
001063,ASI,,,,5900,USA
001064,ASI COMMUNICATIONS INC,25,2540,254010,4832,USA
001065,AT&E CORP,45,4520,452010,3663,USA
001066,ATE ENTERPRISES INC,20,2020,202010,8741,USA
001067,ATI INC,20,2020,202010,7389,USA
001068,A T INDUSTRIES INC,25,2530,253010,7900,USA
001069,ATV SYSTEMS INC,,,,3578,USA
001070,AVC CORP,,,,3714,USA
001071,A V ELECTRONICS INC,,,,3652,USA
001072,AVX CORP,45,4520,452030,3670,USA
001073,AW COMPUTER SYSTEMS  -CL A,45,4510,451030,7373,USA
001074,AZL RESOURCES INC,,,,3523,USA
001075,PINNACLE WEST CAPITAL CORP,55,5510,551010,4911,USA
001076,PROG HOLDINGS INC,40,4020,402020,6141,USA
001077,AARONSON BROTHERS STORES CP,,,,5311,USA
001078,ABBOTT LABORATORIES,35,3510,351010,3845,USA
001079,ARP CORP,,,,3060,USA
001080,ABERDEEN PETROLEUM CORP-CL A,,,,6792,USA
001081,ABITIBI CONSOLIDATED INC,15,1510,151050,2621,CAN
001082,SERVIDYNE INC,20,2020,202010,8700,USA
001083,ACA JOE INC,25,2550,255040,5600,USA
001084,WORLDS INC,50,5020,502030,7370,USA
001085,AT&T TECHNOLOGIES INC,,,,3661,USA
001086,AMETECH INC,20,2020,202010,4955,USA
001087,ACADIA PETROLEUM CORP,,,,1311,USA
001088,ACAPULCO RESTAURANTS,25,2530,253010,5812,USA
001089,ACCELERATORS INC,,,,3690,USA
001090,ACCESS CORP,45,4510,451020,7370,USA
001091,ACCO WORLD CORP,20,2020,202010,2780,USA
001092,ACCU TEST SYSTEMS INC,,,,1389,USA
001093,ACCURAY CORP,45,4520,452030,3823,USA
001094,ACETO CORP,35,3510,351020,5160,USA
001095,ACKERLEY GROUP INC,25,2540,254010,4833,USA
001096,MORGUARD CORP,60,6020,602010,6510,CAN
001097,ACMAT CORP  -CL A,40,4030,403010,6351,USA
001098,ACME-CLEVELAND CORP,45,4520,452010,3661,USA
001099,ACME ELECTRIC CORP,20,2010,201040,3612,USA
001100,ACME GENERAL CORP,,,,3420,USA
001101,ACME-HAMILTON MFG CORP,,,,3060,USA
001102,ACME INDS INC,,,,3560,USA
001103,ACME PRECISION PRODUCTS INC,45,4520,452050,3559,USA
001104,ACME UNITED CORP,35,3510,351010,3842,USA
001105,ACRES LTD,,,,8700,USA
001106,ACRO ENERGY CORP,20,2010,201020,3433,USA
001107,ACE HARDWARE CORP,25,2550,255010,5070,USA
001108,PRINCETON HOLDINGS INC,25,2550,255010,5020,USA
001109,ALUF HOLDINGS INC,25,2520,252020,3944,USA
001110,ATI CORP,,,,5140,USA
001111,ACTIVISION INC,45,4510,451030,7372,USA
001112,ACTMEDIA INC,25,2540,254010,7310,USA
001113,ACTON CORP  -OLD,25,2540,254010,4841,USA
001114,ACUSHNET CO,,,,3060,USA
001115,ADAC LABORATORIES,35,3510,351010,3844,USA
001116,ADACORP INC,20,2010,201020,3442,USA
001117,BK TECHNOLOGIES CORP,45,4520,452010,3663,USA
001118,ADAMS DRUG INC,,,,5912,USA
001119,ADAMS DIVERSIFIED EQUITY FD,,,,6726,USA
001120,ADAMS-MILLIS CORP,25,2520,252030,2250,USA
001121,ADAMS RESOURCES & ENERGY INC,10,1010,101020,5172,USA
001122,ADAMS RUSSELL,25,2540,254010,4841,USA
001123,ADCOR ELECTRONICS INC,45,4520,452050,3679,USA
001124,ADDISON-WESLEY PUB  -CL B,25,2540,254010,2731,USA
001732,ARGO PETROLEUM,10,1010,101020,1311,USA
001125,ADDITIVE TECHNOLOGY CORP,20,2020,202010,6794,USA
001126,ADDMASTER CORP,45,4520,452040,3578,USA
001127,ADHESIVES & CHEMICALS INC,,,,2890,USA
001128,ADIA SERVICES INC,20,2020,202010,7363,USA
001129,ADVANCED FUEL SYSTEMS INC,,,,3714,USA
001130,ADVANCED LOGIC SYSTEMS INC,45,4520,452020,3572,USA
001131,ADLEY CORP,,,,4210,USA
001132,ADMINISTRATIVE SYSTEMS INC,,,,7374,USA
001133,ADMIRAL CORP,,,,3651,USA
001134,ADOBE BUILDING CENTERS INC,,,,5030,USA
001135,ADOBE OIL & GAS CORP,10,1010,101020,1311,USA
001136,ADRIAN STEEL CO,,,,3490,USA
001137,ADVANCE CIRCUITS INC,20,2010,201040,3672,USA
001138,ADVANCE ROSS CORP,40,4020,402010,6099,USA
001139,ADVANCED CHEMICAL TECHNOLOGY,,,,3412,USA
001140,ADVANCED COMMUNICATIONS INC,45,4520,452010,3661,USA
001141,ADVANCED COMPUTER TECHNIQUES,45,4510,451030,7373,USA
001142,ADVANCED ENERGY CORP,20,2020,202010,4953,USA
001143,ADVANCED ENERGY RESOURCES,10,1010,101010,1381,USA
001144,ADVANCED DRILLING SYSTEMS,10,1010,101010,7359,USA
001145,ADVANCED SYSTEMS INC,25,2540,254010,7812,USA
001146,ADVENT CORP,,,,3651,USA
001147,ADVERTISING UNLIMITED INC,20,2020,202010,2750,USA
001148,ADVEST GROUP INC,40,4020,402010,6211,USA
001149,ADVOCATE MINES LTD,,,,1400,USA
001150,AEGIS CORP,,,,3730,USA
001151,AEQUITRON MEDICAL INC,35,3510,351010,3842,USA
001152,AERCO CORP CL A,,,,3440,USA
001153,AERO-FLOW DYNAMICS INC,,,,5084,USA
001154,AERO SYSTEMS ENGINEERING INC,20,2010,201060,8711,USA
001155,AERO SYSTEMS INC,25,2550,255010,5080,USA
001156,AERODEX INC,,,,3724,USA
001157,AEROJET GENERAL CORP,,,,3721,USA
001158,AEROLOGICAL RESEARCH INC,,,,3826,USA
001159,AERONCA INC,20,2010,201010,3728,USA
001160,AERONIX INC,,,,3430,USA
001161,ADVANCED MICRO DEVICES,45,4530,453010,3674,USA
001162,ADVENTURE LANDS OF AMERICA,,,,7990,USA
001163,ADVANCED MONITORING SYS INC,10,1010,101010,1389,USA
001164,MCI INC,50,5010,501010,4813,USA
165886,APEX WEALTH ENTERPRISES LTD,,,,9995,VGB
001165,B-FAST CORP,20,2030,203050,9995,USA
001166,ASM INTERNATIONAL NV,45,4530,453010,3559,NLD
001167,ADVANT CORP,,,,5045,USA
001168,ADVANCED ENERGY CONCEPTS INC,20,2010,201020,3080,USA
001169,ADV GENETIC SCIENCES,15,1510,151010,2890,USA
001170,ADVANCED TELECOMMUN-OLD,50,5010,501010,4813,USA
001171,ADVANCED TELECOMMUNICATIONS,50,5010,501010,4813,USA
001172,ADV PROFESSIONAL SALES-OLD,35,3510,351020,5047,USA
001173,AEROSONIC CORP,20,2010,201010,3812,USA
001174,AEROTRON INC,,,,3663,USA
001175,AEROVOX CORP,,,,3670,USA
001176,AETNA BUSINESS CREDIT INC,,,,6159,USA
001177,AETNA INC,35,3510,351020,6324,USA
001178,AFFILIATED BANKSHARES COLO,40,4010,401010,6020,USA
001179,AFFILIATED CAPITAL CORP,,,,6552,USA
001180,AFFILIATED HOSPITAL PRODS,,,,3060,USA
001181,AFFILIATED PUBNS,25,2540,254010,2711,USA
001182,AFTER SIX INC,,,,2300,USA
001183,IDNA INC,25,2540,254010,4899,USA
001184,AGGIE OIL CO,,,,1381,USA
001185,AGNEW SURPASS SHOE STORES,,,,3140,USA
001186,AGNICO EAGLE MINES LTD,15,1510,151040,1040,CAN
001187,AGNICO MINES LTD,,,,1000,USA
001188,AGOIL INC-OLD,,,,1381,USA
001189,AGRA INDUSTRIES LTD,20,2010,201050,8711,CAN
