permno,ticker,comnam,siccd,exchcd,shrcd,namedt,nameendt
10000,OMFGA,OPTIMUM MANUFACTURING INC,3990,3,10,1986-01-07,1987-06-11
10001,GFGC,GREAT FALLS GAS CO,4920,3,11,1986-01-09,1993-11-21
10001,EWST,ENERGY WEST INC,4920,3,11,1993-11-22,2008-02-04
10001,EWST,ENERGY WEST INC,4920,3,11,2008-02-05,2009-08-03
10001,EGAS,ENERGY INC,4920,3,11,2009-08-04,2009-12-17
10001,EGAS,ENERGY INC,4925,2,11,2009-12-18,2010-07-08
10001,EGAS,GAS NATURAL INC,4925,2,11,2010-07-09,2017-08-03
10002,MBNC,MOBILE NATIONAL CORP,6710,3,10,1986-01-10,1993-09-29
10002,SABC,SOUTH ALABAMA BANCORPORATION INC,6710,3,11,1993-09-30,1999-06-30
10002,SABC,SOUTH ALABAMA BANCORPORATION INC,6020,3,11,1999-07-01,2002-05-14
10002,BTFG,BANCTRUST FINANCIAL GROUP INC,6020,3,11,2002-05-15,2013-02-15
10003,GCBK,GREAT COUNTRY BK ASONIA CT,6030,3,11,1986-01-14,1987-03-31
10003,GCBK,GREAT COUNTRY BK ASONIA CT,6020,3,11,1987-04-01,1995-12-15
10004,CLSO,CLOSE OUTS PLUS INC,5330,3,10,1986-01-15,1986-01-17
10005,WERC,WESTERN ENERGY RESOURCES INC,1310,3,10,1986-01-15,1991-07-11
10006,,AMERICAN CAR & FDRY CO,3740,1,10,1925-12-31,1954-05-31
10006,,A C F INDUSTRIES INC,3740,1,10,1954-06-01,1962-07-01
10006,ACF,A C F INDUSTRIES INC,3743,1,10,1962-07-02,1968-01-01
10006,ACF,A C F INDUSTRIES INC,3743,1,10,1968-01-02,1984-06-28
10007,SDIC,SHAREDATA INC,7370,3,10,1986-01-16,1987-06-02
10007,SDICV,SHAREDATA INC,7370,3,10,1987-06-03,1987-07-12
10007,SDIC,SHAREDATA INC,7370,3,10,1987-07-13,1987-12-21
10007,,SHAREDATA INC,7370,0,10,1987-12-22,1989-02-21
10007,SHRD,SHAREDATA INC,7370,3,10,1989-02-22,1990-10-16
10008,GACO,GARDENAMERICA CORP,3430,3,10,1986-01-16,1988-11-21
10009,CAYB,CAYUGA SAVINGS BANK NY,6020,3,11,1986-01-17,1986-07-31
10009,CAYB,CAYUGA SAVINGS BANK NY,6030,3,11,1986-08-01,1987-03-31
10009,CAYB,CAYUGA SAVINGS BANK NY,6020,3,11,1987-04-01,1990-03-01
10009,IROQ,IROQUOIS BANCORP INC,6020,3,11,1990-03-02,1999-06-30
10009,IROQ,IROQUOIS BANCORP INC,6030,3,11,1999-07-01,2000-11-03
10010,CBOT,CABOT MEDICAL CORP,3840,3,11,1986-01-17,1995-08-28
10011,ATCE,A T C ENVIRONMENTAL INC,4950,3,10,1988-06-08,1995-04-02
10011,ATCE,A T C ENVIRONMENTAL INC,7390,3,10,1995-04-03,1996-10-17
10011,ATCS,A T C GROUP SERVICES INC,7390,3,11,1996-10-18,1998-02-06
10012,DPAC,DENSE PACIFIC MICROSYSTEMS INC,3670,3,11,1986-01-22,1987-08-03
10012,,DENSE PACIFIC MICROSYSTEMS INC,3670,0,11,1987-08-04,1987-10-22
10012,DPAC,DENSE PACIFIC MICROSYSTEMS INC,3670,3,11,1987-10-23,1988-07-12
