Journal,Count
Source: Strategic Management Journal,2
Source: The Academy of Management Review,2
Source: The Quarterly Journal of Economics,2
International Data Privacy Law,1
EuropeanManagementJournal(2011)29,1
TYPE SystematicReview,1
Journal of Financial Economics 33 (1993) 3-56. North-Holland,1
InternationalReviewofEconomicsandFinance94(2024)103433,1
Australian Journal of Management,1
Working Paper No. 1396,1
JournalofFinancialEconomics51(1999)371—406,1
Public Relations Review 38 (2012) 83– 88,1
JournalofCorporateFinance82(2023)102445,1
Disclosure: A Literature Review,1
Vol.68,1
InternationalReviewofFinancialAnalysis93(2024)103164,1
ID 198806] Congressional Review Act harm to customers is reasonably likely,1
Source: The Journal of Finance,1
JournalofAccountingResearch,1
Journal of Accounting and Public Policy,1
JournalofInternationalFinancialMarkets,1
International Journal of Mathematics and Mathematical Sciences,1
Source: The Journal of Financial and Quantitative Analysis,1
JournalofCybersecurity,1
Source: American Journal of Sociology,1
JournalofAccountingandEconomics56(2013)147–177,1
Corporate Reputation Review Volume 10 Number 3,1
Vol.30,1
Journal of Financial Economics 139 (2021) 719–749,1
Journal of Banking Regulation,1
JournalofCorporateFinance66(2021)101762,1
JournalofComputerSecurity11(2003)431–448 431,1
Journal of Economic Literature 2016,1
Journal of Environmental Management 389 (2025) 126184,1
Vol.37,1
Volume 5 \ Issue 2 \ w5.2.6 \ 06-16-2025,1
Journal of Financial Economics 3 (1976) 305-360. Q North-Holland Publishing Company,1
Vol. 70,1
Visualization and Data Protection Law Review,1
Source: Journal of Accounting Research,1
