Journal,Count
Article,4
Strategic Management Journal,2
The Academy of Management Review,2
The Quarterly Journal of Economics,2
U.S. Cost of a Data Breach,1
United States,1
International Data Privacy Law,1
EuropeanManagementJournal,1
Bridging the human factor gap: Fortifying employees through training,1
Journal of Financial Economics 33,1
InternationalReviewofEconomicsandFinance94,1
Australian Journal of Management,1
Stewart C. Myers,1
JournalofFinancialEconomics51,1
Cost of a Data Breach,1
Public Relations Review 38,1
JournalofCorporateFinance82,1
Disclosure: A Literature Review,1
Vol.68,1
InternationalReviewofFinancialAnalysis93,1
ID 198806] Congressional Review Act harm to customers is reasonably likely,1
Virginia Polytechnic Institute and State University,1
DataandInformationManagement8,1
The Journal of Finance,1
JournalofAccountingResearch,1
DOI:10.1111/eufm.12236,1
J.Account.PublicPolicy46,1
Invited Forum: Providing Evidence Against the Presence of a (Meaningful) Effect,1
Estimating Standard Errors in Finance Panel,1
Information&Management46,1
FCC Updates Data Breach Notification Rules,1
Received:28April2023 Revised:6June2024 Accepted:24June2024,1
TheAnnalsofStatistics,1
J. Int. Financ. Markets Inst. Money 97,1
International Journal of Mathematics and Mathematical Sciences,1
The Journal of Financial and Quantitative Analysis,1
Indiana University,1
JournalofCybersecurity,1
American Journal of Sociology,1
Security and Assurance,1
JournalofAccountingandEconomics56,1
Corporate Reputation Review Volume 10 Number 3,1
MachineLearning,1
Vol.30,1
Journal of Financial Economics 139,1
MacKinnon,1
Journal of Banking Regulation,1
JournalofCorporateFinance66,1
The Leadership Quarterly14,1
Information Systems Frontiers,1
JournalofComputerSecurity11,1
Journal of Economic Literature 2016,1
The Effect of Internet Security Breach,1
Journal of Environmental Management 389,1
JOURNALOFINFORMATIONSYSTEMS AmericanAccountingAssociation,1
The Iron Cage Revisited: Institutional Isomorphism and Collective Rationality in,1
Volume 5 \ Issue 2 \ w5.2.6 \ 06-16-2025,1
Received:22November2021 Revised:5February2024 Accepted:19February2024,1
Journal of Financial Economics 3,1
Electronic Markets,1
Vol. 70,1
Visualization and Data Protection Law Review,1
Jerold B. Warner*,1
Why Firms,1
