org_name,breach_date,reported_date,prc_status,survives_to_333,treated,event_breach_date,event_composition,primary_source,source_url,verification_date
CenturyLink,2017-01-30 00:00:00,2017-02-24 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,YES,1,2017-01-30,MIXED (1/2 records missing),,,
"T-Mobile USA, Inc.",2021-02-12 00:00:00,2021-03-16 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,YES,1,2021-02-12,ALL RECORDS MISSING FROM PRC,,,
Twilio,2022-08-04 00:00:00,2022-08-04 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,YES,1,2022-08-04,ALL RECORDS MISSING FROM PRC,,,
"Charter Communications, Inc.",2023-01-01 00:00:00,2023-01-01 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,YES,1,2023-01-01,ALL RECORDS MISSING FROM PRC,,,
"AT&T Services, Inc.",2023-03-01 00:00:00,2023-03-01 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,YES,1,2023-03-01,ALL RECORDS MISSING FROM PRC,,,
Comcast,2023-10-16 00:00:00,2023-12-18 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,YES,1,2023-10-16,ALL RECORDS MISSING FROM PRC,,,
Comcast,2024-02-14 00:00:00,2024-07-17 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,YES,1,2024-02-14,ALL RECORDS MISSING FROM PRC,,,
AT&T Inc.,2024-03-17 00:00:00,2024-04-15 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,YES,1,2024-03-17,MIXED (1/4 records missing),,,
Twilio,2024-04-01 00:00:00,2024-04-01 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,YES,1,2024-04-01,ALL RECORDS MISSING FROM PRC,,,
AT&T Inc.,2024-04-14 00:00:00,2024-07-12 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,YES,1,2024-04-14,MIXED (1/2 records missing),,,
Apple Inc.,2010-06-01 00:00:00,2010-06-09 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,YES,0,2010-06-01,ALL RECORDS MISSING FROM PRC,,,
