Case,Group,CIK,Row 1,Row 2,Days apart,Same normalized name,Detail 1,Detail 2,PROPOSED,Rule,involves_treated
ADJ-02,adjacent-date pair,20520,"Frontier Communications Parent, Inc. | 2024-04-13 | type=HACK | rec=2 | CAR=3.5229 | fcc=1","Frontier Communications Parent, Inc. | 2024-04-14 | type=HACK | rec=3 | CAR=3.9861 | fcc=1",1,True,"The Maine Office of the Attorney General reported a data breach involving Frontier Communications Parent, Inc.","The Vermont Office of the Attorney General reported that Frontier Communications Parent, Inc. experienced a da",COLLAPSE (proposed),"T-Mobile 8/17-8/18 / FIS 10-04:10-06 precedent: same firm, same type, <=3 days = near-duplicate refiling",True
ADJ-03,adjacent-date pair,20520,"Frontier Communications Parent, Inc. | 2024-06-10 | type=HACK | rec=5 | CAR=3.3666 | fcc=1","Frontier Communications Parent, Inc. | 2024-06-12 | type=HACK | rec=671 | CAR=8.1199 | fcc=1",2,True,"The Texas Attorney General reported a data breach involving Frontier Communications Parent, Inc. on June 10, 2","On June 12, 2024, the Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach ",FLAG - REVIEW,Same name/type but records differ >10x; possibly distinct incidents,True
ADJ-10,adjacent-date pair,732717,AT&T Inc | 2024-04-09 | type=HACK | rec=51226382 | CAR=-0.3367 | fcc=1,AT&T Inc. | 2024-04-10 | type=HACK | rec=161272 | CAR=1.9726 | fcc=1,1,True,"The Indiana Office of the Attorney General reported on April 9, 2024, that AT&T Inc experienced a data breach ",The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving AT&T Inc,FLAG - REVIEW,Same name/type but records differ >10x; possibly distinct incidents,True
ADJ-37,adjacent-date pair,1283699,"T-Mobile USA, Inc. | 2009-10-05 | type=PHYS | rec=6 | CAR=nan | fcc=1",T-Mobile | 2009-10-08 | type=HACK | rec=490 | CAR=nan | fcc=1,3,False,"On October 5, 2009, the Massachusetts Office of Consumer Affairs and Business Regulation reported a data breac",The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving T-Mobile,KEEP (proposed),Different-brand-same-parent default: distinct events unless evidence says otherwise,True
ADJ-38,adjacent-date pair,1283699,"T-Mobile USA, Inc. | 2015-09-14 | type=HACK | rec=1 | CAR=0.1446 | fcc=1","T-Mobile USA, Inc. | 2015-09-15 | type=HACK | rec=15 | CAR=-5.8577 | fcc=1",1,True,"The California Office of the Attorney General reported on October 1, 2015, that T-Mobile USA, Inc. experienced","The Iowa Attorney General's Office reported a data breach involving T-Mobile USA, Inc. on October 6, 2015. The",FLAG - REVIEW,Same name/type but records differ >10x; possibly distinct incidents,True
ADJ-41,adjacent-date pair,1609711,GoDaddy.com LLC | 2019-10-16 | type=HACK | rec=12952 | CAR=1.025 | fcc=1,GoDaddy.com LLC | 2019-10-19 | type=HACK | rec=5 | CAR=-0.5365 | fcc=1,3,True,"The California Office of the Attorney General reported on May 17, 2023, that GoDaddy.com LLC experienced a dat","The California Office of the Attorney General reported a data breach involving GoDaddy.com LLC on May 3, 2020.",FLAG - REVIEW,Same name/type but records differ >10x; possibly distinct incidents,True
ADJ-42,adjacent-date pair,1702780,Altice USA | 2024-02-29 | type=HACK | rec=383 | CAR=-30.1227 | fcc=1,Altice USA | 2024-03-01 | type=HACK | rec=426 | CAR=-33.657 | fcc=1,1,True,The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving Altice U,"The Texas Attorney General reported on March 1, 2024, that Altice USA experienced a data breach affecting 426 ",COLLAPSE (proposed),"T-Mobile 8/17-8/18 / FIS 10-04:10-06 precedent: same firm, same type, <=3 days = near-duplicate refiling",True
CIK-03,same-parent-same-day,1166691,Comcast | 2023-10-16 | type=PHYS | rec=35900000 | CAR=-9.1027 | fcc=1,Comcast Cable Communications LLC | 2023-10-16 | type=HACK | rec=3 | CAR=-9.1027 | fcc=1,0,False,,"The Maryland Office of the Attorney General reported on January 19, 2024, a data",KEEP (proposed),"Different-brand-same-parent default: distinct events (e.g., separate brand operations breached same day)",True
CIK-04,same-parent-same-day,1166691,Comcast | 2024-02-14 | type=PHYS | rec=237703 | CAR=-2.723 | fcc=1,Comcast Cable Communications LLC | 2024-02-14 | type=HACK | rec=3 | CAR=-2.723 | fcc=1,0,False,,"The California Office of the Attorney General reported on October 3, 2024, a dat",KEEP (proposed),"Different-brand-same-parent default: distinct events (e.g., separate brand operations breached same day)",True
CIK-05,same-parent-same-day,1283699,Sprint | 2019-06-08 | type=HACK | rec=1 | CAR=-2.2977 | fcc=1,Sprint Business | 2019-06-08 | type=HACK | rec=80 | CAR=-2.2977 | fcc=0,0,False,"On July 3, 2019, the California Office of the Attorney General reported a data b",The Delaware Department of Justice reported a data breach involving Sprint Busin,KEEP (proposed),"Different-brand-same-parent default: distinct events (e.g., separate brand operations breached same day)",True
CIK-06,same-parent-same-day,1283699,T-Mobile | 2021-01-18 | type=PORT | rec=118290 | CAR=-7.7084 | fcc=1,"T-Mobile US, Inc. | 2021-01-18 | type=PORT | rec=57 | CAR=-7.7084 | fcc=0",0,False,The Indiana Office of the Attorney General reported a data breach involving T-Mo,The Maryland Office of the Attorney General reported a data breach involving T-M,KEEP (proposed),"Different-brand-same-parent default: distinct events (e.g., separate brand operations breached same day)",True
CIK-07,same-parent-same-day,1283699,T-Mobile | 2022-11-25 | type=HACK | rec=1 | CAR=1.7845 | fcc=1,T-Mobile USA | 2022-11-25 | type=HACK | rec=999999 | CAR=1.7845 | fcc=1,0,False,The Wisconsin Department of Justice reported a data breach affecting T-Mobile on,The Washington State Office of the Attorney General reported that T-Mobile USA e,KEEP (proposed),"Different-brand-same-parent default: distinct events (e.g., separate brand operations breached same day)",True
CIK-10,same-parent-same-day,1609711,GoDaddy | 2021-09-06 | type=HACK | rec=3 | CAR=-7.0434 | fcc=0,"GoDaddy.com, LLC | 2021-09-06 | type=HACK | rec=2 | CAR=-7.0434 | fcc=1",0,False,The California Attorney General reported a data breach involving GoDaddy on Nove,The Washington State Office of the Attorney General reported a cybersecurity inc,KEEP (proposed),"Different-brand-same-parent default: distinct events (e.g., separate brand operations breached same day)",True
CIK-12,same-parent-same-day,732717,AT&T | 2014-04-01 | type=INSD | rec=5 | CAR=4.7323 | fcc=1,AT&T Services Inc. | 2014-04-01 | type=INSD | rec=500 | CAR=4.7323 | fcc=1,0,False,The Wisconsin Department of Justice reported a data breach involving AT&T on Jun,The Massachusetts Office of Consumer Affairs and Business Regulation reported a ,KEEP (proposed),"Different-brand-same-parent default: distinct events (e.g., separate brand operations breached same day)",True
CIK-13,same-parent-same-day,732717,"AT&T Services, Inc. | 2014-04-09 | type=INSD | rec=1 | CAR=-1.3356 | fcc=1",ATT-SecurityBreach | 2014-04-09 | type=HACK | rec=3 | CAR=-1.3356 | fcc=0,0,False,"On June 5, 2014, AT&T Services, Inc. reported a data breach to the New Hampshire",The Indiana Office of the Attorney General reported a data breach involving ATT-,KEEP (proposed),"Different-brand-same-parent default: distinct events (e.g., separate brand operations breached same day)",True
CIK-14,same-parent-same-day,732717,AT&T | 2017-01-25 | type=INSD | rec=11 | CAR=-1.3269 | fcc=1,"AT&T Services, Inc. | 2017-01-25 | type=INSD | rec=14878 | CAR=-1.3269 | fcc=1",0,False,The Montana Department of Justice reported a data breach from AT&T that occurred,The Indiana Office of the Attorney General reported a data breach involving AT&T,KEEP (proposed),"Different-brand-same-parent default: distinct events (e.g., separate brand operations breached same day)",True
ADJ-01,adjacent-date pair,19617,"Morgan Industrial, Inc. | 2022-10-22 | type=HACK | rec=3199 | CAR=3.7451 | fcc=0","Morgan Industrial, Inc. dba Omega Morgan | 2022-10-23 | type=HACK | rec=933 | CAR=2.2769 | fcc=0",1,False,"The Oregon Department of Justice reported a data breach involving Morgan Industrial, Inc. dba Omega Morgan on ","On January 18, 2023, the Washington State Office of the Attorney General reported a data breach involving Morg",KEEP (proposed),Different-brand-same-parent default: distinct events unless evidence says otherwise,False
ADJ-04,adjacent-date pair,91440,"Snap-on, Inc. | 2022-03-01 | type=HACK | rec=41052 | CAR=0.4276 | fcc=0",Snap-on Incorporated | 2022-03-03 | type=HACK | rec=1803 | CAR=1.1228 | fcc=0,2,False,"The Maine Office of the Attorney General reported a data breach involving Snap-on, Inc. on April 7, 2022. The ","The Iowa Attorney General's Office reported a data breach involving Snap-on Incorporated on April 14, 2022. Th",KEEP (proposed),Different-brand-same-parent default: distinct events unless evidence says otherwise,False
ADJ-05,adjacent-date pair,101829,TALX Corporation | 2016-01-01 | type=HACK | rec=613 | CAR=nan | fcc=0,TALX Corporation | 2016-01-04 | type=HACK | rec=9999 | CAR=nan | fcc=0,3,True,"On May 15, 2017, the Iowa Attorney General's Office reported a data breach involving TALX Corporation, a subsi","On May 15, 2017, the Washington State Office of the Attorney General reported a data breach involving TALX Cor",FLAG - REVIEW,Same name/type but records differ >10x; possibly distinct incidents,False
ADJ-06,adjacent-date pair,313838,Sony Online Entertainment LLC | 2011-04-16 | type=HACK | rec=26504 | CAR=nan | fcc=0,Sony Online Entertainment | 2011-04-17 | type=HACK | rec=77000000 | CAR=nan | fcc=0,1,True,The New Hampshire Department of Justice reported that Sony Online Entertainment experienced a data breach betw,The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving Sony Onl,FLAG - REVIEW,Same name/type but records differ >10x; possibly distinct incidents,False
ADJ-07,adjacent-date pair,713676,"IMA Financial Group, Inc. | 2022-10-18 | type=HACK | rec=48358 | CAR=-2.1274 | fcc=0","IMA Financial Group, Inc. | 2022-10-19 | type=HACK | rec=39 | CAR=-3.2463 | fcc=0",1,True,"The Maine Office of the Attorney General reported a data breach involving IMA Financial Group, Inc. on July 6,","The New Hampshire Attorney General's Office reported a data breach involving IMA Financial Group, Inc. on July",FLAG - REVIEW,Same name/type but records differ >10x; possibly distinct incidents,False
ADJ-08,adjacent-date pair,713676,"Corebridge Financial, Inc. | 2023-05-29 | type=HACK | rec=999999 | CAR=1.5199 | fcc=0",Financial Institution Service Corporation | 2023-05-30 | type=None | rec=None | CAR=nan | fcc=None,1,False,"The Washington State Office of the Attorney General reported that Pension Benefit Information, LLC experienced",,KEEP (proposed),Different-brand-same-parent default: distinct events unless evidence says otherwise,False
ADJ-09,adjacent-date pair,732712,Verizon Communications Inc. | 2024-02-06 | type=INSD | rec=3251 | CAR=-8.9702 | fcc=0,Verizon Communications Inc. | 2024-02-09 | type=HACK | rec=2465 | CAR=-2.1243 | fcc=0,3,True,"On February 6, 2024, the Massachusetts Office of Consumer Affairs and Business Regulation reported a data brea","On February 9, 2024, the Texas Attorney General reported a data breach involving Verizon Communications Inc., ",FLAG - REVIEW,Same firm <=3 days but different breach types; could be distinct events,False
ADJ-11,adjacent-date pair,879585,Gray Television | 2016-08-08 | type=PORT | rec=35 | CAR=-1.6406 | fcc=0,Gray Television Inc | 2016-08-10 | type=PORT | rec=470000 | CAR=3.6497 | fcc=0,2,True,"The Maine Office of the Attorney General reported a data breach involving Gray Television on August 31, 2016. ",The Indiana Office of the Attorney General reported that Gray Television Inc. experienced a data breach on Aug,FLAG - REVIEW,Same name/type but records differ >10x; possibly distinct incidents,False
ADJ-12,adjacent-date pair,879585,Gray Television Inc | 2016-08-10 | type=PORT | rec=470000 | CAR=3.6497 | fcc=0,"Gray Television, Inc. | 2016-08-12 | type=PORT | rec=605 | CAR=2.6269 | fcc=0",2,True,The Indiana Office of the Attorney General reported that Gray Television Inc. experienced a data breach on Aug,"The Maryland Office of the Attorney General reported a data breach involving Gray Television, Inc. on August 3",FLAG - REVIEW,Same name/type but records differ >10x; possibly distinct incidents,False
ADJ-13,adjacent-date pair,896878,Intuit Inc. | 2015-12-07 | type=INSD | rec=310 | CAR=5.5756 | fcc=0,Intuit | 2015-12-08 | type=INSD | rec=671 | CAR=3.9536 | fcc=0,1,True,"The Massachusetts Office of Consumer Affairs and Business Regulation reported on December 7, 2015, that Intuit","The Montana Department of Justice reported a data breach involving Intuit on January 15, 2016. The breach occu",COLLAPSE (proposed),"T-Mobile 8/17-8/18 / FIS 10-04:10-06 precedent: same firm, same type, <=3 days = near-duplicate refiling",False
ADJ-14,adjacent-date pair,896878,Intuit Inc | 2016-02-29 | type=HACK | rec=1002 | CAR=0.882 | fcc=0,Intuit Inc. | 2016-03-01 | type=HACK | rec=161272 | CAR=-1.1849 | fcc=0,1,True,"The Indiana Office of the Attorney General reported a data breach involving Intuit Inc. on March 16, 2016. The","The Maryland Office of the Attorney General reported on March 9, 2016, that Intuit Inc. experienced multiple u",FLAG - REVIEW,Same name/type but records differ >10x; possibly distinct incidents,False
