org_name,record_count
T-Mobile,12
"AT&T Services, Inc.",7
Verizon,7
Comcast,4
Microsoft Corporation,4
TALX Corporation,4
Adobe Systems Incorporated,3
"Block and Company, Inc.",3
NBC Sports Group,3
NCH Corporation,3
The EstÃ©e Lauder Companies Inc.,3
ATT-Breach Notification,2
"Brown Paindiris & Scott, LLP",2
Capital Lumber Company,2
Cricket Wireless LLC,2
Duke Energy Corporation,2
"EBSCO Industries, Inc.",2
"Ensinger Industries, Inc.",2
Festo Corporation,2
"Financial Business and Consumer Solutions, Inc.",2
Gallagher NAC,2
Gates Corporation,2
GoDaddy.com,2
GoDaddy.com LLC,2
"GoDaddy.com, LLC",2
"Healthcare Fiscal Management, Inc.",2
IBM,2
Impact Mobile Home Communities,2
Merlin Information Services,2
"Newcourse Communications, Inc.",2
"Nokia Networks and Solutions US, LLC",2
Nucor Corporation,2
"Oracle USA, Inc.",2
Snap-on Incorporated,2
Sony Interactive Entertainment,2
Sony Online Entertainment,2
"Sony Pictures Entertainment, Inc.",2
Synergy Healthcare Services,2
"Worthen Industries, Inc.",2
"Xerox State Healthcare, LLC",2
A&A Services,1
A.Y. McDonald Industries Inc.,1
ABM Industries Incorporated,1
"ADF International, Inc.",1
"AGE Industries, Ltd.",1
"API Financial Solutions, Inc.",1
ASAP Semiconductor LLC,1
ASIS International,1
AT&T Services,1
AT&T Services Inc.,1
ATT-SecurityBreach,1
ATT-SecurityBreach2,1
"Advanced Mobile Notary, LLC",1
"Aero Charter, Inc.",1
"Allied-Locke Industries, Inc.",1
Amadas Industries,1
"American Alarm & Communications, Inc.",1
Ametros Financial Corporation,1
Amphenol Canada Corporation,1
Aon Corporation,1
Ariel Corporation,1
Arx Capital LLC,1
B Capital Group,1
BBB Industries LLC,1
"BBC Industries, Inc.",1
"BDP International, Inc.",1
"Block Electric Company, Inc.",1
"Bonland Industries, Inc.",1
"Bray International, Inc.",1
"Brown Construction Services, Inc.",1
"Brown Integrated Logistics, Inc.",1
Brown-Forman Corporation,1
"Burrelles Information Services, LLC",1
"CBD Industries, LLC",1
CLAS Information Services,1
"CM Group Holdings, Inc. d/b/a Creative Memories",1
"CSI Financial Services, LLC",1
CWGS Group,1
"Capital Asset Management Group, Inc.",1
"Capital Brands Distribution, LLC",1
Centene Management Corporation,1
"Centerline Communications, LLC",1
Centerstone Insurance and Financial Services,1
CenturyLink Communications,1
Centurylink Communications,1
Charter Communication,1
"Charter Next Generation, Inc.",1
Christensen Oâ€™Connor Johnson Kindness PLLC,1
Cintas Corporation,1
Citrix,1
"Cleo Communications US, LLC",1
Coca-Cola Bottling Company of Northern New England,1
Cognizant Technology Solutions Corporation,1
Cornerstone Healthcare Group Management Services LLC,1
Corteva Agriscience,1
Costco Photo Center,1
DC Group,1
DISH Network L.L.C.,1
"Defender Industries, Inc.",1
Delta Global Services,1
Deluxe Corporation,1
"Derby Industries, LLC",1
"DiGiovine, Hnilo, Jordan + Johnson Ltd",1
Disney Consumer Products and Interactive Media,1
Doubletree Suites by Hilton Walt Disney World,1
Duke Energy,1
"Dulany Industries, Inc.",1
Dynapar Corporation,1
E.W. Wylie Corporation,1
EMC Corporation,1
EMJ Corporation,1
Ensinger Industries Inc.,1
Evening Post Industries,1
Evening Telegram Company d/b/a Morgan Murphy Media,1
FGX International Inc.,1
Fidelity National Technology Imaging (FNTI),1
"Financial Risk Mitigation, Inc.",1
First American Financial Corporation,1
Fluke Corporation,1
Flutter International Inc.,1
"Focus Medical Communications, LLC",1
Forum Communications Company,1
Fox News LLC,1
Franklin International,1
"Freedom Financial Network, LLC",1
Frontier Communications,1
GC Services,1
"GIGAFLIGHT Connectivity, Inc.",1
General Dynamics Information Technology,1
"Georgetown Capital Group, Inc.",1
"Grand River Capital, LLC",1
"Gray, Inc.",1
HP Enterprise Services,1
HP Enterprise Services LLC,1
"HP Enterprise Services, LLC",1
"HTI Technology & Industries, Inc.",1
"Harrison, Mauro & Morgan, P.A.",1
Hershey Entertainment & Resorts Company,1
Holden International,1
Horizon Healthcare RCM,1
"Hoya Optical Labs of America, Inc.",1
Huntington Hospitality Financial Services Corp,1
Huntwood Industries,1
"IES Communications, LLC",1
"Indian Industries, Inc. d/b/a RAVE Sports",1
InterActive Financial Marketing Group,1
J&M Brown Company Inc.,1
"Jet Industries, Inc.",1
Johnson Engineering,1
"Johnson Matthey, Inc.",1
