org_name,breach_date,cik,resolved_cik,resolution_source,resolution_category
A&A Services,2023-10-03,1136893,,,LOST_RESOLUTION
A.Y. McDonald Industries Inc.,2025-01-12,63908,,,LOST_RESOLUTION
ABM Industries Incorporated,2018-01-08,1324404,,,LOST_RESOLUTION
"Activision Publishing, Inc.",2022-12-02,718877,1870564.0,"SEC name: ACTIVISION PUBLISHING, INC.",CIK_CORRECTED
"Activision Publishing, Inc.",2012-08-01,718877,1870564.0,"SEC name: ACTIVISION PUBLISHING, INC.",CIK_CORRECTED
"ADF International, Inc.",2017-03-10,5272,,,LOST_RESOLUTION
Adobe Systems Incorporated,2013-09-11,796343,,,LOST_RESOLUTION
Adobe Systems Incorporated,2019-10-19,796343,,,LOST_RESOLUTION
Adobe Systems Incorporated,2013-09-17,796343,,,LOST_RESOLUTION
"Advanced Mobile Notary, LLC",2025-02-23,1283699,,,LOST_RESOLUTION
"Aero Charter, Inc.",2020-12-06,1091667,,,LOST_RESOLUTION
AeroGrow International,2018-10-29,5272,,,LOST_RESOLUTION
"AeroGrow International, Inc.",2019-03-04,5272,,,LOST_RESOLUTION
"AGE Industries, Ltd.",2020-06-01,1324404,,,LOST_RESOLUTION
Aladdin Capital,2020-11-18,927628,1102487.0,SEC name: ALADDIN CAPITAL LLC,CIK_CORRECTED
"Allied-Locke Industries, Inc.",2021-11-08,1324404,,,LOST_RESOLUTION
Alpha & Omega Semiconductor,2022-02-22,1097864,1387467.0,SEC name: ALPHA & OMEGA SEMICONDUCTOR LTD,CIK_CORRECTED
Altice USA,2024-02-29,1702780,1702780.0,"SEC name: ALTICE USA, INC.",CIK_UNCHANGED
Altice USA,2024-03-01,1702780,1702780.0,"SEC name: ALTICE USA, INC.",CIK_UNCHANGED
"Altice USA, Inc.",2019-11-04,1702780,1702780.0,"SEC name: ALTICE USA, INC.",CIK_UNCHANGED
"Altria Group, Inc.",2006-12-01,764180,764180.0,SEC name: ALTRIA GROUP INC,CIK_UNCHANGED
Amadas Industries,2022-04-05,1324404,,,LOST_RESOLUTION
"American Alarm & Communications, Inc.",2023-11-28,1034054,,,LOST_RESOLUTION
American Electric Power,2018-12-09,4904,,,LOST_RESOLUTION
American Electric Power,2019-02-18,4904,,,LOST_RESOLUTION
Ametros Financial Corporation,2018-08-01,713676,,,LOST_RESOLUTION
Amgen Inc.,2023-08-16,318154,318154.0,SEC name: AMGEN INC,CIK_UNCHANGED
Amgen Inc.,2021-04-21,318154,318154.0,SEC name: AMGEN INC,CIK_UNCHANGED
Amphenol Canada Corporation,2021-08-16,820313,,,LOST_RESOLUTION
Aon Corporation,2020-12-17,315293,,,LOST_RESOLUTION
Aon Corporation PLC,2020-12-29,315293,,,LOST_RESOLUTION
Aon PLC,2022-02-25,315293,,,LOST_RESOLUTION
"API Financial Solutions, Inc.",2023-06-28,713676,,,LOST_RESOLUTION
Apple Inc.,2019-02-02,320193,320193.0,SEC name: APPLE COMPUTER INC,CIK_UNCHANGED
Apple Inc.,2014-08-31,320193,320193.0,SEC name: APPLE COMPUTER INC,CIK_UNCHANGED
Apple Inc.,2020-11-01,320193,320193.0,SEC name: APPLE COMPUTER INC,CIK_UNCHANGED
Apple Inc.,2010-06-01,320193,320193.0,SEC name: APPLE COMPUTER INC,CIK_UNCHANGED
Apple Inc.,2015-07-01,320193,320193.0,SEC name: APPLE COMPUTER INC,CIK_UNCHANGED
