cik,org_name,sic,n_breaches,mean_car,fcc_reportable
1283699,Sprint Business,4841,47,-1.4802510638297874,True
732717,"AT&T Services, Inc.",4813,30,-1.1451600000000002,True
1166691,Comcast Cable Communications LLC,4841,14,-1.1641785714285713,True
732712,Verizon,4813,13,2.2022769230769232,True
1091667,"Charter Communications, Inc.",4841,8,2.0051125,True
20520,Frontier Communications,4813,6,3.864383333333333,True
1702780,"Altice USA, Inc.",4841,3,-27.907466666666664,True
18926,CenturyLink,4813,2,-7.56035,True
1001082,"DISH Network, LLC",4841,2,-20.851950000000002,True
1632127,"Cable One, Inc.",4841,2,1.51295,True
