cik,org_name_1,breach_date_1,car_1,org_name_2,breach_date_2,car_2,days_apart
5272,MSX International Inc.,2023-02-02,-18.237,MSX International Inc.,2023-02-06,-7.7891,4
5272,Flutter International Inc.,2023-05-30,1.7912,SAE International,2023-06-06,5.0453,7
5272,SAE International,2023-06-06,5.0453,MD2 International,2023-06-12,1.4256,6
19617,"Morgan Industrial, Inc.",2022-10-22,3.7451,"Morgan Industrial, Inc. dba Omega Morgan",2022-10-23,2.2769,1
20520,"Frontier Communications Parent, Inc.",2024-04-13,3.5229,"Frontier Communications Parent, Inc.",2024-04-14,3.9861,1
20520,"Frontier Communications Parent, Inc.",2024-06-10,3.3666,"Frontier Communications Parent, Inc.",2024-06-12,8.1199,2
79282,"Brown Paindiris & Scott, LLP",2023-11-01,-9.0876,"Brown Paindiris & Scott, LLP",2023-11-07,-9.8193,6
79282,"Brown Paindiris & Scott, LLP",2023-11-07,-9.8193,"Brown Integrated Logistics, Inc.",2023-11-13,-12.538,6
91440,"Snap-on, Inc.",2022-03-01,0.4276,Snap-on Incorporated,2022-03-03,1.1228,2
101829,TALX Corporation,2016-01-01,,TALX Corporation,2016-01-04,,3
313838,Sony Online Entertainment LLC,2011-04-16,,Sony Online Entertainment,2011-04-17,,1
713676,"IMA Financial Group, Inc.",2022-10-18,-2.1274,"IMA Financial Group, Inc.",2022-10-19,-3.2463,1
713676,"Corebridge Financial, Inc.",2023-05-29,1.5199,Financial Institution Service Corporation,2023-05-30,1.5199,1
713676,WERCS d/b/a Wyoming Financial Group,2023-12-13,4.0988,First American Financial Corporation,2023-12-18,-6.5758,5
713676,"Financial Business and Consumer Solutions, Inc.",2024-02-09,0.4437,"Financial Business and Consumer Solutions, Inc.",2024-02-14,4.6579,5
713676,"Financial Business and Consumer Solutions, Inc.",2024-02-14,4.6579,"On Q Financial, LLC",2024-02-20,1.7782,6
732712,Verizon Communications Inc.,2024-02-06,-8.9702,Verizon Communications Inc.,2024-02-09,-2.1243,3
732717,"AT&T Services, Inc.",2014-06-05,1.6974,AT&T,2014-06-11,1.0352,6
732717,ATT-Breach Notification,2014-08-05,-4.3326,"AT&T Services, Inc.",2014-08-11,0.2376,6
732717,AT&T,2014-10-09,-3.7792,ATT-Breach Notification,2014-10-16,-5.4932,7
732717,"AT&T Services, Inc.",2017-01-25,-1.3269,AT&T Services,2017-02-01,-3.1862,7
732717,Cricket Wireless LLC,2018-08-17,-1.1855,Cricket Wireless LLC,2018-08-21,0.7712,4
732717,AT&T Inc,2024-04-09,-0.3367,AT&T Inc.,2024-04-10,1.9726,1
732717,AT&T Inc.,2024-04-10,1.9726,AT&T Inc.,2024-04-14,2.4085,4
773840,"Honeywell International, Inc.",2023-05-27,0.2521,Honeywell International Inc.,2023-06-03,-2.2863,7
777676,"Oracle USA, Inc.",2007-11-28,8.6675,"Oracle USA, Inc.",2007-12-03,16.8764,5
796343,Adobe Systems Incorporated,2013-09-11,6.4808,Adobe Systems Incorporated,2013-09-17,9.0534,6
874761,Gates Corporation,2023-02-07,-11.0895,Gates Corporation,2023-02-11,-8.7593,4
879585,Gray Television,2016-08-08,-1.6406,Gray Television Inc,2016-08-10,3.6497,2
879585,Gray Television Inc,2016-08-10,3.6497,"Gray Television, Inc.",2016-08-12,2.6269,2
896878,Intuit,2015-04-07,3.7689,Intuit,2015-04-14,6.1087,7
896878,Intuit,2015-12-01,3.607,Intuit Inc.,2015-12-07,5.5756,6
896878,Intuit Inc.,2015-12-07,5.5756,Intuit,2015-12-08,3.9536,1
896878,Intuit,2016-02-24,-0.5662,Intuit Inc,2016-02-29,0.882,5
896878,Intuit Inc,2016-02-29,0.882,Intuit Inc.,2016-03-01,-1.1849,1
896878,Intuit Inc.,2016-03-01,-1.1849,Intuit Inc,2016-03-03,-0.8039,2
896878,Intuit Inc,2016-03-03,-0.8039,"Intuit, Inc.",2016-03-07,-0.4628,4
896878,"Intuit, Inc.",2016-03-07,-0.4628,Intuit Inc,2016-03-08,-0.6379,1
896878,Intuit Inc,2016-03-08,-0.6379,Intuit,2016-03-09,-2.742,1
896878,Intuit,2016-03-17,-2.0382,Intuit Inc.,2016-03-22,-2.4031,5
896878,Intuit Inc.,2016-03-22,-2.4031,"Intuit, Inc.",2016-03-23,-2.0225,1
896878,"Intuit, Inc.",2016-03-23,-2.0225,Intuit Inc,2016-03-29,-1.9936,6
896878,Intuit Inc,2016-03-29,-1.9936,Intuit Inc.,2016-04-01,-1.4841,3
896878,Intuit Inc.,2016-04-01,-1.4841,Intuit,2016-04-06,-1.7591,5
896878,Intuit,2016-04-29,3.9436,Intuit Inc.,2016-05-02,4.7786,3
896878,Intuit,2016-05-27,5.4693,"Intuit, Inc.",2016-06-01,5.6231,5
896878,Intuit,2016-10-18,2.4267,Intuit Inc.,2016-10-23,1.6438,5
896878,Intuit Inc.,2016-10-23,1.6438,Intuit Inc,2016-10-30,1.4656,7
896878,Intuit,2017-01-27,2.9495,Intuit Inc.,2017-01-30,2.5857,3
896878,"Intuit, Inc.",2017-02-13,-0.7014,Intuit Inc.,2017-02-20,-3.1139,7
896878,Intuit,2017-02-28,-5.068,"Intuit, Inc.",2017-03-02,-2.6336,2
896878,"Intuit, Inc.",2017-04-02,8.5286,Intuit,2017-04-04,8.2349,2
896878,Intuit Inc,2017-04-17,14.5257,Intuit Inc.,2017-04-19,13.945,2
896878,"Intuit, Inc.",2017-07-30,3.7955,Intuit Inc.,2017-08-01,2.2721,2
896878,Intuit Inc.,2017-08-01,2.2721,Intuit Inc.,2017-08-08,4.4415,7
896878,Intuit Inc.,2017-08-25,1.7512,Intuit Inc,2017-09-01,-1.1948,7
896878,"Intuit, Inc.",2019-01-29,12.7048,Intuit Inc.,2019-01-30,15.2307,1
896878,"Intuit, Inc.",2019-02-21,8.1468,Intuit Inc.,2019-02-22,7.3263,1
896878,Intuit Inc.,2019-03-21,-6.4911,"Intuit, Inc.",2019-03-26,-6.5002,5
927628,"Pendrick Capital Partner Holdings, LLC",2021-04-12,17.2096,"Eagle Capital Management, LLC",2021-04-13,15.7938,1
1001082,"DISH Network, LLC",2023-02-22,-40.6017,DISH Network Corporation,2023-02-23,-39.3194,1
1060391,Republic Services,2013-08-10,-3.5113,Republic Services,2013-08-11,-3.0894,1
1060391,"Republic Services, Inc.",2019-02-01,-1.757,"Republic Services, Inc",2019-02-02,-1.757,1
1136893,"Fidelity National Information Services, Inc.",2023-05-27,3.9513,"Fidelity National Information Services, Inc.",2023-05-29,2.7225,2
1136893,"Fidelity National Information Services, Inc.",2023-05-29,2.7225,"Fidelity National Information Services, Inc.",2023-05-31,3.1221,2
1136893,"Fidelity National Information Services, Inc.",2023-06-21,2.406,"Fidelity National Information Services, Inc.",2023-06-26,5.6068,5
1136893,"Fidelity National Information Services, Inc.",2023-07-17,-3.6166,"Fidelity National Information Services, Inc.",2023-07-21,-6.875,4
1136893,"Fidelity National Information Services, Inc.",2023-09-08,-1.7322,GC Services,2023-09-11,-4.7437,3
1136893,A&A Services,2023-10-03,-4.5357,"Fidelity National Information Services, Inc.",2023-10-04,-4.2424,1
1136893,"Fidelity National Information Services, Inc.",2023-10-04,-4.2424,"Fidelity National Information Services, Inc.",2023-10-06,-4.1717,2
1283699,"T-Mobile USA, Inc.",2009-10-05,,T-Mobile,2009-10-08,,3
1283699,"T-Mobile USA, Inc.",2015-09-14,0.1446,"T-Mobile USA, Inc.",2015-09-15,-5.8577,1
1283699,Sprint Corporation,2017-05-01,-7.1273,Sprint,2017-05-07,-5.1309,6
1283699,Sprint,2019-06-02,-0.7493,Sprint,2019-06-08,-2.2977,6
1283699,"T-Mobile US, Inc.",2020-08-27,-0.1464,T-Mobile,2020-08-31,3.4673,4
1283699,"T-Mobile USA, Inc.",2021-08-13,-12.2988,T-Mobile USA,2021-08-17,-7.238,4
1283699,"T-Mobile USA, Inc.",2021-08-17,-7.238,T-Mobile USA,2021-08-18,-7.2929,1
1308161,Fox Entertainment Group,2009-04-09,,Fox Entertainment Group Inc.,2009-04-15,,6
1324404,Sierra Pacific Industries,2022-06-10,5.8503,Sierra Pacific Industries,2022-06-11,5.8503,1
1324404,Vulcan Industries,2023-11-01,-15.6671,"Mark Dunning Industries, Inc.",2023-11-07,-9.2619,6
1609711,GoDaddy.com LLC,2019-10-16,1.025,GoDaddy.com LLC,2019-10-19,-0.5365,3
1645590,Hewlett-Packard Company,2008-12-04,,Hewlett-Packard Company,2008-12-08,,4
1660134,Okta Inc,2023-11-02,8.5658,"Okta, Inc.",2023-11-07,15.882,5
1702780,Altice USA,2024-02-29,-30.1227,Altice USA,2024-03-01,-33.657,1
1755336,Time Warner Inc.,2017-07-20,,"Home Box Office, Inc.",2017-07-23,,3
1932393,"Healthcare Fiscal Management, Inc.",2020-04-12,,"Healthcare Fiscal Management, Inc.",2020-04-13,,1
