form,filingDate,items,accessionNumber,primaryDocument,size,primaryDocDescription,final_cik,breach_date,days,treated,is502
8-K,2019-04-29,"5.03,5.07,9.01",0000004904-19-000023,aepshrhldrsmtng8k04-2019.htm,76418,AEP 8-K 2019 ANNUAL MEETING OF SHAREHOLDERS,4904,2018-12-09,141,0,False
8-K,2019-04-25,"2.02,9.01",0000004904-19-000016,a1q20198-kpressrelease.htm,431704,1Q 2019 8-K PRESS RELEASE,4904,2018-12-09,137,0,False
8-K,2019-03-19,"1.01,2.03,9.01",0001193125-19-079714,d715837d8k.htm,1407678,8-K,4904,2018-12-09,100,0,False
8-K,2019-01-24,"2.02,9.01",0000004904-19-000003,a4q20188kpressrelease.htm,688846,4Q 2018 8-K PRESS RELEASE,4904,2018-12-09,46,0,False
8-K,2019-07-25,"2.02,9.01",0000004904-19-000037,a2q20198-kpressrelease.htm,879302,2Q 2019 8-K PRESS RELEASE,4904,2019-02-18,157,0,False
8-K,2019-04-29,"5.03,5.07,9.01",0000004904-19-000023,aepshrhldrsmtng8k04-2019.htm,76418,AEP 8-K 2019 ANNUAL MEETING OF SHAREHOLDERS,4904,2019-02-18,70,0,False
8-K,2019-04-25,"2.02,9.01",0000004904-19-000016,a1q20198-kpressrelease.htm,431704,1Q 2019 8-K PRESS RELEASE,4904,2019-02-18,66,0,False
8-K,2019-03-19,"1.01,2.03,9.01",0001193125-19-079714,d715837d8k.htm,1407678,8-K,4904,2019-02-18,29,0,False
8-K,2013-08-07,5.02,0000950142-13-001766,eh1301002_8k.htm,29332,FORM 8-K,8670,2013-04-29,100,0,True
8-K,2013-08-01,"2.02,9.01",0001171843-13-003118,document.htm,250393,FORM 8-K FILING DOCUMENT,8670,2013-04-29,94,0,False
8-K,2013-06-20,"1.01,2.03,9.01",0000950142-13-001519,eh1300882_8k.htm,1463647,FORM 8-K,8670,2013-04-29,52,0,False
8-K,2013-05-03,"2.02,9.01",0001171843-13-001760,document.htm,239152,FORM 8-K FILING DOCUMENT,8670,2013-04-29,4,0,False
8-K,2017-05-03,5.07,0000012927-17-000028,a201705may18-kdocument.htm,56974,8-K,12927,2016-11-21,163,0,False
8-K,2017-04-26,"2.02,9.01",0000950123-17-003588,a201703mar318-k.htm,1414617,FORM 8-K,12927,2016-11-21,156,0,False
8-K,2017-02-16,"8.01,9.01",0001193125-17-046619,d349747d8k.htm,274730,FORM 8-K,12927,2016-11-21,87,0,False
8-K,2017-01-25,"2.02,9.01",0000950123-17-000426,a201612dec318-k.htm,1710499,8-K,12927,2016-11-21,65,0,False
8-K,2016-12-12,"8.01,9.01",0000012927-16-000170,a201612dec128kdocument.htm,846194,FORM 8-K,12927,2016-11-21,21,0,False
8-K,2014-06-02,"5.02,5.03,5.07,9.01",0001193125-14-221590,d734946d8k.htm,227414,8-K,18926,2013-12-27,157,1,True
8-K,2014-05-07,"2.02,9.01",0001445305-14-001927,ctl20148-kearningsreleasex.htm,701905,8-K,18926,2013-12-27,131,1,False
8-K,2014-02-27,"5.03,8.01,9.01",0001445305-14-000666,a8-kbylawamendments.htm,277593,8-K,18926,2013-12-27,62,1,False
8-K,2014-02-21,"1.01,8.01",0001445305-14-000550,a8-kkpnqwestlitigationsett.htm,41868,8-K,18926,2013-12-27,56,1,False
8-K,2014-02-12,2.02,0001445305-14-000425,ctlq420138-kearningsrelease.htm,1279593,8-K,18926,2013-12-27,47,1,False
8-K,2017-06-22,"8.01,9.01",0000018926-17-000046,ctlform8-kctlxannouncesadd.htm,120756,8-K,18926,2017-01-30,143,1,False
8-K,2017-06-20,"1.01,2.03,9.01",0001193125-17-208224,d414013d8k.htm,1939278,8-K,18926,2017-01-30,141,1,False
8-K,2017-06-01,"5.02,8.01,9.01",0001193125-17-191355,d370866d8k.htm,227501,FORM 8-K,18926,2017-01-30,122,1,True
8-K,2017-05-31,5.07,0000018926-17-000031,ctlform8-kxsubmissionofmat.htm,95579,8-K,18926,2017-01-30,121,1,False
8-K,2017-05-23,"8.01,9.01",0000018926-17-000027,ctlform8-kxtermloanbpressr.htm,114145,8-K,18926,2017-01-30,113,1,False
8-K,2017-05-05,"8.01,9.01",0001193125-17-160263,d390687d8k.htm,35520,8-K,18926,2017-01-30,95,1,False
8-K,2017-05-03,"2.02,9.01",0000018926-17-000021,ctl20178-kearningsreleasex.htm,741583,8-K,18926,2017-01-30,93,1,False
8-K,2017-04-28,"8.01,9.01",0001193125-17-148097,d386357d8k.htm,59520,FORM 8-K,18926,2017-01-30,88,1,False
8-K,2017-04-27,"8.01,9.01",0001193125-17-141568,d383050d8k.htm,256776,8-K,18926,2017-01-30,87,1,False
8-K,2017-04-19,"8.01,9.01",0001193125-17-128577,d355300d8k.htm,42219,8-K,18926,2017-01-30,79,1,False
8-K,2017-03-16,"5.07,8.01,9.01",0001193125-17-085552,d346877d8k.htm,132238,FORM 8-K,18926,2017-01-30,45,1,False
8-K,2017-02-27,"8.01,9.01",0001193125-17-059239,d345830d8k.htm,38674,FORM 8-K,18926,2017-01-30,28,1,False
8-K,2017-02-23,"5.02,9.01",0001193125-17-053977,d354377d8k.htm,42532,FORM 8-K,18926,2017-01-30,24,1,True
8-K,2017-02-16,8.01,0000018926-17-000010,ctl20168-kxtomasulosettlem.htm,65348,8-K,18926,2017-01-30,17,1,False
8-K,2017-02-14,8.01,0001193125-17-043790,d349122d8k.htm,28495,8-K,18926,2017-01-30,15,1,False
8-K,2017-02-09,"7.01,9.01",0001193125-17-036249,d279249d8k.htm,188662,FORM 8-K,18926,2017-01-30,10,1,False
8-K,2017-02-08,"2.02,8.01,9.01",0000018926-17-000006,ctl20168-kearningsreleasex.htm,1206827,8-K EARNINGS RELEASE,18926,2017-01-30,9,1,False
8-K,2017-08-24,"5.03,9.01",0001193125-17-266971,d324409d8k.htm,226114,FORM 8-K,18926,2017-02-28,177,1,False
8-K,2017-08-02,"2.02,9.01",0000018926-17-000051,ctl20178-kearningsreleasex.htm,947315,8-K,18926,2017-02-28,155,1,False
8-K,2017-06-22,"8.01,9.01",0000018926-17-000046,ctlform8-kctlxannouncesadd.htm,120756,8-K,18926,2017-02-28,114,1,False
8-K,2017-06-20,"1.01,2.03,9.01",0001193125-17-208224,d414013d8k.htm,1939278,8-K,18926,2017-02-28,112,1,False
8-K,2017-06-01,"5.02,8.01,9.01",0001193125-17-191355,d370866d8k.htm,227501,FORM 8-K,18926,2017-02-28,93,1,True
8-K,2017-05-31,5.07,0000018926-17-000031,ctlform8-kxsubmissionofmat.htm,95579,8-K,18926,2017-02-28,92,1,False
8-K,2017-05-23,"8.01,9.01",0000018926-17-000027,ctlform8-kxtermloanbpressr.htm,114145,8-K,18926,2017-02-28,84,1,False
8-K,2017-05-05,"8.01,9.01",0001193125-17-160263,d390687d8k.htm,35520,8-K,18926,2017-02-28,66,1,False
8-K,2017-05-03,"2.02,9.01",0000018926-17-000021,ctl20178-kearningsreleasex.htm,741583,8-K,18926,2017-02-28,64,1,False
8-K,2017-04-28,"8.01,9.01",0001193125-17-148097,d386357d8k.htm,59520,FORM 8-K,18926,2017-02-28,59,1,False
8-K,2017-04-27,"8.01,9.01",0001193125-17-141568,d383050d8k.htm,256776,8-K,18926,2017-02-28,58,1,False
8-K,2017-04-19,"8.01,9.01",0001193125-17-128577,d355300d8k.htm,42219,8-K,18926,2017-02-28,50,1,False
8-K,2017-03-16,"5.07,8.01,9.01",0001193125-17-085552,d346877d8k.htm,132238,FORM 8-K,18926,2017-02-28,16,1,False
8-K,2021-02-10,"2.02,7.01,9.01",0000018926-21-000004,ctl-20210210.htm,917487,8-K,18926,2020-08-20,174,1,False
8-K,2021-02-02,"8.01,9.01",0001193125-21-024804,d120512d8k.htm,283842,8-K,18926,2020-08-20,166,1,False
8-K,2021-01-26,"5.03,8.01,9.01",0001193125-21-017712,d246960d8k.htm,1016734,8-K,18926,2020-08-20,159,1,False
8-K,2021-01-20,"5.02,9.01",0001193125-21-011905,d53156d8k.htm,185864,8-K,18926,2020-08-20,153,1,True
8-K,2021-01-13,"1.01,2.03,8.01,9.01",0001193125-21-008172,d51372d8k.htm,1260390,8-K,18926,2020-08-20,146,1,False
8-K,2021-01-12,"8.01,9.01",0001193125-21-006475,d110827d8k.htm,268288,8-K,18926,2020-08-20,145,1,False
8-K,2020-12-14,"8.01,9.01",0001193125-20-316965,d14040d8k.htm,284953,8-K,18926,2020-08-20,116,1,False
8-K,2020-11-27,"1.01,2.03,8.01,9.01",0001193125-20-304586,d71866d8k.htm,769676,8-K,18926,2020-08-20,99,1,False
8-K,2020-11-25,"1.01,3.03,8.01,9.01",0001193125-20-303096,d60853d8k.htm,235396,8-K,18926,2020-08-20,97,1,False
8-K,2020-11-24,"8.01,9.01",0001193125-20-301620,d87862d8k.htm,255182,8-K,18926,2020-08-20,96,1,False
8-K,2020-11-19,"8.01,9.01",0001193125-20-298123,d70585d8k.htm,183712,8-K,18926,2020-08-20,91,1,False
8-K,2020-11-04,"2.02,9.01",0000018926-20-000025,ctl-20201104.htm,642640,8-K,18926,2020-08-20,76,1,False
8-K,2020-10-26,"8.01,9.01",0001193125-20-276956,d21581d8k.htm,289190,8-K,18926,2020-08-20,67,1,False
8-K,2020-10-13,"7.01,9.01",0001193125-20-268462,d92687d8k.htm,309655,8-K,18926,2020-08-20,54,1,False
8-K,2020-09-16,"7.01,9.01",0001193125-20-247184,d47952d8k.htm,285265,8-K,18926,2020-08-20,27,1,False
