spec,dv,n,estimator,coef,se,ci_lo,ci_hi,p,G,G1
"(1) <=7-day binary, LPM",immediate_disclosure,340,"OLS, CV1 parent-CIK, t(G-1)",0.0806,0.0878,-0.094,0.2551,0.3614,83.0,12.0
"(1) <=7-day binary, logit",immediate_disclosure,340,logit AME (MLE SE),0.0827,0.0681,,,0.2241,,
"(2) <=7-day binary excl. zero-delay, LPM",immediate_disclosure,222,"OLS, CV1 parent-CIK, t(G-1)",0.0215,0.0357,-0.0496,0.0926,0.5488,76.0,11.0
"(2) <=7-day binary excl. zero-delay, logit",immediate_disclosure,222,logit AME (MLE SE),0.0187,0.0304,,,0.5388,,
(3a) raw delay days,disclosure_delay_days,340,"OLS, CV1 parent-CIK, t(G-1)",29.4689,40.7585,-51.6128,110.5505,0.4717,83.0,12.0
(3b) log(1+delay),delay_log1p,340,"OLS, CV1 parent-CIK, t(G-1)",-0.2541,0.4394,-1.1281,0.6199,0.5646,83.0,12.0
"(3c) raw delay, non-zero only",disclosure_delay_days,222,"OLS, CV1 parent-CIK, t(G-1)",65.8583,58.3541,-50.389,182.1057,0.2627,76.0,11.0
"(3d) log(delay), non-zero only",delay_log,222,"OLS, CV1 parent-CIK, t(G-1)",0.0897,0.3276,-0.5628,0.7422,0.7849,76.0,11.0
REPLICATION t16 raw (Essay 2 sample),disclosure_delay_days,333,"OLS, CV1 parent-CIK, t(G-1)",25.6924,38.789,-51.4855,102.8702,0.5096,82.0,12.0
REPLICATION t16 log1p (Essay 2 sample),delay_log1p,333,"OLS, CV1 parent-CIK, t(G-1)",-0.0863,0.4712,-1.0239,0.8513,0.8552,82.0,12.0
Essay 2 spec on Essay3∩Essay2 events: <=7 binary LPM,immediate_disclosure,333,"OLS, CV1 parent-CIK, t(G-1)",0.0427,0.0952,-0.1468,0.2321,0.6553,82.0,12.0
"Essay 2 spec on Essay3∩Essay2 events: <=7 binary excl zero, LPM",immediate_disclosure,216,"OLS, CV1 parent-CIK, t(G-1)",0.0221,0.0366,-0.0507,0.095,0.5471,75.0,11.0
Essay 2 spec on Essay3∩Essay2 events: raw delay,disclosure_delay_days,333,"OLS, CV1 parent-CIK, t(G-1)",25.6924,38.789,-51.4855,102.8702,0.5096,82.0,12.0
Essay 2 spec on Essay3∩Essay2 events: log(1+delay),delay_log1p,333,"OLS, CV1 parent-CIK, t(G-1)",-0.0863,0.4712,-1.0239,0.8513,0.8552,82.0,12.0
