final_cik,org_name,events
18926,CenturyLink,3
18926,CenturyLink Communications,1
18926,Centurylink Communications,1
20520,Frontier Communications,1
20520,"Frontier Communications Parent, Inc.",3
101830,Sprint,4
101830,Sprint Corporation,6
101830,Sprint Nextel,1
732712,Verizon,7
732712,Verizon Communications Inc.,2
732712,Verizon Corporate Services Group Inc.,1
732717,AT&T,10
732717,AT&T Inc,1
732717,AT&T Inc.,3
732717,AT&T Services,1
732717,"AT&T Services, Inc.",6
732717,"AT&T, Inc.",1
732717,Cricket Wireless LLC,2
1001082,"DISH Network, LLC",2
1091667,Charter Communication,1
1091667,Charter Communications,2
1091667,"Charter Communications, Inc.",5
1166691,Comcast,2
1166691,Comcast Cable Communications LLC,4
1166691,"Comcast Cable Communications, Inc.",2
1166691,NBCUniversal,1
1283699,Sprint,2
1283699,T-Mobile,7
1283699,"T-Mobile US, Inc.",1
1283699,T-Mobile USA,5
1283699,T-Mobile USA Inc,1
1283699,T-Mobile USA Inc.,2
1283699,"T-Mobile USA, Inc.",8
1447669,Twilio,2
1609711,GoDaddy.com LLC,1
1609711,"GoDaddy.com, LLC",2
1632127,"Cable One, Inc.",2
