org_name,breach_date,reported_date,n_source_records,has_crsp_data,disclosure_delay_days,executive_change_30d,executive_change_90d,executive_change_180d,days_to_first_item_5_02,in_essay3_sample,cik_vintage_at_t0
"T-Mobile USA, Inc.",2009-09-03,2009-09-03 00:00:00,1,0,0.0,0,0,0,,0,MetroPCS-era CIK
"T-Mobile USA, Inc.",2009-10-05,2009-10-05 00:00:00,1,0,0.0,0,0,1,154.0,0,MetroPCS-era CIK
T-Mobile,2009-10-08,2009-10-08 00:00:00,1,0,0.0,0,0,1,151.0,0,MetroPCS-era CIK
T-Mobile USA Inc.,2011-10-21,2011-10-21 00:00:00,1,0,0.0,0,0,1,116.0,0,MetroPCS-era CIK
T-Mobile,2012-05-08,2012-05-08 00:00:00,1,0,0.0,1,1,1,23.0,0,MetroPCS-era CIK
T-Mobile,2012-08-28,2012-08-28 00:00:00,1,0,0.0,0,1,1,36.0,0,MetroPCS-era CIK
T-Mobile,2013-11-01,2013-12-31 00:00:00,1,1,60.0,1,1,1,7.0,0,T-Mobile US
"T-Mobile USA, Inc.",2013-11-26,2013-12-30 00:00:00,1,1,34.0,0,1,1,85.0,0,T-Mobile US
"T-Mobile USA, Inc.",2014-01-02,2014-01-02 00:00:00,1,1,0.0,0,1,1,48.0,1,T-Mobile US
"T-Mobile USA, Inc.",2015-09-14,2015-10-01 00:00:00,9,1,17.0,0,0,1,158.0,1,T-Mobile US
T-Mobile USA Inc.,2015-10-01,2015-10-01 00:00:00,1,1,0.0,0,0,1,141.0,1,T-Mobile US
T-Mobile USA Inc,2015-11-04,2015-11-04 00:00:00,1,1,0.0,0,0,1,107.0,1,T-Mobile US
T-Mobile,2017-04-01,2017-06-09 00:00:00,2,1,69.0,0,0,0,,1,T-Mobile US
"T-Mobile USA, Inc.",2017-08-24,2017-09-14 00:00:00,1,1,21.0,0,0,1,120.0,1,T-Mobile US
"T-Mobile USA, Inc.",2017-09-16,2017-10-02 00:00:00,1,1,16.0,0,0,1,97.0,1,T-Mobile US
T-Mobile USA Inc.,2018-08-20,2018-08-23 00:00:00,1,1,3.0,0,1,1,74.0,1,T-Mobile US
T-Mobile USA,2019-11-26,2020-03-02 00:00:00,3,1,97.0,0,1,1,85.0,1,T-Mobile US
Sprint,2020-04-02,2020-04-02 00:00:00,1,1,0.0,1,1,1,14.0,1,T-Mobile US
Sprint,2020-04-15,2020-04-15 00:00:00,1,1,0.0,1,1,1,1.0,1,T-Mobile US
"T-Mobile US, Inc.",2020-08-27,2020-12-08 00:00:00,2,1,103.0,0,1,1,77.0,1,T-Mobile US
T-Mobile,2020-08-31,2020-10-09 00:00:00,1,1,39.0,0,1,1,73.0,1,T-Mobile US
T-Mobile,2021-01-18,2021-02-09 00:00:00,2,1,22.0,0,1,1,51.0,1,T-Mobile US
"T-Mobile USA, Inc.",2021-02-12,2021-03-16 00:00:00,1,1,32.0,1,1,1,26.0,1,T-Mobile US
T-Mobile,2021-02-20,2021-03-31 00:00:00,1,1,39.0,1,1,1,18.0,1,T-Mobile US
"T-Mobile USA, Inc.",2021-03-01,2021-08-16 00:00:00,1,1,168.0,1,1,1,9.0,1,T-Mobile US
T-Mobile,2021-03-31,2021-03-31 00:00:00,1,1,0.0,1,1,1,12.0,1,T-Mobile US
"T-Mobile USA, Inc.",2021-08-13,2021-08-16 00:00:00,1,1,3.0,0,1,1,34.0,1,T-Mobile US
T-Mobile USA,2021-08-17,2021-08-19 00:00:00,4,1,2.0,1,1,1,30.0,1,T-Mobile US
T-Mobile USA,2021-08-26,2021-08-26 00:00:00,1,1,0.0,1,1,1,21.0,1,T-Mobile US
T-Mobile,2022-03-08,2022-03-08 00:00:00,1,1,0.0,0,1,1,45.0,1,T-Mobile US
T-Mobile USA,2022-11-25,2023-01-19 00:00:00,3,1,55.0,0,1,1,70.0,1,T-Mobile US
"T-Mobile USA, Inc.",2023-02-01,2023-04-28 00:00:00,3,1,86.0,1,1,1,2.0,1,T-Mobile US
T-Mobile,2023-02-24,2023-04-28 00:00:00,1,1,63.0,1,1,1,14.0,1,T-Mobile US
T-Mobile USA,2023-04-28,2023-04-28 00:00:00,1,1,0.0,0,1,1,54.0,1,T-Mobile US
