breach_date,org_name,in_essay3_sample,filing_date,days_from_t0,form,items,accession,primary_doc,filer_vintage,text_on_disk
2009-10-05,"T-Mobile USA, Inc.",0,2010-03-08,154,8-K,5.02,0001193125-10-050196,d8k.htm,MetroPCS,
2009-10-08,T-Mobile,0,2010-03-08,151,8-K,5.02,0001193125-10-050196,d8k.htm,MetroPCS,
2011-10-21,T-Mobile USA Inc.,0,2012-02-14,116,8-K,5.02,0001193125-12-056765,d300486d8k.htm,MetroPCS,
2012-05-08,T-Mobile,0,2012-10-03,148,8-K,"1.01,2.03,3.02,3.03,5.02,8.01,9.01",0001283699-12-000027,form8-k100212.htm,MetroPCS,
2012-05-08,T-Mobile,0,2012-08-03,87,8-K,5.02,0001283699-12-000010,a8-klandry073012.htm,MetroPCS,
2012-05-08,T-Mobile,0,2012-05-31,23,8-K,"5.02,5.07,9.01",0001445305-12-001909,a8-k053112.htm,MetroPCS,
2012-08-28,T-Mobile,0,2013-02-07,163,8-K,5.02,0001283699-13-000011,form8-k020713.htm,MetroPCS,
2012-08-28,T-Mobile,0,2012-10-03,36,8-K,"1.01,2.03,3.02,3.03,5.02,8.01,9.01",0001283699-12-000027,form8-k100212.htm,MetroPCS,
2013-11-01,T-Mobile,0,2014-02-19,110,8-K,5.02,0001193125-14-058782,d679014d8k.htm,T-Mobile US,
2013-11-01,T-Mobile,0,2013-11-20,19,8-K,"1.01,5.02,8.01,9.01",0001193125-13-448555,d630913d8k.htm,T-Mobile US,
2013-11-01,T-Mobile,0,2013-11-08,7,8-K,5.02,0001283699-13-000134,tmus11072013form8-k.htm,T-Mobile US,
2013-11-26,"T-Mobile USA, Inc.",0,2014-02-19,85,8-K,5.02,0001193125-14-058782,d679014d8k.htm,T-Mobile US,
2014-01-02,"T-Mobile USA, Inc.",1,2014-02-19,48,8-K,5.02,0001193125-14-058782,d679014d8k.htm,T-Mobile US,
2015-09-14,"T-Mobile USA, Inc.",1,2016-02-19,158,8-K,5.02,0001193125-16-470124,d145133d8k.htm,T-Mobile US,36_1283699_0001193125-16-470124_d145133d8k.htm
2015-10-01,T-Mobile USA Inc.,1,2016-02-19,141,8-K,5.02,0001193125-16-470124,d145133d8k.htm,T-Mobile US,36_1283699_0001193125-16-470124_d145133d8k.htm
2015-11-04,T-Mobile USA Inc,1,2016-02-19,107,8-K,5.02,0001193125-16-470124,d145133d8k.htm,T-Mobile US,36_1283699_0001193125-16-470124_d145133d8k.htm
2017-08-24,"T-Mobile USA, Inc.",1,2017-12-22,120,8-K,5.02,0001193125-17-377654,d497580d8k.htm,T-Mobile US,
2017-09-16,"T-Mobile USA, Inc.",1,2018-02-21,158,8-K,5.02,0001193125-18-051913,d538557d8k.htm,T-Mobile US,
2017-09-16,"T-Mobile USA, Inc.",1,2017-12-22,97,8-K,5.02,0001193125-17-377654,d497580d8k.htm,T-Mobile US,
2018-08-20,T-Mobile USA Inc.,1,2018-12-04,106,8-K,5.02,0001283699-18-000071,form8-killekappointment.htm,T-Mobile US,
2018-08-20,T-Mobile USA Inc.,1,2018-11-02,74,8-K,5.02,0001283699-18-000063,form8-kdannenfeldtresignat.htm,T-Mobile US,
2019-11-26,T-Mobile USA,1,2020-04-24,150,8-K,5.02,0001193125-20-119230,d912727d8k.htm,T-Mobile US,37_1283699_0001193125-20-119230_d912727d8k.htm
2019-11-26,T-Mobile USA,1,2020-04-16,142,8-K,5.02,0001193125-20-109354,d883806d8k.htm,T-Mobile US,38_1283699_0001193125-20-109354_d883806d8k.htm
2019-11-26,T-Mobile USA,1,2020-04-01,127,8-K,"1.01,1.02,2.01,2.03,3.03,5.02,5.03,7.01,9.01",0001193125-20-093622,d886127d8k.htm,T-Mobile US,
2019-11-26,T-Mobile USA,1,2020-03-25,120,8-K,"5.02,9.01",0001283699-20-000064,tmus03252020form8-k.htm,T-Mobile US,
2019-11-26,T-Mobile USA,1,2020-03-12,107,8-K,"5.02,7.01,9.01",0001193125-20-071678,d870009d8k.htm,T-Mobile US,
2019-11-26,T-Mobile USA,1,2020-02-19,85,8-K,5.02,0001193125-20-041926,d888203d8k.htm,T-Mobile US,39_1283699_0001193125-20-041926_d888203d8k.htm
2020-04-02,Sprint,1,2020-06-22,81,8-K,"1.01,5.02,8.01,9.01",0001140361-20-014470,nt10012922x2_8k.htm,T-Mobile US,
2020-04-02,Sprint,1,2020-06-17,76,8-K,"2.06,5.02,7.01,8.01,9.01",0001140361-20-014081,nc10012662x1_8k.htm,T-Mobile US,
2020-04-02,Sprint,1,2020-04-24,22,8-K,5.02,0001193125-20-119230,d912727d8k.htm,T-Mobile US,37_1283699_0001193125-20-119230_d912727d8k.htm
2020-04-02,Sprint,1,2020-04-16,14,8-K,5.02,0001193125-20-109354,d883806d8k.htm,T-Mobile US,38_1283699_0001193125-20-109354_d883806d8k.htm
2020-04-15,Sprint,1,2020-06-22,68,8-K,"1.01,5.02,8.01,9.01",0001140361-20-014470,nt10012922x2_8k.htm,T-Mobile US,
2020-04-15,Sprint,1,2020-06-17,63,8-K,"2.06,5.02,7.01,8.01,9.01",0001140361-20-014081,nc10012662x1_8k.htm,T-Mobile US,
2020-04-15,Sprint,1,2020-04-24,9,8-K,5.02,0001193125-20-119230,d912727d8k.htm,T-Mobile US,37_1283699_0001193125-20-119230_d912727d8k.htm
