filing_date,accession,filer_vintage,items,url,sub_items,what_the_text_says,departure,ceo_departure,is_502b,officer_departure
2010-03-08,0001193125-10-050196,MetroPCS,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000119312510050196/d8k.htm,e,"NEO option and restricted-stock grants (Linquist CEO, Keys, Carter, Stachiw)",none,0,0,0
2012-02-14,0001193125-12-056765,MetroPCS,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000119312512056765/d300486d8k.htm,e,"NEO option and restricted-stock grants (incl. Lorang, SVP & Chief Technology Officer)",none,0,0,0
2012-05-31,0001445305-12-001909,MetroPCS,"5.02,5.07,9.01",https://www.sec.gov/Archives/edgar/data/1283699/000144530512001909/a8-k053112.htm,e,Severance Pay Plan amendment (President/COO; CFO/Vice Chairman),none,0,0,0
2012-08-03,0001283699-12-000010,MetroPCS,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000128369912000010/a8-klandry073012.htm,b,"C. Kevin Landry, director: will not stand for reelection (no disagreement; health)",director,0,1,0
2012-10-03,0001283699-12-000027,MetroPCS,"1.01,2.03,3.02,3.03,5.02,8.01,9.01",https://www.sec.gov/Archives/edgar/data/1283699/000128369912000027/form8-k100212.htm,e,Restricted stock / change-in-control agreement amendments (merger),none,0,0,0
2013-02-07,0001283699-13-000011,MetroPCS,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000011/form8-k020713.htm,e,NEO option and restricted-stock grants,none,0,0,0
2013-11-08,0001283699-13-000134,T-Mobile US,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000134/tmus11072013form8-k.htm,"b,d",Rene Obermann resigned as director; Thomas Dannenfeldt appointed director,director,0,1,0
2013-11-20,0001193125-13-448555,T-Mobile US,"1.01,5.02,8.01,9.01",https://www.sec.gov/Archives/edgar/data/1283699/000119312513448555/d630913d8k.htm,"b,d",Srikant Datar resigned and was re-appointed the same day (DT designation mechanics),director (technical; re-appointed),0,1,0
2014-02-19,0001193125-14-058782,T-Mobile US,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000119312514058782/d679014d8k.htm,b,"James N. Perry Jr., director: will not stand for reelection",director,0,1,0
2016-02-19,0001193125-16-470124,T-Mobile US,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000119312516470124/d145133d8k.htm,"b,e","Gary A. King, EVP & Chief Information Officer: employment terminates 2016-03-18; one year base salary for release",officer (CIO),0,1,1
2017-12-22,0001193125-17-377654,T-Mobile US,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000119312517377654/d497580d8k.htm,e,"J. Braxton Carter, EVP & CFO: amended and restated employment agreement",none,0,0,0
2018-02-21,0001193125-18-051913,T-Mobile US,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000119312518051913/d538557d8k.htm,d,G. Michael Sievert (COO) elected director; board enlarged 11 to 12,none,0,0,0
2018-11-02,0001283699-18-000063,T-Mobile US,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000128369918000063/form8-kdannenfeldtresignat.htm,b,"Thomas Dannenfeldt, director: resigns effective 2018-12-01 (leaving Deutsche Telekom)",director,0,1,0
2018-12-04,0001283699-18-000071,T-Mobile US,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000128369918000071/form8-killekappointment.htm,d,Christian P. Illek elected director to fill Dannenfeldt vacancy,none,0,0,0
2020-02-19,0001193125-20-041926,T-Mobile US,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000119312520041926/d888203d8k.htm,e,"David Carey, EVP Corporate Services: comp term-sheet amendment; employment terminates on position elimination (by 2020-07-01)",officer (anticipated; filed as comp),0,0,1
2020-03-12,0001193125-20-071678,T-Mobile US,"5.02,7.01,9.01",https://www.sec.gov/Archives/edgar/data/1283699/000119312520071678/d870009d8k.htm,b,"David Carey, EVP Corporate Services: will retire effective 2020-04-30",officer,0,1,1
2020-03-25,0001283699-20-000064,T-Mobile US,"5.02,9.01",https://www.sec.gov/Archives/edgar/data/1283699/000128369920000064/tmus03252020form8-k.htm,e,"Neville Ray, President Technology: special PRSU award",none,0,0,0
2020-04-01,0001193125-20-093622,T-Mobile US,"1.01,1.02,2.01,2.03,3.03,5.02,5.03,7.01,9.01",https://www.sec.gov/Archives/edgar/data/1283699/000119312520093622/d886127d8k.htm,"b,c,d,e",CEO transition at Sprint merger close: John Legere employment as CEO terminated; G. Michael Sievert named CEO; Bruno Jacobfeuerborn resigned as director; SoftBank designees appointed; Legere/Sievert agreement amendments,CEO + director,1,1,1
2020-04-16,0001193125-20-109354,T-Mobile US,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000119312520109354/d883806d8k.htm,"b,e",David Carey departs effective 2020-04-13; severance per existing agreements,officer,0,1,1
2020-04-24,0001193125-20-119230,T-Mobile US,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000119312520119230/d912727d8k.htm,b,John Legere resigned from the Board (text: departed as CEO on 2020-04-01),director (former CEO),0,1,0
2020-06-17,0001140361-20-014081,T-Mobile US,"2.06,5.02,7.01,8.01,9.01",https://www.sec.gov/Archives/edgar/data/1283699/000114036120014081/nc10012662x1_8k.htm,"b,c","J. Braxton Carter, EVP & CFO: retires effective 2020-07-01; Peter Osvaldik appointed CFO; Dara Bazzano appointed CAO",officer (principal financial officer),0,1,1
2020-06-22,0001140361-20-014470,T-Mobile US,"1.01,5.02,8.01,9.01",https://www.sec.gov/Archives/edgar/data/1283699/000114036120014470/nt10012922x2_8k.htm,b,Ronald D. Fisher resigned as director (Second A&R Stockholders Agreement),director,0,1,0
2020-11-12,0001193125-20-291827,T-Mobile US,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000119312520291827/d94439d8k.htm,"b,d","Srini Gopalan resigned as director; Leroy, Tazi, Wilkens appointed",director,0,1,0
2021-03-10,0001193125-21-076354,T-Mobile US,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000119312521076354/d152529d8k.htm,e,"PRSU grants to Sievert (CEO), Osvaldik (CFO), Ray",none,0,0,0
2021-04-12,0001193125-21-113210,T-Mobile US,"5.02,7.01,8.01,9.01",https://www.sec.gov/Archives/edgar/data/1283699/000119312521113210/d910799d8k.htm,b,"Stephen Kappes resigned as director (also National Security Director, per 2021-06-24 filing)",director (National Security Director role),0,1,0
2021-06-24,0001193125-21-198692,T-Mobile US,"5.02,7.01,9.01",https://www.sec.gov/Archives/edgar/data/1283699/000119312521198692/d165204d8k.htm,d,Letitia Long appointed director and National Security Director (merger national-security commitments),none,0,0,0
2021-09-16,0001193125-21-275230,T-Mobile US,"5.02,7.01,9.01",https://www.sec.gov/Archives/edgar/data/1283699/000119312521275230/d234276d8k.htm,b,"David A. Miller, EVP General Counsel & Secretary: retires 2022-04-01; leaves GC role 2021-10-11",officer,0,1,1
2022-04-22,0001193125-22-115091,T-Mobile US,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000119312522115091/d328570d8k.htm,b,"Michael Wilkens, director: will not stand for re-election (leaving Deutsche Telekom)",director,0,1,0
2023-02-03,0001193125-23-024130,T-Mobile US,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000119312523024130/d634006d8k.htm,b,"Bavan Holloway, director: will not stand for re-election",director,0,1,0
2023-02-13,0001193125-23-035719,T-Mobile US,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000119312523035719/d445719d8k.htm,e,"Neville Ray, President Technology: retirement letter agreement (retirement on or about 2023-10-01)",officer (announced retirement; filed as comp),0,0,1
2023-03-10,0001193125-23-066908,T-Mobile US,5.02,https://www.sec.gov/Archives/edgar/data/1283699/000119312523066908/d381908d8k.htm,e,"G. Michael Sievert, CEO: A&R employment agreement extending term five years",none (CEO retention),0,0,0
2023-06-21,0001193125-23-171171,T-Mobile US,"5.02,5.07,9.01",https://www.sec.gov/Archives/edgar/data/1283699/000119312523171171/d526068d8k.htm,e,2023 Incentive Award Plan and ESPP approved at annual meeting (with 5.07),none,0,0,0
