file,titles,context
01_18926_0001193125-14-221590_d734946d8k.htm,,
02_20520_0001140361-22-023997_brhc10039037_8k.htm,,
03_20520_0001140361-24-026861_ef20029460_8k.htm,,
04_20520_0000950157-24-000104_form8-k.htm,,
05_73309_0001193125-23-206313_d496129d8k.htm,,
06_75362_0001193125-18-152947_d555135d8k.htm,,
07_75362_0001193125-18-048187_d518625d8k.htm,,
08_76334_0001193125-22-204998_d319781d8k.htm,,
09_78003_0000078003-07-000122_pf8k0518.htm,,
10_101830_0000101830-12-000110_a8-k20121120.htm,,
11_101830_0000101830-15-000030_schwartzform8-k.htm,,
12_101830_0000101830-18-000029_form8-k20180629.htm,,
13_320193_0001193125-15-406279_d107635d8k.htm,,
14_354950_0000354950-14-000006_hd_8kx02272014.htm,,
15_732712_0001193125-08-204660_d8k.htm,,
16_732712_0001193125-14-045399_d675217d8k.htm,,
17_732712_0001193125-16-699639_d145813d8k.htm,,
18_732712_0001193125-24-022476_d745812d8k.htm,,
19_732717_0000732717-13-000101_hrc8k.htm,,
20_732717_0000732717-14-000094_form8k.htm,,
21_796343_0000796343-20-000085_adbe8-k041020.htm,,
22_796343_0000796343-20-000040_adbe8-k13020.htm,,
23_858877_0001193125-12-396875_d413605d8k.htm,,
24_896878_0000950134-08-022449_f50905e8vk.htm,,
25_896878_0000896878-18-000073_fy18q3earnings8-kshell.htm,,
26_896878_0000896878-18-000162_fy18q4earnings8-kshell.htm,chief information officer; chief technology officer,"as Senior Vice President and General Manager of the Consumer Tax Group. He served as Intuit’s Senior Vice President and Chief Information Officer from August 2011 to July 2013, having rejoined Intuit after serving as CEO of Nexant Inc., a privately held provider of ||  also announced that, effective January 1, 2019, Tayloe Stansbury will be stepping down as Executive Vice President and Chief Technology Officer of Intuit, and that Marianna Tessel, who currently serves as Intuit’s Senior Vice President and Chief Product Developme"
27_896878_0000896878-24-000021_intu-20240502.htm,,
28_1051470_0001193125-14-062781_d681431d8k.htm,,
29_1091667_0001091667-13-000058_chtr51138-k.htm,cto,"ointed, John Malone, Chairman of Liberty Media; Gregory Maffei, President and CEO of Liberty Media; Balan Nair, EVP and CTO of Liberty Global, Inc.; and Michael Huseby, CFO of Barnes & Noble, Inc. to join Charter's board of directors. Addition"
30_1091667_0001091667-23-000034_chtr-20230222.htm,,
31_1136893_0000892569-07-001428_a35843e8vk.htm,,
32_1136893_0001193125-23-218012_d534612d8k.htm,,
33_1136893_0001193125-24-021392_d761353d8k.htm,information security,"s than we anticipate; the reaction of current and potential customers to communications from us or regulators regarding information security, risk management, internal audit or other matters; the risk that policies and resulting actions of the current administ"
34_1140859_0001104659-24-035045_tm248865d1_8ka.htm,,
35_1166691_0001193125-12-392575_d412146d8k.htm,,
36_1283699_0001193125-16-470124_d145133d8k.htm,chief information officer,"ory Arrangements On February 16, 2016, T-Mobile US, Inc. (the “Company”) and Gary A. King, Executive Vice President and Chief Information Officer, agreed that Mr. King will terminate his employment with the Company effective on March 18, 2016. Mr. King will receive"
37_1283699_0001193125-20-119230_d912727d8k.htm,,
38_1283699_0001193125-20-109354_d883806d8k.htm,,
39_1283699_0001193125-20-041926_d888203d8k.htm,,
40_1283699_0001193125-21-113210_d910799d8k.htm,,
41_1283699_0001193125-21-076354_d152529d8k.htm,,
42_1283699_0001193125-23-024130_d634006d8k.htm,,
43_1373715_0001373715-24-000342_now-20241021.htm,,
44_1543151_0001543151-23-000021_uber-20230728.htm,,
45_1543151_0001552781-25-000025_e25038_uber-8k.htm,,
46_1590895_0001590895-24-000004_czr-20240126.htm,,
47_1609711_0001609711-22-000011_gddy-20220103.htm,,
48_1609711_0001609711-22-000092_gddy-20220707.htm,,
49_1645590_0001645590-24-000016_hpe-20240206.htm,,
50_1645590_0001645590-24-000004_hpe-20240117.htm,,
