accession,treated_stratum
0000101830-08-000030,1
0000101830-09-000005,1
0000101830-09-000007,1
0000101830-15-000024,1
0000101830-16-000063,1
0000101830-19-000017,1
0000732717-07-000089,1
0000732717-11-000033,1
0000732717-15-000056,1
0000732717-19-000034,1
0000732717-22-000091,1
0000732717-24-000012,1
0000950103-14-008968,1
0000950103-23-014572,1
0001091667-08-000143,1
0001091667-12-000050,1
0001091667-14-000139,1
0001104659-18-028086,1
0001104659-23-116755,1
0001166691-24-000019,1
0001193125-07-199004,1
0001193125-13-124519,1
0001193125-13-253564,1
0001193125-15-052763,1
0001193125-15-275046,1
0001193125-16-628913,1
0001193125-16-798875,1
0001193125-17-303383,1
0001193125-18-268028,1
0001193125-18-292824,1
0001193125-19-031476,1
0001193125-19-239966,1
0001193125-20-093630,1
0001193125-20-123202,1
0001193125-21-011905,1
0001193125-23-022845,1
0001437749-18-006058,1
0001447669-21-000263,1
0001609711-19-000190,1
0001609711-21-000059,1
0000004904-19-000042,0
0000078003-07-000213,0
0000277135-17-000028,0
0000796343-13-000017,0
0000796343-14-000007,0
0000815097-22-000047,0
0000930413-15-002882,0
0000950134-07-013435,0
0000950134-08-001977,0
0001041061-23-000035,0
0001060391-13-000021,0
0001104659-06-060568,0
0001104659-10-015887,0
0001104659-11-003613,0
0001104659-20-108520,0
0001104659-21-138544,0
0001104659-22-051225,0
0001104659-22-061290,0
0001104659-24-033278,0
0001136893-23-000069,0
0001171843-12-003874,0
0001193125-11-320674,0
0001193125-14-084697,0
0001193125-14-284196,0
0001193125-15-019001,0
0001193125-17-293765,0
0001193125-17-369333,0
0001193125-19-307167,0
0001193125-20-120011,0
0001193125-21-215278,0
0001193125-23-011458,0
0001193125-23-127592,0
0001193125-24-147029,0
0001373715-24-000269,0
0001437749-17-000933,0
0001645590-23-000076,0
0001645590-23-000110,0
0001683168-16-000288,0
0001683168-17-000876,0
0001683168-17-002723,0
