final_cik,breach_date,reported_date,fcc_form499,accession,filing_date,days_from_reported,days_from_breach,in_spec_scope
4904,2018-12-09,2019-04-26 00:00:00,0,0000004904-19-000042,2019-09-18,145,283,1
4904,2018-12-09,2019-04-26 00:00:00,0,0000004904-17-000017,2017-02-27,-788,-650,0
4904,2019-02-18,2019-04-26 00:00:00,0,0000004904-19-000042,2019-09-18,145,212,1
4904,2019-02-18,2019-04-26 00:00:00,0,0000004904-17-000017,2017-02-27,-788,-721,0
8670,2013-04-29,2013-06-04 00:00:00,0,0000950142-13-001766,2013-08-07,64,100,1
8670,2013-04-29,2013-06-04 00:00:00,0,0000950142-12-002159,2012-11-13,-203,-167,1
8670,2013-04-29,2013-06-04 00:00:00,0,0001171843-12-003874,2012-11-01,-215,-179,1
8670,2013-04-29,2013-06-04 00:00:00,0,0000950142-11-002022,2011-12-15,-537,-501,0
8670,2013-04-29,2013-06-04 00:00:00,0,0000950142-11-002020,2011-12-14,-538,-502,0
8670,2013-04-29,2013-06-04 00:00:00,0,0000950142-11-001898,2011-11-15,-567,-531,0
8670,2013-04-29,2013-06-04 00:00:00,0,0000008670-11-000024,2011-11-09,-573,-537,0
8670,2013-04-29,2013-06-04 00:00:00,0,0000950142-11-001656,2011-09-23,-620,-584,0
8670,2013-04-29,2013-06-04 00:00:00,0,0000950142-11-001591,2011-09-12,-631,-595,0
8670,2013-04-29,2013-06-04 00:00:00,0,0000008670-11-000020,2011-08-10,-664,-628,0
8670,2013-04-29,2013-06-04 00:00:00,0,0000950142-11-001005,2011-05-19,-747,-711,0
12927,2016-11-21,2017-02-09 00:00:00,0,0000012927-17-000040,2017-06-28,139,219,1
12927,2016-11-21,2017-02-09 00:00:00,0,0000012927-16-000165,2016-11-21,-80,0,1
12927,2016-11-21,2017-02-09 00:00:00,0,0000012927-16-000147,2016-10-14,-118,-38,1
12927,2016-11-21,2017-02-09 00:00:00,0,0000012927-16-000105,2016-02-23,-352,-272,1
12927,2016-11-21,2017-02-09 00:00:00,0,0000012927-15-000083,2015-12-15,-422,-342,1
12927,2016-11-21,2017-02-09 00:00:00,0,0000012927-15-000061,2015-08-13,-546,-466,0
12927,2016-11-21,2017-02-09 00:00:00,0,0000012927-15-000035,2015-06-23,-597,-517,0
12927,2016-11-21,2017-02-09 00:00:00,0,0000012927-15-000004,2015-02-10,-730,-650,0
12927,2016-11-21,2017-02-09 00:00:00,0,0000012927-14-000070,2014-12-19,-783,-703,0
18926,2013-12-27,2014-05-28 00:00:00,1,0001193125-14-221590,2014-06-02,5,157,1
18926,2013-12-27,2014-05-28 00:00:00,1,0001193125-13-124519,2013-03-25,-429,-277,1
18926,2013-12-27,2014-05-28 00:00:00,1,0001193125-13-012088,2013-01-14,-499,-347,1
18926,2013-12-27,2014-05-28 00:00:00,1,0001193125-12-134562,2012-03-27,-792,-640,0
18926,2017-01-30,2017-02-20 00:00:00,1,0001193125-17-191355,2017-06-01,101,122,1
18926,2017-01-30,2017-02-20 00:00:00,1,0001193125-17-053977,2017-02-23,3,24,1
18926,2017-01-30,2017-02-20 00:00:00,1,0001193125-16-436965,2016-01-25,-392,-371,0
18926,2017-01-30,2017-02-20 00:00:00,1,0001193125-15-378521,2015-11-16,-462,-441,0
18926,2017-01-30,2017-02-20 00:00:00,1,0001193125-15-210785,2015-06-02,-629,-608,0
18926,2017-01-30,2017-02-20 00:00:00,1,0001193125-15-197966,2015-05-22,-640,-619,0
18926,2017-02-28,2017-02-28 00:00:00,1,0001193125-17-191355,2017-06-01,93,93,1
18926,2017-02-28,2017-02-28 00:00:00,1,0001193125-17-053977,2017-02-23,-5,-5,1
18926,2017-02-28,2017-02-28 00:00:00,1,0001193125-16-436965,2016-01-25,-400,-400,0
18926,2017-02-28,2017-02-28 00:00:00,1,0001193125-15-378521,2015-11-16,-470,-470,0
18926,2017-02-28,2017-02-28 00:00:00,1,0001193125-15-210785,2015-06-02,-637,-637,0
18926,2017-02-28,2017-02-28 00:00:00,1,0001193125-15-197966,2015-05-22,-648,-648,0
18926,2020-08-20,2020-09-25 00:00:00,1,0001193125-21-056971,2021-02-25,153,189,1
18926,2020-08-20,2020-09-25 00:00:00,1,0001193125-21-011905,2021-01-20,117,153,1
18926,2020-08-20,2020-09-25 00:00:00,1,0001193125-20-150103,2020-05-22,-126,-90,1
18926,2020-08-20,2020-09-25 00:00:00,1,0001193125-19-325996,2019-12-30,-270,-234,1
18926,2020-08-20,2020-09-25 00:00:00,1,0001193125-18-319718,2018-11-07,-688,-652,0
18926,2020-08-20,2020-09-25 00:00:00,1,0001193125-18-319714,2018-11-07,-688,-652,0
18926,2020-08-20,2020-09-25 00:00:00,1,0001193125-18-281219,2018-09-24,-732,-696,0
18926,2022-03-15,2022-04-21 00:00:00,1,0001193125-22-243230,2022-09-13,145,182,1
18926,2022-03-15,2022-04-21 00:00:00,1,0001193125-22-085992,2022-03-28,-24,13,1
18926,2022-03-15,2022-04-21 00:00:00,1,0001193125-21-056971,2021-02-25,-420,-383,0
18926,2022-03-15,2022-04-21 00:00:00,1,0001193125-21-011905,2021-01-20,-456,-419,0
18926,2022-03-15,2022-04-21 00:00:00,1,0001193125-20-150103,2020-05-22,-699,-662,0
20520,2022-02-24,2022-05-04 00:00:00,1,0001140361-22-023997,2022-06-24,51,120,1
20520,2022-02-24,2022-05-04 00:00:00,1,0000020520-21-000008,2021-07-30,-278,-209,1
20520,2022-02-24,2022-05-04 00:00:00,1,0001193125-21-205666,2021-07-01,-307,-238,1
20520,2022-02-24,2022-05-04 00:00:00,1,0001193125-21-179930,2021-06-02,-336,-267,1
20520,2022-02-24,2022-05-04 00:00:00,1,0001140361-21-015200,2021-04-30,-369,-300,1
20520,2022-02-24,2022-05-04 00:00:00,1,0001140361-21-005386,2021-02-18,-440,-371,0
20520,2022-02-24,2022-05-04 00:00:00,1,0001140361-20-028400,2020-12-15,-505,-436,0
20520,2022-02-24,2022-05-04 00:00:00,1,0001140361-20-020249,2020-09-11,-600,-531,0
20520,2022-02-24,2022-05-04 00:00:00,1,0001193125-20-050127,2020-02-26,-798,-729,0
20520,2023-12-18,2024-06-12 00:00:00,1,0001140361-24-026861,2024-05-20,-23,154,1
20520,2023-12-18,2024-06-12 00:00:00,1,0000950157-24-000104,2024-02-05,-128,49,1
20520,2023-12-18,2024-06-12 00:00:00,1,0001140361-22-023997,2022-06-24,-719,-542,0
