accession,cik,exhibit,status,local_file,g6_named
0000012927-15-000035,12927,a201506jun22exhibit991.htm,already_on_disk,Data\edgar\item5_02_text\12927\exhibits\0000012927-15-000035_a201506jun22exhibit991.htm,0.0
0000012927-16-000165,12927,a201611nov21exhibit991.htm,already_on_disk,Data\edgar\item5_02_text\12927\exhibits\0000012927-16-000165_a201611nov21exhibit991.htm,0.0
0000078003-06-000195,78003,ex99803.htm,already_on_disk,Data\edgar\item5_02_text\78003\exhibits\0000078003-06-000195_ex99803.htm,0.0
0000078003-06-000352,78003,,no EX-99 in index,,
0000101830-07-000036,101830,,no EX-99 in index,,
0000101830-18-000029,101830,,no EX-99 in index,,
0000354950-14-000030,354950,,no EX-99 in index,,
0000732717-07-000028,732717,,no EX-99 in index,,
0000732717-07-000084,732717,,no EX-99 in index,,
0000773840-23-000063,773840,,no EX-99 in index,,
0000831259-24-000005,831259,fcx_exhibit991.htm,already_on_disk,Data\edgar\item5_02_text\831259\exhibits\0000831259-24-000005_fcx_exhibit991.htm,0.0
0000891618-07-000516,896878,,no EX-99 in index,,
0000892569-08-000017,1136893,,no EX-99 in index,,
0000896878-18-000162,896878,fy18q4ceopressrelease-ex99.htm,already_on_disk,Data\edgar\item5_02_text\896878\exhibits\0000896878-18-000162_fy18q4ceopressrelease-ex99.htm,0.0
0000896878-18-000207,896878,,no EX-99 in index,,
0000896878-22-000019,896878,,no EX-99 in index,,
0000950103-14-001112,1166691,,no EX-99 in index,,
0000950103-22-017696,1166691,dp182381_ex9901.htm,already_on_disk,Data\edgar\item5_02_text\1166691\exhibits\0000950103-22-017696_dp182381_ex9901.htm,0.0
0000950123-09-044728,1048911,,no EX-99 in index,,
0000950123-09-056728,1048911,,no EX-99 in index,,
0000950142-11-001898,8670,,no EX-99 in index,,
0001019687-16-005064,27904,delta_8k-ex9901.htm,already_on_disk,Data\edgar\item5_02_text\27904\exhibits\0001019687-16-005064_delta_8k-ex9901.htm,0.0
0001041061-21-000048,1041061,,no EX-99 in index,,
0001041061-23-000033,1041061,,no EX-99 in index,,
0001047469-10-007177,47217,a2199755zex-99_1.htm,already_on_disk,Data\edgar\item5_02_text\47217\exhibits\0001047469-10-007177_a2199755zex-99_1.htm,0.0
0001058290-19-000006,1058290,exhibit991123118.htm,already_on_disk,Data\edgar\item5_02_text\1058290\exhibits\0001058290-19-000006_exhibit991123118.htm,0.0
0001058290-19-000006,1058290,exhibit992123118.htm,already_on_disk,Data\edgar\item5_02_text\1058290\exhibits\0001058290-19-000006_exhibit992123118.htm,0.0
0001060391-20-000039,1060391,exhibit991cfotransitio.htm,already_on_disk,Data\edgar\item5_02_text\1060391\exhibits\0001060391-20-000039_exhibit991cfotransitio.htm,0.0
0001060391-21-000027,1060391,,no EX-99 in index,,
0001091667-11-000130,1091667,exhibit99_1.htm,already_on_disk,Data\edgar\item5_02_text\1091667\exhibits\0001091667-11-000130_exhibit99_1.htm,0.0
0001091667-12-000014,1091667,,no EX-99 in index,,
0001091667-22-000104,1091667,,no EX-99 in index,,
0001104659-13-049764,1326160,,no EX-99 in index,,
0001104659-16-100726,1326160,,no EX-99 in index,,
0001104659-16-137921,277135,a16-15974_1ex99d1.htm,already_on_disk,Data\edgar\item5_02_text\277135\exhibits\0001104659-16-137921_a16-15974_1ex99d1.htm,0.0
0001104659-23-088620,1001082,tm2323111d2_ex99-1.htm,already_on_disk,Data\edgar\item5_02_text\1001082\exhibits\0001104659-23-088620_tm2323111d2_ex99-1.htm,0.0
