accession,cik,status,bytes
0000004904-17-000017,4904,already_on_disk,21717
0000004904-19-000042,4904,already_on_disk,48921
0000950142-11-001005,8670,already_on_disk,32191
0000008670-11-000020,8670,already_on_disk,20128
0000950142-11-001591,8670,already_on_disk,25272
0000950142-11-001656,8670,already_on_disk,25760
0000008670-11-000024,8670,already_on_disk,27339
0000950142-11-001898,8670,already_on_disk,35178
0000950142-11-002020,8670,already_on_disk,40380
0000950142-11-002022,8670,already_on_disk,27747
0001171843-12-003874,8670,already_on_disk,8733
0000950142-12-002159,8670,already_on_disk,44832
0000950142-13-001766,8670,already_on_disk,28177
0000012927-14-000070,12927,already_on_disk,23174
0000012927-15-000004,12927,already_on_disk,23250
0000012927-15-000035,12927,already_on_disk,32143
0000012927-15-000061,12927,already_on_disk,29723
0000012927-15-000083,12927,already_on_disk,29552
0000012927-16-000105,12927,already_on_disk,35562
0000012927-16-000147,12927,already_on_disk,26016
0000012927-16-000165,12927,already_on_disk,26433
0000012927-17-000040,12927,already_on_disk,35704
0001193125-12-134562,18926,already_on_disk,12344
0001193125-13-012088,18926,already_on_disk,13549
0001193125-13-124519,18926,already_on_disk,14495
0001193125-14-221590,18926,already_on_disk,37063
0001193125-15-197966,18926,already_on_disk,36471
0001193125-15-210785,18926,already_on_disk,13660
0001193125-15-378521,18926,already_on_disk,15532
0001193125-16-436965,18926,already_on_disk,30247
0001193125-17-053977,18926,already_on_disk,15038
0001193125-17-191355,18926,already_on_disk,31567
0001193125-18-281219,18926,already_on_disk,26861
0001193125-18-319718,18926,already_on_disk,22450
0001193125-18-319714,18926,already_on_disk,25468
0001193125-19-325996,18926,already_on_disk,28696
0001193125-20-150103,18926,already_on_disk,67918
0001193125-21-011905,18926,already_on_disk,30319
0001193125-21-056971,18926,already_on_disk,31934
0001193125-22-085992,18926,already_on_disk,61462
0001193125-22-243230,18926,already_on_disk,77606
0001193125-20-050127,20520,already_on_disk,43143
0001140361-20-020249,20520,already_on_disk,19456
0001140361-20-028400,20520,already_on_disk,38247
0001140361-21-005386,20520,already_on_disk,31674
0001140361-21-015200,20520,already_on_disk,133264
0001193125-21-179930,20520,already_on_disk,34529
0001193125-21-205666,20520,already_on_disk,27051
0000020520-21-000008,20520,already_on_disk,201264
0001140361-22-023997,20520,already_on_disk,25742
