cik,form,filing_date,items,accession,primary_doc,size,in_spec_scope,local_file
4904,8-K,2017-02-27,5.02,0000004904-17-000017,a8kdepartureofcertainexecoff.htm,22945,0,Data\edgar\item5_02_text\4904\0000004904-17-000017_a8kdepartureofcertainexecoff.htm
4904,8-K,2019-09-18,5.02,0000004904-19-000042,a09-20198xkitem502dire.htm,238948,1,Data\edgar\item5_02_text\4904\0000004904-19-000042_a09-20198xkitem502dire.htm
8670,8-K,2011-05-19,"5.02,9.01",0000950142-11-001005,eh1100392_form8k.htm,45580,0,Data\edgar\item5_02_text\8670\0000950142-11-001005_eh1100392_form8k.htm
8670,8-K,2011-08-10,5.02,0000008670-11-000020,form8k.htm,21283,0,Data\edgar\item5_02_text\8670\0000008670-11-000020_form8k.htm
8670,8-K,2011-09-12,5.02,0000950142-11-001591,eh1100673_form8k.htm,26427,0,Data\edgar\item5_02_text\8670\0000950142-11-001591_eh1100673_form8k.htm
8670,8-K,2011-09-23,5.02,0000950142-11-001656,eh1100701_form8k.htm,26915,0,Data\edgar\item5_02_text\8670\0000950142-11-001656_eh1100701_form8k.htm
8670,8-K,2011-11-09,"5.02,9.01",0000008670-11-000024,form8k.htm,40654,0,Data\edgar\item5_02_text\8670\0000008670-11-000024_form8k.htm
8670,8-K,2011-11-15,"5.02,9.01",0000950142-11-001898,eh1100824_8k.htm,129894,0,Data\edgar\item5_02_text\8670\0000950142-11-001898_eh1100824_8k.htm
8670,8-K,2011-12-14,"5.02,9.01",0000950142-11-002020,eh1100888_8k.htm,110562,0,Data\edgar\item5_02_text\8670\0000950142-11-002020_eh1100888_8k.htm
8670,8-K,2011-12-15,5.02,0000950142-11-002022,eh1100889_8k.htm,28902,0,Data\edgar\item5_02_text\8670\0000950142-11-002022_eh1100889_8k.htm
8670,8-K,2012-11-01,"5.02,9.01",0001171843-12-003874,document.htm,13933,1,Data\edgar\item5_02_text\8670\0001171843-12-003874_document.htm
8670,8-K,2012-11-13,"5.02,9.01",0000950142-12-002159,eh1201199_8k.htm,159958,1,Data\edgar\item5_02_text\8670\0000950142-12-002159_eh1201199_8k.htm
8670,8-K,2013-08-07,5.02,0000950142-13-001766,eh1301002_8k.htm,29332,1,Data\edgar\item5_02_text\8670\0000950142-13-001766_eh1301002_8k.htm
12927,8-K,2014-12-19,"5.02,9.01",0000012927-14-000070,a201412dec198kdocument.htm,38098,0,Data\edgar\item5_02_text\12927\0000012927-14-000070_a201412dec198kdocument.htm
12927,8-K,2015-02-10,"5.02,9.01",0000012927-15-000004,a201502feb58kdocument.htm,32230,0,Data\edgar\item5_02_text\12927\0000012927-15-000004_a201502feb58kdocument.htm
12927,8-K,2015-06-23,"5.02,5.03,9.01",0000012927-15-000035,a201506jun228-kdocument.htm,299297,0,Data\edgar\item5_02_text\12927\0000012927-15-000035_a201506jun228-kdocument.htm
12927,8-K,2015-08-13,"5.02,5.03,9.01",0000012927-15-000061,a201508aug118-kdocument.htm,248342,0,Data\edgar\item5_02_text\12927\0000012927-15-000061_a201508aug118-kdocument.htm
12927,8-K,2015-12-15,"5.02,5.03,8.01,9.01",0000012927-15-000083,a201512dec148-kdocument.htm,297441,1,Data\edgar\item5_02_text\12927\0000012927-15-000083_a201512dec148-kdocument.htm
12927,8-K,2016-02-23,"5.02,5.03,9.01",0000012927-16-000105,a201602feb188-k.htm,309400,1,Data\edgar\item5_02_text\12927\0000012927-16-000105_a201602feb188-k.htm
12927,8-K,2016-10-14,"5.02,5.03,9.01",0000012927-16-000147,a201610octxx8-kdocument.htm,285958,1,Data\edgar\item5_02_text\12927\0000012927-16-000147_a201610octxx8-kdocument.htm
12927,8-K,2016-11-21,"5.02,9.01",0000012927-16-000165,a201611nov218-k.htm,857853,1,Data\edgar\item5_02_text\12927\0000012927-16-000165_a201611nov218-k.htm
12927,8-K,2017-06-28,"5.02,9.01",0000012927-17-000040,a201706jun258-kdocument.htm,879811,1,Data\edgar\item5_02_text\12927\0000012927-17-000040_a201706jun258-kdocument.htm
18926,8-K,2012-03-27,5.02,0001193125-12-134562,d321644d8k.htm,13848,0,Data\edgar\item5_02_text\18926\0001193125-12-134562_d321644d8k.htm
18926,8-K,2013-01-14,5.02,0001193125-13-012088,d468068d8k.htm,15053,1,Data\edgar\item5_02_text\18926\0001193125-13-012088_d468068d8k.htm
18926,8-K,2013-03-25,"5.02,9.01",0001193125-13-124519,d509961d8k.htm,57086,1,Data\edgar\item5_02_text\18926\0001193125-13-124519_d509961d8k.htm
18926,8-K,2014-06-02,"5.02,5.03,5.07,9.01",0001193125-14-221590,d734946d8k.htm,227414,1,Data\edgar\item5_02_text\18926\0001193125-14-221590_d734946d8k.htm
18926,8-K,2015-05-22,"5.02,5.07,9.01",0001193125-15-197966,d930238d8k.htm,51152,0,Data\edgar\item5_02_text\18926\0001193125-15-197966_d930238d8k.htm
18926,8-K,2015-06-02,"5.02,9.01",0001193125-15-210785,d935325d8k.htm,60252,0,Data\edgar\item5_02_text\18926\0001193125-15-210785_d935325d8k.htm
18926,8-K,2015-11-16,"5.02,9.01",0001193125-15-378521,d52983d8k.htm,40050,0,Data\edgar\item5_02_text\18926\0001193125-15-378521_d52983d8k.htm
