sample,anchor,window,N,any_502_treated,exec_departure_treated,ceo_departure_treated,director_departure_treated,v3_any502_treated,any_502_control,exec_departure_control,ceo_departure_control,director_departure_control,v3_any502_control,any502_not_exec_events,any502_events,bd_any502_vs_v3_mismatch
scope 341,rd,30,341,0.2523,0.0374,0.0,0.0748,0.243,0.1197,0.0427,0.0043,0.0128,0.141,41,55,
scope 341,rd,90,341,0.5421,0.1121,0.0374,0.1682,0.5514,0.3974,0.1581,0.0299,0.0684,0.3803,102,151,
scope 341,rd,180,341,0.7664,0.3178,0.0748,0.1963,0.7664,0.641,0.2479,0.094,0.1795,0.6709,140,232,
scope 341,bd,30,341,0.243,0.0561,0.0,0.0467,0.243,0.141,0.0641,0.0171,0.0214,0.141,38,59,0.0
scope 341,bd,90,341,0.5514,0.1215,0.0187,0.1869,0.5514,0.3803,0.141,0.0256,0.0983,0.3803,102,148,0.0
scope 341,bd,180,341,0.7664,0.2243,0.028,0.2336,0.7664,0.6709,0.235,0.0684,0.1795,0.6709,160,239,0.0
Q1 Essay 3 sample 340,rd,30,340,0.2547,0.0377,0.0,0.0755,0.2358,0.1197,0.0427,0.0043,0.0128,0.141,41,55,
Q1 Essay 3 sample 340,rd,90,340,0.5472,0.1132,0.0377,0.1698,0.5472,0.3974,0.1581,0.0299,0.0684,0.3803,102,151,
Q1 Essay 3 sample 340,rd,180,340,0.7642,0.3208,0.0755,0.1981,0.7642,0.641,0.2479,0.094,0.1795,0.6709,139,231,
Q1 Essay 3 sample 340,bd,30,340,0.2358,0.0566,0.0,0.0472,0.2358,0.141,0.0641,0.0171,0.0214,0.141,37,58,0.0
Q1 Essay 3 sample 340,bd,90,340,0.5472,0.1226,0.0189,0.1887,0.5472,0.3803,0.141,0.0256,0.0983,0.3803,101,147,0.0
Q1 Essay 3 sample 340,bd,180,340,0.7642,0.2264,0.0283,0.2358,0.7642,0.6709,0.235,0.0684,0.1795,0.6709,159,238,0.0
