accession,cik,filing_date,form,items,text_ok,section_found,section_chars,ref_dates,labels,exec_departure,ceo_departure,director_departure,appointment,election,compensation,notice_date,effective_date,previously_phrase,flag_retirement,flag_health,flag_transaction,flag_termination,flag_severance_release,flag_no_disagreement,action
0000004904-17-000017,4904,2017-02-27,8-K,5.02,1,1,243,,,1,0,0,0,0,0,,2017-08-04,0,1,0,0,0,0,0,departure
0000004904-19-000042,4904,2019-09-18,8-K,5.02,1,1,1253,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0000950142-11-001005,8670,2011-05-19,8-K,"5.02,9.01",1,1,571,,c,0,0,0,1,0,0,,,0,0,0,0,0,0,0,appointment
0000008670-11-000020,8670,2011-08-10,8-K,5.02,1,1,136,,b,0,0,1,0,0,0,,,0,1,0,0,0,0,0,departure
0000950142-11-001591,8670,2011-09-12,8-K,5.02,1,1,214,,d,0,0,0,0,1,0,,,0,0,0,0,0,0,0,election
0000950142-11-001656,8670,2011-09-23,8-K,5.02,1,1,207,2011-09-23,b,0,0,1,0,0,0,2011-09-23,2011-09-23,0,0,0,0,0,0,0,departure
0000008670-11-000024,8670,2011-11-09,8-K,"5.02,9.01",1,1,932,,"b,c,d",0,0,1,1,1,0,,,0,1,0,0,0,0,0,departure
0000950142-11-001898,8670,2011-11-15,8-K,"5.02,9.01",1,1,817,2011-11-14,,1,1,0,0,0,0,,,0,1,0,0,0,1,0,departure
0000950142-11-002020,8670,2011-12-14,8-K,"5.02,9.01",1,1,3410,2011-11-08;2011-12-14,,0,0,0,1,0,1,,,0,0,0,0,0,0,0,appointment
0000950142-11-002022,8670,2011-12-15,8-K,5.02,1,1,202,,d,0,0,0,0,1,0,,,0,0,0,0,0,0,0,election
0001171843-12-003874,8670,2012-11-01,8-K,"5.02,9.01",1,1,1408,2012-11-01;2012-11-02;2012-11-05,"b,c",0,0,0,1,0,0,,,0,0,0,0,0,0,0,appointment
0000950142-12-002159,8670,2012-11-13,8-K,"5.02,9.01",1,1,3409,2012-11-12;2013-01-02,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000950142-13-001766,8670,2013-08-07,8-K,5.02,1,1,658,2013-08-06,b,0,0,1,0,0,0,2013-08-06,,0,0,0,0,0,0,1,departure
0000012927-14-000070,12927,2014-12-19,8-K,"5.02,9.01",1,1,399,2014-12-19;2015-04-01,,1,0,0,0,0,0,,2015-04-01,0,1,0,0,0,0,0,departure
0000012927-15-000004,12927,2015-02-10,8-K,"5.02,9.01",1,1,455,2015-02-05;2015-04-27,,0,0,0,0,0,0,,,0,0,0,0,0,0,1,other
0000012927-15-000035,12927,2015-06-23,8-K,"5.02,5.03,9.01",1,1,3910,2015-06-22;2016-02-29,,1,1,0,1,1,1,,2015-07-01,1,0,0,0,0,0,0,departure
0000012927-15-000061,12927,2015-08-13,8-K,"5.02,5.03,9.01",1,1,698,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0000012927-15-000083,12927,2015-12-15,8-K,"5.02,5.03,8.01,9.01",1,1,874,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0000012927-16-000105,12927,2016-02-23,8-K,"5.02,5.03,9.01",1,1,1244,,,0,0,1,1,0,1,,2016-03-01,0,0,0,0,0,0,0,departure
0000012927-16-000147,12927,2016-10-14,8-K,"5.02,5.03,9.01",1,1,704,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0000012927-16-000165,12927,2016-11-21,8-K,"5.02,9.01",1,1,546,2016-11-16,,1,1,0,1,0,0,2016-11-16,,0,0,0,0,0,0,0,departure
0000012927-17-000040,12927,2017-06-28,8-K,"5.02,9.01",1,1,1200,,,0,0,0,1,0,1,,,0,0,0,0,0,0,0,appointment
0001193125-12-134562,18926,2012-03-27,8-K,5.02,1,1,474,2012-03-27;2012-05-23,,0,0,1,0,0,0,2012-03-27,,0,0,0,1,0,0,0,departure
0001193125-13-012088,18926,2013-01-14,8-K,5.02,1,1,1769,2013-01-01;2013-01-08,e,0,0,0,1,0,1,,,0,0,0,0,0,0,0,appointment
0001193125-13-124519,18926,2013-03-25,8-K,"5.02,9.01",1,1,172,,b,1,1,0,0,0,0,,2013-04-01,0,1,0,0,0,0,0,departure
0001193125-14-221590,18926,2014-06-02,8-K,"5.02,5.03,5.07,9.01",1,1,220,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,other
