final_cik,breach_date,reported_date,fcc_form499,exec_departure_30_rd,ceo_departure_30_rd,director_departure_30_rd,any_502_30_rd,exec_departure_nopre_30_rd,exec_departure_90_rd,ceo_departure_90_rd,director_departure_90_rd,any_502_90_rd,exec_departure_nopre_90_rd,exec_departure_180_rd,ceo_departure_180_rd,director_departure_180_rd,any_502_180_rd,exec_departure_nopre_180_rd,days_to_first_exec_departure_rd,placebo_exec_departure_rd,baseline_exec_departures_rd,baseline_exec_rate_py_rd,exec_departure_30_bd,ceo_departure_30_bd,director_departure_30_bd,any_502_30_bd,exec_departure_nopre_30_bd,exec_departure_90_bd,ceo_departure_90_bd,director_departure_90_bd,any_502_90_bd,exec_departure_nopre_90_bd,exec_departure_180_bd,ceo_departure_180_bd,director_departure_180_bd,any_502_180_bd,exec_departure_nopre_180_bd,days_to_first_exec_departure_bd,placebo_exec_departure_bd,baseline_exec_departures_bd,baseline_exec_rate_py_bd
4904,2018-12-09,2019-04-26 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636
4904,2019-02-18,2019-04-26 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636
8670,2013-04-29,2013-06-04 00:00:00,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,1,0.6636
12927,2016-11-21,2017-02-09 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,1.3273
18926,2013-12-27,2014-05-28 00:00:00,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,0.6636
18926,2017-01-30,2017-02-20 00:00:00,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,,0,1,0.6636,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,,0,1,0.6636
18926,2017-02-28,2017-02-28 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,0.6636
18926,2020-08-20,2020-09-25 00:00:00,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,117.0,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,153.0,0,2,1.3273
18926,2022-03-15,2022-04-21 00:00:00,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,145.0,1,1,0.6636,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,13.0,0,1,0.6636
20520,2022-02-24,2022-05-04 00:00:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,4,2.6545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,5,3.3182
20520,2023-12-18,2024-06-12 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0
20520,2024-04-13,2024-06-06 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0
20520,2024-06-10,2024-06-10 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0
27904,2017-09-01,2018-04-13 00:00:00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,2,1.3273
27904,2017-09-26,2018-04-13 00:00:00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,1,0.6636,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,2,1.3273
33185,2014-01-31,2014-03-05 00:00:00,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,68.0,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,101.0,0,1,0.6636
33185,2016-01-01,2017-05-15 00:00:00,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,134.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636
33185,2016-04-18,2017-07-21 00:00:00,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,67.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,0.6636
33185,2017-03-09,2017-05-19 00:00:00,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,130.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0
40704,2022-11-18,2023-01-12 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,1,0.6636
43196,2016-02-16,2016-08-31 00:00:00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0.0
43196,2016-08-08,2016-08-31 00:00:00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0
