accession,sub_row,person,title,role_class,action,verb,sentence
0000004904-17-000017,1,American Electric Power,Vice Chairman,other_exec,departure,retire,"On February 21, 2017, Robert P. Powers, Vice Chairman of American Electric Power Company, Inc. (AEP) indicated his intention to retire from AEP effective August 4, 2017."
0000004904-17-000017,2,Robert P. Powers,Vice Chairman,other_exec,departure,retirement,Mr. Powers will remain Vice Chairman of the Company until his retirement.
0000004904-19-000042,1,American Electric Power,director,director,election,elect,"On September 17, 2019, the Board of Directors (the “Board”) of American Electric Power Company, Inc. (the “Company”) elected Art Garcia to serve as a director of the Company."
0000950142-11-001005,1,Carlos A. Rodriguez,President,president,appointment,promotion,"Prior to his promotion in 2010 to President, Employer Services – National Account Services and Employer Services – International, he served as President, Small Business Services, Employer Services, from 2007 to 2010 and as President of TotalSource, Employer Services from 2000 to 2007."
0000008670-11-000020,1,Mr. Leon,Board of Directors,director,departure,retired,"(b) On August 9, 2011, Mr. Leon G. Cooperman, a director of the Registrant since 1991, retired from the Registrant’s Board of Directors."
0000950142-11-001591,1,Richard T. Clark,director,director,election,elect,"(d) On September 12, 2011, Richard T. Clark was elected to the Registrant’s Board of Directors."
0000950142-11-001656,1,Ms. Sharon,Board of Directors,director,departure,resign,"(b) On September 23, 2011, Ms. Sharon T. Rowlands, a director of the Registrant since 2008, notified the Registrant that she will resign from the Registrant’s Board of Directors effective September 23, 2011."
0000008670-11-000024,1,Automatic Data Processing,Board of Directors,director,departure,retired,"(b) On November 8, 2011, Gary C. Butler, Chief Executive Officer of Automatic Data Processing, Inc. (the “Company”) and a member of the Board of Directors, retired from the Company and resigned from the Board of Directors."
0000008670-11-000024,2,Carlos A. Rodriguez,President and Chief Operating Officer,COO,appointment,promotion,"Prior to his promotion in 2011 to President and Chief Operating Officer, he served as President, Employer Services – National Account Services and Employer Services – International from 2010 to 2011, as President, Small Business Services, Employer Services, from 2007 to 2010 and as President of TotalSource, Employer Services from 2000 to 2007."
0000008670-11-000024,3,Carlos A. Rodriguez,director,director,election,elect,"(d) On November 8, 2011, the Company’s Board of Directors elected Carlos A. Rodriguez to the Board of Directors."
0000950142-11-001898,1,Gary C. Butler,Chief Executive Officer,CEO,departure,retirement,"The Separation Agreement sets forth the terms of Mr. Butler’s retirement from the Company, including, among other things, his rights under the Company’s employee benefit plans and his rights to certain other payments in connection with his retirement, the treatment of his outstanding equity awards and certain non-competition, non-solicitation and confidentiality undertakings."
0000950142-11-002020,1,Mr. Rodriguez,President and Chief Executive Officer,CEO,appointment,will serve as,"On December 14, 2011, Automatic Data Processing Inc. (the “Company”) and Mr. Carlos Rodriguez entered into an employment letter agreement (the “Employment Agreement”) pursuant to which Mr. Rodriguez will serve as President and Chief Executive Officer of the Company for a three-year term beginning November 8, 2011."
0000950142-11-002022,1,Ellen Alemany,director,director,election,elect,"(d) On December 14, 2011, Ellen Alemany was elected to the Registrant’s Board of Directors."
0001171843-12-003874,1,Jan Siegmund,Chief Financial Officer,CFO,appointment,appointed,"(c) On November 1, 2012, the Company announced that Jan Siegmund, the Company's Chief Strategy Officer and President, Added Value Services, has been appointed Chief Financial Officer of the Company, effective November 5, 2012."
0001171843-12-003874,2,Jan Siegmund,Chief Strategy Officer,other_exec,appointment,promotion,"Prior to his promotion, he served as both Chief Strategy Officer, with overall responsibility for the Company's strategy, product management, marketing and corporate development, as well as President of the Added Value Services division, overseeing tax, compliance services and insurance services."
0000950142-13-001766,1,Mr. Enrique,director,director,departure,not stand for re-election,"(b) On August 6, 2013, Mr. Enrique T. Salem notified the Board of Directors of the Registrant that he will not stand for re-election as a director of the Registrant at the end of his current term, and intends to resign from the Registrant’s Board of Directors effective as of the date of the Registrant’s 2013 Annual Meeting of Shareholders."
0000012927-14-000070,1,Shephard W. Hill,"President, Boeing International and Senior Vice President",president,departure,retire,"On December 19, 2014, The Boeing Company (the “Company”) issued a press release with respect to the announcement by Shephard W. Hill, President, Boeing International and Senior Vice President, Business Development and Strategy, of his intention to retire from the Company effective April 1, 2015."
