accession,section_text
0000004904-17-000017,"On February 21, 2017, Robert P. Powers, Vice Chairman of American Electric Power Company, Inc. (AEP) indicated his intention to retire from AEP effective August 4, 2017. Mr. Powers will remain Vice Chairman of the Company until his retirement."
0000004904-19-000042,"On September 17, 2019, the Board of Directors (the “Board”) of American Electric Power Company, Inc. (the “Company”) elected Art Garcia to serve as a director of the Company. Mr. Garcia’s initial term as a director will continue until the 2020 annual meeting of shareholders. The Board appointed Mr. Garcia to the Audit Committee, the Committee on Directors and Corporate Governance (“Corporate Governance Committee”), the Finance Committee and the Policy Committee. Mr. Garcia retired from Ryder System, Inc. (“Ryder”), effective April 30, 2019. He served as Executive Vice-President and Chief Financial Officer of Ryder from September 2010 to April 2019. Mr. Garcia serves as a director of ABM Industries Inc. and Elanco Animal Health Inc. The Board has determined that Mr. Garcia is an “independent” director under the Company’s Principles of Corporate Governance and the independence requirements of the New York Stock Exchange, as well as the applicable rules promulgated by the Securities and Exchange Commission. As a non-employee director, Mr. Garcia will receive the same compensation paid to other non-employee directors of the Company in accordance with the policies and procedures previously approved by the Board for non-employee directors."
0000950142-11-001005,"(c) At its meeting on May 19, 2011, the Automatic Data Processing, Inc. (the “Company”) Board of Directors named Carlos A. Rodriguez as the Company’s new President and Chief Operating Officer , effective June 1, 2011. Mr. Rodriguez, age 46, has been employed by the Company since 1999. Prior to his promotion in 2010 to President, Employer Services – National Account Services and Employer Services – International, he served as President, Small Business Services, Employer Services, from 2007 to 2010 and as President of TotalSource, Employer Services from 2000 to 2007."
0000008670-11-000020,"(b) On August 9, 2011, Mr. Leon G. Cooperman, a director of the Registrant since 1991, retired from the Registrant’s Board of Directors."
0000950142-11-001591,"(d) On September 12, 2011, Richard T. Clark was elected to the Registrant’s Board of Directors. Mr. Clark is Chairman of Merck & Co., Inc. This election increases the size of the Registrant’s Board to 11 directors."
0000950142-11-001656,"(b) On September 23, 2011, Ms. Sharon T. Rowlands, a director of the Registrant since 2008, notified the Registrant that she will resign from the Registrant’s Board of Directors effective September 23, 2011."
0000008670-11-000024,"(b) On November 8, 2011, Gary C. Butler, Chief Executive Officer of Automatic Data Processing, Inc. (the “Company”) and a member of the Board of Directors, retired from the Company and resigned from the Board of Directors. (c) On November 8, 2011, the Company’s Board of Directors promoted Carlos A. Rodriguez, the Company’s President and Chief Operating Officer, to President and Chief Executive Officer. Mr. Rodriguez, age 47, has been employed by the Company since 1999. Prior to his promotion in 2011 to President and Chief Operating Officer, he served as President, Employer Services – National Account Services and Employer Services – International from 2010 to 2011, as President, Small Business Services, Employer Services, from 2007 to 2010 and as President of TotalSource, Employer Services from 2000 to 2007. (d) On November 8, 2011, the Company’s Board of Directors elected Carlos A. Rodriguez to the Board of Directors."
0000950142-11-001898,"On November 14, 2011, Automatic Data Processing, Inc. (the “Company”) entered into a Separation Agreement and General Release (the “Separation Agreement”) with Gary C. Butler, the Company’s former Chief Executive Officer and a former member of the Company’s Board of Directors. The Separation Agreement sets forth the terms of Mr. Butler’s retirement from the Company, including, among other things, his rights under the Company’s employee benefit plans and his rights to certain other payments in connection with his retirement, the treatment of his outstanding equity awards and certain non-competition, non-solicitation and confidentiality undertakings. The foregoing is qualified in its entirety by reference to the Separation Agreement, which is filed as Exhibit 10.1 hereto and incorporated by reference herein."
0000950142-11-002020,"On December 14, 2011, Automatic Data Processing Inc. (the “Company”) and Mr. Carlos Rodriguez entered into an employment letter agreement (the “Employment Agreement”) pursuant to which Mr. Rodriguez will serve as President and Chief Executive Officer of the Company for a three-year term beginning November 8, 2011. Mr. Rodriguez will receive an annual base salary of not less than $800,000, and be eligible for an annual bonus based on performance objectives pre-established by the Compensation Committee for each fiscal year, with a target bonus of 160% of base salary; provided, that Mr. Rodriguez’s target bonus for fiscal year 2012 will be $1,280,000 (without proration). Mr. Rodriguez will also continue to participate in all compensation and benefit plans and arrangements that are generally available to other Company executives in accordance with their terms as in effect from time to time. At the next regularly scheduled meeting of the Compensation Committee in January 2012, Mr. Rodriguez will receive a stock option grant of 40,000 shares as previously determined by the Compensation Committee, plus an additional special stock option grant of 150,000 shares. These stock options will vest ratably in 25% increments on each of the first four anniversaries of the grant date, and otherwise in accordance with the terms of such grants. If Mr. Rodriguez’s employment is terminated for any reason other than “for cause” (as defined in the Employment Agreement), and other than due to death, disability or his own resignation, he will be entitled to receive the following severance benefits, subject to his delivery of an irrevocable release of claims against the Company: (i) an amount equal to 2.6 times his annual base salary then in effect, payable in monthly installments over 12 months, and (ii) his annual bonus for the fiscal year of termination of employment, which he would have otherwise received had his employment not been terminated, based upon his (and to the extent applicable, the Company’s) actual full-year performance as determined by the Compensation Committee, prorated to reflect the portion of the fiscal year worked. Mr. Rodriguez will be entitled to continue to participate in the Company’s Change in Control Severance Plan for Corporate Officers (the “CIC Plan”), and, in the event of a “change in control” of the Company and a subsequent “qualifying termination” (as such terms are defined in the CIC Plan), then he will be entitled to the greater of the benefits and payments under the CIC Plan (based on a severance benefit multiple of 200% (reduced to 150% if the qualifying termination occurs during the third year after the change in control)) and the Employment Agreement. Mr. Rodriguez has agreed, while employed and for a period of 24 months thereafter, not to compete with the Company, not to solicit the Company’s clients or bona fide prospective clients as of the date of his termination of employment, and not to solicit or hire the Company’s employees or former employees within one year after the date they cease to be an employee of the Company. Mr. Rodriguez has also agreed to be bound by customary covenants relating to confidentiality, intellectual property and return of property. The above description of the Employment Agreement is qualified in its entirety by a copy of the agreement, which is filed as Exhibit 10.1 to this Current Report on Form 8-K."
0000950142-11-002022,"(d) On December 14, 2011, Ellen Alemany was elected to the Registrant’s Board of Directors. Ms. Alemany is Head of RBS Americas and Chairman and Chief Executive Officer of Citizens Financial Group, Inc."
