field,scoring,n,excluded_unclear,agreement,kappa,ref_Y,clf_Y,tp,fp,fn,precision,precision_ci95,recall,recall_ci95
exec departure (A),PRIMARY (verified),77,3,0.8961,0.7874,35,29,28,1,7,0.9655,"[0.822, 0.999]",0.8,"[0.631, 0.916]"
exec departure (A),SECONDARY (blind),75,5,0.92,0.8355,33,29,28,1,5,0.9655,"[0.822, 0.999]",0.8485,"[0.681, 0.949]"
exec departure (A),SENSITIVITY unclear->Y,80,0,0.8625,0.7212,38,29,28,1,10,0.9655,"[0.822, 0.999]",0.7368,"[0.569, 0.866]"
exec departure (B: restated->N vs new-only),PRIMARY (verified),77,3,0.9091,0.8053,30,27,25,2,5,0.9259,"[0.757, 0.991]",0.8333,"[0.653, 0.944]"
exec departure (B: restated->N vs new-only),SENSITIVITY unclear->Y,80,0,0.875,0.7349,33,27,25,2,8,0.9259,"[0.757, 0.991]",0.7576,"[0.577, 0.889]"
CEO departure,PRIMARY (verified),79,1,0.9241,0.5298,7,7,4,3,3,0.5714,"[0.184, 0.901]",0.5714,"[0.184, 0.901]"
CEO departure,SECONDARY (blind),78,2,0.9359,0.5806,6,7,4,3,2,0.5714,"[0.184, 0.901]",0.6667,"[0.223, 0.957]"
CEO departure,SENSITIVITY unclear->Y,80,0,0.9125,0.4853,8,7,4,3,4,0.5714,"[0.184, 0.901]",0.5,"[0.157, 0.843]"
director-only departure,PRIMARY (verified),80,0,0.9375,0.7462,12,11,9,2,3,0.8182,"[0.482, 0.977]",0.75,"[0.428, 0.945]"
director-only departure,SENSITIVITY unclear->Y,80,0,0.9375,0.7462,12,11,9,2,3,0.8182,"[0.482, 0.977]",0.75,"[0.428, 0.945]"
pre-announced,PRIMARY (verified),80,0,0.8125,0.632,41,29,28,1,13,0.9655,"[0.822, 0.999]",0.6829,"[0.519, 0.819]"
pre-announced,SECONDARY (blind),80,0,0.825,0.6673,39,29,28,1,11,0.9655,"[0.822, 0.999]",0.7179,"[0.551, 0.850]"
pre-announced,SENSITIVITY unclear->Y,80,0,0.8125,0.632,41,29,28,1,13,0.9655,"[0.822, 0.999]",0.6829,"[0.519, 0.819]"
