round,classifier,sheet_id,company,filing_date,treated,url,fields_in_dispute,reference,classifier_codes,blind,restates_prior_disclosure,reference_person,classifier_person,reference_note,text_excerpt
audit,v2 (6f7be7a),2,Sprint Nextel,2020-04-01,1,https://www.sec.gov/Archives/edgar/data/101830/000119312520093630/d853508d8k.htm,"ceo_departure, director_only_departure, pre_announced",exec=Y / ceo=Y / dir=Y / pre=Y,exec=Y / ceo=N / dir=N / pre=N,exec=Y / ceo=Y / pre=unclear,N,"Executives: Raul Marcelo Claure (Executive Chairman), Michel Combes (President and CEO), Nestor Cano (COO), John Saw (CTO), Andrew Davies (CFO), Jorge Gracia (CLO), Paul Schieber (VP and Controller). Directors only: Bethune, Doyle, Fisher, Genachowski, Kappes, Mullen, Son, Tucker",Paul Schieber (PAO: Vice President Controller),"Transaction-driven (T-Mobile/Sprint close, 2020-04-01). BLIND pre-announced = unclear (Business Combination Agreement cited, undated). VERIFIED: the agreement is dated 2018-04-29, before the reference date; primary = Y.","In accordance with the terms of the Business Combination Agreement, at the Effective Time, J. Braxton Carter and David A. Miller, who were the directors of Merger Sub immediately prior to the Effective Time, became directors of Sprint. In addition, in accordance with the Business Combination Agreement, effective as of the Effective Time, Gordon M. Bethune, Raul Marcelo Claure, Michel Combes, Patrick T. Doyle, Ronald D. Fisher, Julius Genachowski, Stephen R. Kappes, Admiral Michael G. Mullen, Masayoshi Son and Sara Martinez Tucker are no longer directors of Sprint; in each case, this cessation of service was not related to any disagreement with Sprint on any matter relating to Sprint’s operations, policies or practices. As of the Effective Time, G. Michael Sievert, Mr. Carter and Peter Osvaldik became the Chief Executive Officer & President, Executive Vice President & Chief Financial Officer, and Senior Vice President, Finance & Chief Accounting Officer, respectively, of Sprint. In connection therewith, as of the Effective Time, Mr. Claure, Executive Chairman, Mr. Combes, President and Chief Executive Officer, Nestor Cano, Chief Operating Officer, John Saw, Chief Technology Officer, Andrew Davies, Chief Financial Officer, Jorge Gracia, Chief Legal Officer, and Paul Schieber, Vice President and Controller, no longer serve in such positions for Sprint; in each case, this cessation of service was not related to any disagreement with Sprint on any matter relating to Sprint’s opera"
audit,v2 (6f7be7a),3,Carnival Corporation,2022-04-27,0,https://www.sec.gov/Archives/edgar/data/815097/000110465922051225/tm2213670d1_8k.htm,"exec_departure, ceo_departure",exec=Y / ceo=Y / dir=N / pre=N,exec=N / ceo=N / dir=N / pre=N,exec=unclear / ceo=unclear / pre=N,N,"Arnold Donald, President and CEO (becomes Vice Chair)",,"BLIND: exec/CEO = unclear; the Item 5.02 text only points to Exhibit 99.1. VERIFIED from the filing's own Ex. 99.1 (2022-04-26): Donald leaves President and CEO effective 2022-08-01. Primary = Y. STRUCTURAL: the departure appears only in the exhibit, which a classifier reading the Item 5.02 section cannot see.","Carnival Corporation and Carnival plc have announced senior executive transitions, described in greater detail in the attached press release included as Exhibit 99.1. Compensation for each person is still under consideration and will be reported once finalized. The information set forth in Exhibit 99.1 is incorporated herein by reference."
audit,v2 (6f7be7a),9,Adobe Systems Incorporated,2014-01-29,0,https://www.sec.gov/Archives/edgar/data/796343/000079634314000007/a8-kxitem502xjanuary2014.htm,"exec_departure, pre_announced",exec=Y / ceo=N / dir=N / pre=Y,exec=N / ceo=N / dir=N / pre=N,exec=Y / ceo=N / pre=unclear,Y,Kevin Lynch (no longer with the Company; former EVP and CTO),,"Background mention in a compensation filing. BLIND pre-announced = unclear (no departure date in text). VERIFIED: Lynch resigned 2013-03-18, effective 2013-03-22, before reference date; primary = Y.","(e) 2014 Performance Share Program On January 24, 2014, the Executive Compensation Committee (the “Committee”) of the Board of Directors (the “Board”) of Adobe Systems Incorporated (“Adobe” or the “Company”) approved the 2014 Performance Share Program, including the Award Calculation Methodology (the “Program”), under the terms of the Company’s 2003 Equity Incentive Plan. The Committee established the Program to help focus key employees on building stockholder value, provide significant award potential for achieving outstanding Company performance, and enhance the ability of the Company to attract and retain highly talented and competent individuals. Members of the Company’s executive management team and other key members of senior management were selected by the Committee to participate in the Program for fiscal year 2014. The Committee granted awards for the executive officers under the Program on January 24, 2014 in the form of a target award and a maximum award of performance shares (“Performance Shares”) approved pursuant to the terms of the Company’s 2003 Equity Incentive Plan. Under our Performance Share Program for fiscal year 2014, shares may be earned based on the achievement of objective relative total stockholder return (“TSR”) measured over a three-year performance period (Adobe’s 2014 - 2016 fiscal years). Three years following the date of grant, the Committee will certify the performance results and the number of Performance Shares earned as of the end of the t"
audit,v2 (6f7be7a),13,AT&T,2020-04-28,1,https://www.sec.gov/Archives/edgar/data/732717/000119312520123202/d913267d8k.htm,"ceo_departure, pre_announced",exec=Y / ceo=Y / dir=N / pre=Y,exec=Y / ceo=N / dir=N / pre=N,exec=Y / ceo=Y / pre=Y,N,"Randall Stephenson, CEO (becomes Executive Chairman; retiring January 2021)",Randall Stephenson (other_exec: Executive Chairman of the Board),"Board action 2020-04-23, before reference date.","On April 23, 2020, the Board of Directors (the “Board”) of AT&T Inc. (the “Company”) adopted a resolution that effective June 1, 2020, the size of the Board would increase from 13 to 14 members and John Stankey, the Company’s President and Chief Operating Officer, would be elected a Director to fill the resulting vacancy. Mr. Stankey will not receive any separate compensation for his service as a Director of the Company. In addition, effective July 1, 2020, the Board appointed Mr. Stankey to be Chief Executive Officer and President and Randall Stephenson to be Executive Chairman of the Board. Mr. Stephenson announced his intention to serve as Executive Chairman of the Board until his retirement from the Company in January 2021. John Stankey, age 57, has served as President and COO of AT&T Inc. since October 2019, overseeing AT&T Communications, WarnerMedia, and Xandr. Since June 2018, he has led WarnerMedia, which creates premium content, operates the world’s largest TV and film studio, and owns a world-class library of entertainment. Mr. Stankey has held various roles during his 33 years of service with the Company, including CEO-AT&T Entertainment Group; Chief Strategy Officer; President and CEO of AT&T Business Solutions; President and CEO of AT&T Operations; Group President-Telecom Operations; Chief Technology Officer; and Chief Information Officer."
audit,v2 (6f7be7a),15,American Electric Power,2019-09-18,0,https://www.sec.gov/Archives/edgar/data/4904/000000490419000042/a09-20198xkitem502dire.htm,director_only_departure,exec=N / ceo=N / dir=N / pre=N,exec=N / ceo=N / dir=Y / pre=N,exec=N / ceo=N / pre=N,N,,Art Garcia (director: director),Director election; the retirement mentioned is from another company.,"On September 17, 2019, the Board of Directors (the “Board”) of American Electric Power Company, Inc. (the “Company”) elected Art Garcia to serve as a director of the Company. Mr. Garcia’s initial term as a director will continue until the 2020 annual meeting of shareholders. The Board appointed Mr. Garcia to the Audit Committee, the Committee on Directors and Corporate Governance (“Corporate Governance Committee”), the Finance Committee and the Policy Committee. Mr. Garcia retired from Ryder System, Inc. (“Ryder”), effective April 30, 2019. He served as Executive Vice-President and Chief Financial Officer of Ryder from September 2010 to April 2019. Mr. Garcia serves as a director of ABM Industries Inc. and Elanco Animal Health Inc. The Board has determined that Mr. Garcia is an “independent” director under the Company’s Principles of Corporate Governance and the independence requirements of the New York Stock Exchange, as well as the applicable rules promulgated by the Securities and Exchange Commission. As a non-employee director, Mr. Garcia will receive the same compensation paid to other non-employee directors of the Company in accordance with the policies and procedures previously approved by the Board for non-employee directors."
audit,v2 (6f7be7a),17,Hewlett Packard Enterprise Company,2023-12-15,0,https://www.sec.gov/Archives/edgar/data/1645590/000164559023000110/hpe-20231213.htm,pre_announced,exec=unclear / ceo=N / dir=N / pre=Y,exec=N / ceo=N / dir=N / pre=N,exec=unclear / ceo=N / pre=Y,N,"Jeremy K. Cox, Interim CFO and Principal Financial Officer (stays as SVP, Controller, PAO)",,"Interim title, not covered by the rules. Dates before the reference date if counted.","On December 13, 2023, the Board of Directors (the “Board”) of Hewlett Packard Enterprise Company (“HPE” or the “Company”) appointed Marie Myers to serve as HPE's Executive Vice President and Chief Financial Officer, effective as of January 15, 2024 (the “Effective Date”). In this capacity, Ms. Myers will also serve as the Company's Principal Financial Officer as of the Effective Date. Jeremy K. Cox will continue to serve as Interim Chief Financial Officer and Principal Financial Officer of HPE until the Effective Date, after which, he will continue to serve as HPE's Senior Vice President, Corporate Controller, Chief Tax Officer and Principal Accounting Officer. Ms. Myers, 55, has served as the Chief Financial Officer of HP Inc. (“HP”), a global information technology company, since February 2021, where she leads the company's finance organization and has been responsible for all aspects of financial operations. Previously, she served in numerous other leadership positions at HP: Interim Chief Financial Officer from October 2020 to February 2021, Chief Transformation Officer from June 2020 to February 2021, and Chief Digital Officer from March 2020 to October 2020. Prior to that, she served as Chief Financial Officer of UiPath, Inc., a robotic process automation company, from December 2018 to December 2019. From December 2015 to December 2018, Ms. Myers served as Global Controller of HP, and prior to that, she held numerous positions within the audit and finance organizations "
audit,v2 (6f7be7a),19,AT&T,2019-09-06,1,https://www.sec.gov/Archives/edgar/data/732717/000119312519239966/d799915d8k.htm,"exec_departure, pre_announced",exec=Y / ceo=N / dir=N / pre=Y,exec=N / ceo=N / dir=N / pre=N,exec=Y / ceo=N / pre=Y,Y,"John Donovan, CEO of AT&T Communications, LLC (subsidiary CEO, not principal executive officer)",,Restates the 2019-08-26 disclosure; before reference date.,"As previously disclosed by AT&T Inc. on August 26, 2019, John Donovan, Chief Executive Officer of AT&T Communications, LLC, announced he was leaving the company effective October 1, 2019. On September 3, 2019, Mr. Donovan entered into an Agreement and Release and Waiver of Claims (the “Agreement”). Pursuant to the terms of the Agreement: • Mr. Donovan will receive a cash payment of $7,850,000. • Mr. Donovan’s restricted stock granted in 2015 will vest upon his leaving the company on October 1, 2019. • Beginning October 2, 2019, Mr. Donovan will provide consulting services for one year for an aggregate fee of $2,800,000. The Agreement also includes a release and waiver of claims by Mr. Donovan and contains various covenants, including restrictive covenants relating to non-competition, non-solicitation and confidentiality. The foregoing summary of the Agreement does not purport to be complete and is qualified in its entirety by reference to the Agreement, which is filed as Exhibit 10.1 and is incorporated herein by reference."
audit,v2 (6f7be7a),21,Sprint Nextel,2016-05-06,1,https://www.sec.gov/Archives/edgar/data/101830/000010183016000063/a8-k20160503.htm,"director_only_departure, pre_announced",exec=N / ceo=N / dir=Y / pre=Y,exec=N / ceo=N / dir=N / pre=N,exec=N / ceo=N / pre=Y,N,"Robert Bennett, director",,"Notice 2016-05-03, before reference date.","On May 3, 2016, Robert Bennett notified Sprint Corporation (the “Company”) that he would not stand for re-election to the Company’s board of directors at its next annual meeting. Mr. Bennett’s decision was not a result of any disagreement with the Company."
audit,v2 (6f7be7a),22,GoDaddy.com LLC,2021-05-05,1,https://www.sec.gov/Archives/edgar/data/1609711/000160971121000059/gddy-20210501.htm,"exec_departure, pre_announced",exec=Y / ceo=N / dir=N / pre=Y,exec=N / ceo=N / dir=N / pre=N,exec=Y / ceo=N / pre=Y,N,"Mr. Winborne, CFO and principal financial officer (serves until 2021-06-02)",,"Implied departure: successor appointed with a stated end date for the incumbent, no departure verb. Appointment 2021-05-01, before reference date.","(c) Appointment of Chief Financial Officer On May 1, 2021, the board of directors of the Company (the ""Board"") appointed Mark D. McCaffrey to serve as the Company’s Chief Financial Officer and principal financial officer, effective June 2, 2021 (the ""CFO Effective Date""). Mr. Winborne will continue to serve as the Company’s Chief Financial Officer and principal financial officer until the CFO Effective Date. On May 1, 2021, the Company and certain of its affiliates entered into an employment letter with Mr. McCaffrey, effective as of the CFO Effective Date (the ""McCaffrey Employment Letter""). The McCaffrey Employment Letter does not have a specific term and provides that Mr. McCaffrey’s employment will be at-will. The McCaffrey Employment Letter provides Mr. McCaffrey with an annual base salary of $525,000 and an opportunity to earn an annual incentive bonus of 80% of his base salary, which will be pro-rated for fiscal 2021 beginning on the CFO Effective Date. In addition, Mr. McCaffrey will receive a signing bonus of $250,000, payable in the first pay period after the CFO Effective Date. If his employment ends within one year of the CFO Effective Date as a result of a termination of his employment for cause or his resignation without good reason (both terms as defined in the McCaffrey Employment Letter), he will be required to return a pro-rated portion of the net-after tax amount of the signing bonus, as determined in accordance with the McCaffrey Employment Letter. Pursuan"
audit,v2 (6f7be7a),24,AT&T,2022-08-04,1,https://www.sec.gov/Archives/edgar/data/732717/000073271722000091/t-20220630.htm,pre_announced,exec=unclear / ceo=N / dir=N / pre=Y,exec=N / ceo=N / dir=N / pre=N,exec=unclear / ceo=N / pre=Y,N,"Pascal Desroches, Senior EVP and CFO (no longer principal accounting officer)",,Designation transfer only; he keeps his office. Not covered by the rules.,"On June 30, 2022, AT&T Inc., a Delaware corporation (the “Company”), appointed Debra L. Dial to the position of Senior Vice President - Chief Accounting Officer and Controller, and Ms. Dial assumed the responsibilities of principal accounting officer. Ms. Dial, 61, has served in various positions with the Company for 25 years, including as Senior Vice President - Controller for the last six years. The designation as the principal accounting officer recognizes her responsibilities as Chief Accounting Officer and conforms to prevalent industry practice. Pascal Desroches, the Company's Senior Executive Vice President and Chief Financial Officer, acted as the Company's principal accounting officer prior to Ms. Dial's appointment. 3 Signature Pursuant to the requirements of the Securities Exchange Act of 1934, the Registrant has duly caused this report to be signed on its behalf by the undersigned hereunto duly authorized. AT&T INC. /s/ Stacey Maris Date: August 4, 2022 Stacey Maris Senior Vice President - Deputy General Counsel and Secretary 4"
