field,scoring,stratum,n,excluded_unclear,agreement,kappa,ref_Y,clf_Y,tp,fp,fn,precision,precision_ci95,recall,recall_ci95
exec departure (A),PRIMARY (verified),treated,38,2,0.9211,0.8421,19,16,16,0,3,1.0,"[0.794, 1.000]",0.8421,"[0.604, 0.966]"
exec departure (A),PRIMARY (verified),control,39,1,0.8718,0.7273,16,13,12,1,4,0.9231,"[0.640, 0.998]",0.75,"[0.476, 0.927]"
exec departure (A),SECONDARY (blind),treated,38,2,0.9211,0.8421,19,16,16,0,3,1.0,"[0.794, 1.000]",0.8421,"[0.604, 0.966]"
exec departure (A),SECONDARY (blind),control,37,3,0.9189,0.8252,14,13,12,1,2,0.9231,"[0.640, 0.998]",0.8571,"[0.572, 0.982]"
exec departure (A),SENSITIVITY unclear->Y,treated,40,0,0.875,0.7525,21,16,16,0,5,1.0,"[0.794, 1.000]",0.7619,"[0.528, 0.918]"
exec departure (A),SENSITIVITY unclear->Y,control,40,0,0.85,0.6834,17,13,12,1,5,0.9231,"[0.640, 0.998]",0.7059,"[0.440, 0.897]"
exec departure (B: restated->N vs new-only),PRIMARY (verified),treated,38,2,0.9211,0.8328,15,14,13,1,2,0.9286,"[0.661, 0.998]",0.8667,"[0.595, 0.983]"
exec departure (B: restated->N vs new-only),PRIMARY (verified),control,39,1,0.8974,0.7778,15,13,12,1,3,0.9231,"[0.640, 0.998]",0.8,"[0.519, 0.957]"
exec departure (B: restated->N vs new-only),SENSITIVITY unclear->Y,treated,40,0,0.875,0.7382,17,14,13,1,4,0.9286,"[0.661, 0.998]",0.7647,"[0.501, 0.932]"
exec departure (B: restated->N vs new-only),SENSITIVITY unclear->Y,control,40,0,0.875,0.7312,16,13,12,1,4,0.9231,"[0.640, 0.998]",0.75,"[0.476, 0.927]"
CEO departure,PRIMARY (verified),treated,39,1,0.8974,0.4429,4,4,2,2,2,0.5,"[0.068, 0.932]",0.5,"[0.068, 0.932]"
CEO departure,PRIMARY (verified),control,40,0,0.95,0.6396,3,3,2,1,1,0.6667,"[0.094, 0.992]",0.6667,"[0.094, 0.992]"
CEO departure,SECONDARY (blind),treated,39,1,0.8974,0.4429,4,4,2,2,2,0.5,"[0.068, 0.932]",0.5,"[0.068, 0.932]"
CEO departure,SECONDARY (blind),control,39,1,0.9744,0.7869,2,3,2,1,0,0.6667,"[0.094, 0.992]",1.0,"[0.158, 1.000]"
CEO departure,SENSITIVITY unclear->Y,treated,40,0,0.875,0.375,5,4,2,2,3,0.5,"[0.068, 0.932]",0.4,"[0.053, 0.853]"
CEO departure,SENSITIVITY unclear->Y,control,40,0,0.95,0.6396,3,3,2,1,1,0.6667,"[0.094, 0.992]",0.6667,"[0.094, 0.992]"
