sheet_id,company,filing_date,tmobile_cal7,source,fields,ref,clf,restates,ref_person,clf_person,ref_note,url,text_excerpt
2,Frontier Communications,2022-06-24,0,calibration,exec_departure,exec=Y / ceo_=N / dire=N / pre_=N,exec=N / ceo_=N / dire=N / pre_=N,N,"Donald W. Daniels, SVP and Chief Accounting Officer",,"Leaving after transition period; no departure date stated, CAO role passes to McGloin effective 2022-06-24.",https://www.sec.gov/Archives/edgar/data/20520/000114036122023997/brhc10039037_8k.htm,"William McGloin, currently Frontier’s Vice President, Controller, has been appointed Chief Accounting Officer and Controller, effective June 24, 2022, with the roles of Chief Accounting Officer and Controller being combined. Mr. McGloin, 52, has served at Frontier for eight years, most recently as Frontier’s Vice President, Controller, since 2018 and as Vice President, Assistant Controller since 2014. Mr. McGloin is a Certified Public Accountant and worked at KPMG LLP prior to joining Frontier. There are no arrangements or understandings between Mr. McGloin and any other persons in connection with his appointment. There are no family relationships between Mr. McGloin and any director or exec"
7,Snowflake Inc.,2024-02-28,0,random30,pre_announced,exec=Y / ceo_=Y / dire=N / pre_=Y,exec=Y / ceo_=Y / dire=N / pre_=N,N,"Frank Slootman, CEO (retired; remains Chairman)",Frank Slootman (CEO: Chief Executive Officer); Frank Slootman (CEO: the Company’s new Chief Executive Officer),"Retirement effective 2024-02-27, before reference date 2024-03-01.",https://www.sec.gov/Archives/edgar/data/1640147/000164014724000033/snow-20240227.htm,"Effective February 27, 2024, Frank Slootman retired as Chief Executive Officer of Snowflake Inc. (the “ Company ”), and Sridhar Ramaswamy was appointed to succeed Mr. Slootman as the Company’s new Chief Executive Officer. Mr. Slootman will remain Chairman of the Company’s board of directors (the “ Board ”), and Mr. Ramaswamy will serve as a Class III member of the Board. Prior to his appointment as Chief Executive Officer, Mr. Ramaswamy, age 57, served in various roles at the Company, including as Senior Vice President, Artificial Intelligence, since May 2023. From October 2018 to February 2024, Mr. Ramaswamy served as a Venture Partner at Greylock Partners, a venture capital firm. From Janu"
14,PACCAR,2018-02-16,0,calibration,director_only_departure,exec=N / ceo_=N / dire=Y / pre_=N,exec=N / ceo_=N / dire=N / pre_=N,N,"Luiz Kaufmann, director (retirement 2018-04-29)",,Director departure mentioned incidentally as the vacancy filled by Feder.,https://www.sec.gov/Archives/edgar/data/75362/000119312518048187/d518625d8k.htm,"On February 16, 2018, the PACCAR Inc Board of Directors elected Franklin L. Feder to the PACCAR Inc Board of Directors effective April 30, 2018. Mr. Feder will serve as a Class III director to fill the vacancy created by the retirement of Luiz Kaufmann on April 29, 2018. The information required by Item 5.02(d)(3) is not available at this time. There are no reportable transactions under Item 404(a) of Regulation S-K. He will receive compensation for his services in accordance with the Company’s standard compensatory arrangements for non-employee directors. These arrangements include an annual cash retainer of $110,000 and an annual restricted stock award of $150,000, both prorated for 2018; "
21,Sysco Corporation,2022-05-04,0,random30,pre_announced,exec=Y / ceo_=N / dire=N / pre_=Y,exec=Y / ceo_=N / dire=N / pre_=N,N,"Tim Ørting Jørgensen, EVP and President, Foodservice Operations International",Mr. Tim (other_exec: Named Executive Officer),"Departed 2022-05-03, before reference date (filing predates the event).",https://www.sec.gov/Archives/edgar/data/96021/000119312522139528/d357605d8k.htm,"Departure of Named Executive Officer (Item 5.02(b)) Mr. Tim Ørting Jørgensen, the Executive Vice President and President, Foodservice Operations, International of Sysco Corporation (“ Sysco ” or the “ Company ”), has departed the Company effective May 3, 2022. Additionally, effective May 3, 2022, Mr. Ørting’s Executive Agreement (the “ Agreement ”) dated August 21, 2020 was terminated, resulting in his eligibility to receive a payment in lieu of notice under the terms of the Agreement. The foregoing description is qualified in its entirety by the full text of the Agreement, a copy of which was filed as Exhibit 10.10 to the Company’s Quarterly Report on Form 10-Q for the period ended October "
27,Verizon,2023-03-03,0,random30,pre_announced,exec=Y / ceo_=N / dire=N / pre_=Y,exec=Y / ceo_=N / dire=N / pre_=N,N,"Matthew D. Ellis, EVP and CFO",Matthew D. Ellis (CFO: Verizon’s Executive Vice President and Chief Financial Officer); Anthony T. Skiadas (PAO: Verizon’s Senior Vice President and Controller); Kyle Malady (president: Executive Vice President and President),"Succession announced 2023-03-02, before reference date; leaves 2023-05-01. Kyle Malady ceased one EVP role but took another; not coded as a departure.",https://www.sec.gov/Archives/edgar/data/732712/000119312523058988/d461784d8k.htm,"On March 2, 2023, the Verizon Board of Directors appointed Anthony T. Skiadas, Verizon’s Senior Vice President and Controller, to succeed Matthew D. Ellis as Verizon’s Executive Vice President and Chief Financial Officer, effective May 1, 2023. On the same day, the Human Resources Committee of the Board of Directors approved a compensation increase for Mr. Skiadas in connection with his appointment. Effective May 1, 2023, Mr. Skiadas’ base salary will increase from $625,000 to $800,000, his target short-term incentive opportunity will increase from 90% to 150% of base salary, and his target long-term incentive opportunity will increase from $2,200,000 to $7,000,000. Mr. Skiadas, 54, has serv"
31,"T-Mobile USA, Inc.",2013-05-02,0,random30,ceo_departure,exec=Y / ceo_=Y / dire=Y / pre_=Y,exec=Y / ceo_=N / dire=Y / pre_=Y,N,"Roger D. Linquist, Mark A. Stachiw, Dennis T. Currier, Christine B. Kornegay, Malcolm M. Lorang (resigned as executive officers); J. Braxton Carter (resigned as CAO, remained CFO); Arthur C. Patterson, John F. Callahan Jr., C. Kevin Landry (directors)",Kevin Landry (director: directors); Braxton Carter (PAO: Chief Accounting Officer); Malcolm M. Lorang (other_exec: executive officer),"Transaction-driven (MetroPCS/T-Mobile combination, 2013-04-30). CEO = Y after verification: the registrant's own 8-K exhibit of 2013-04-24 (MetroPCS Q1 2013 release) identifies Linquist as Chairman and CEO of MetroPCS, the registrant before its renaming. Originally coded unclear from sheet text alone.",https://www.sec.gov/Archives/edgar/data/1283699/000119312513193449/d527693d8k.htm,"Board of Directors On April 30, 2013, in connection with the consummation of the Transaction and the Mergers, the Board was increased to 11 members, and Roger D. Linquist, Arthur C. Patterson, John (Jack) F. Callahan, Jr., and C. Kevin Landry resigned from their positions as directors of the Company. W. Michael Barnes and James N. Perry, Jr. continue to serve as directors of the Company. Effective April 30, 2013, the following individuals were appointed by the Board as directors of the Company pursuant to the terms of the Business Combination Agreement and the Stockholder’s Agreement, to fill the vacancies resulting from the resignations of the individuals referred to above and an increase i"
32,"Fidelity National Information Services, Inc.",2023-08-22,0,calibration,exec_departure,exec=Y / ceo_=N / dire=N / pre_=N,exec=N / ceo_=N / dire=N / pre_=N,N,"Erik D. Hoag, CFO",,"Left CFO position 2023-08-21, after reference date; remains non-executive employee through year end.",https://www.sec.gov/Archives/edgar/data/1136893/000119312523218012/d534612d8k.htm,"Effective as of August 21, 2023, the Board of Directors of Fidelity National Information Services, Inc. (the “Company”) appointed James Kehoe as the Chief Financial Officer of the Company. Mr. Kehoe, age 60, joins FIS from Walgreens Boots Alliance, Inc., where he served as Executive Vice President and Global Chief Financial Officer since June 2018. Prior to that, Mr. Kehoe served as Global Chief Financial Officer and Corporate Officer at Takeda Pharmaceutical Company Limited from June 2016 to March 2018, Executive Vice President and Chief Financial Officer at Kraft Foods Group, Inc. from February 2015 to July 2015, Executive Vice President and Chief Financial and Administrative Officer at Gi"
37,T-Mobile USA,2020-04-16,1,calibration,exec_departure,exec=Y / ceo_=N / dire=N / pre_=N,exec=N / ceo_=N / dire=N / pre_=N,Y,"David Carey, EVP Corporate Services",,"Text cites prior announcement dated 2020-03-12, after reference date 2020-03-02. An earlier (e) filing dated 2020-02-12 set his termination terms but is not referenced here.",https://www.sec.gov/Archives/edgar/data/1283699/000119312520109354/d883806d8k.htm,"As previously announced on March 12, 2020, David Carey is retiring from his position as Executive Vice President, Corporate Services of T-Mobile US, Inc. (the “Company”). On April 10, 2020, the Company and Mr. Carey determined that Mr. Carey would depart the Company effective April 13, 2020. In connection with his departure, Mr. Carey will be eligible to receive certain severance payments and benefits described in, and, in accordance with the terms of, his existing employment, severance and equity award agreements with the Company."
39,T-Mobile USA,2020-02-19,1,calibration,"exec_departure, pre_announced",exec=Y / ceo_=N / dire=N / pre_=Y,exec=N / ceo_=N / dire=N / pre_=N,N,"David Carey, EVP Corporate Services",,"Filed under (e): amendment states employment will automatically terminate by 2020-07-01 or on position elimination. Agreement dated 2020-02-12, before reference date.",https://www.sec.gov/Archives/edgar/data/1283699/000119312520041926/d888203d8k.htm,"On February 12, 2020, T-Mobile US, Inc. (“T-Mobile”) adopted the first amendment to the compensation term sheet, dated as of April 28, 2018 (the “Compensation Term Sheet”), with David Carey, T-Mobile’s Executive Vice President, Corporate Services (the “Amendment”). The Amendment amends the Compensation Term Sheet to extend the term of Mr. Carey’s employment thereunder through, and to clarify that Mr. Carey’s employment with T-Mobile will automatically terminate on, the first to occur of July 1, 2020 and the date on which T-Mobile eliminates Mr. Carey’s position with T-Mobile (the “Position Elimination Date”). The Amendment notes that the Position Elimination Date is expected to occur between"
52,ServiceNow Inc.,2024-10-23,0,calibration,exec_departure,exec=N / ceo_=N / dire=N / pre_=N,exec=Y / ceo_=N / dire=N / pre_=N,N,,Amit Zavery (COO: President Chief Product Officer Chief Operating Officer),,https://www.sec.gov/Archives/edgar/data/1373715/000137371524000342/now-20241021.htm,"On October 21, 2024, the Board of Directors (the ""Board"") of the Company appointed Amit Zavery, age 53, as President, Chief Product Officer and Chief Operating Officer of the Company, effective October 28, 2024. Mr. Zavery joins the Company from Alphabet Inc., a multinational technology company, where he served as VP/GM and Head of Platform, Google Cloud from March 2019. Prior to joining Google Cloud, Mr. Zavery served in various leadership roles at Oracle Corporation, a multinational computer technology company, from December 1994 to March 2019 - most recently as its Executive Vice President and Corporate Officer, Product Development. In addition, Mr. Zavery has served on the Board of Direc"
