accession,fcc_form499,section_text
0000012927-15-000061,0,"On August 11, 2015, the Board of Directors (the “Board”) of The Boeing Company (the “Company”) elected Lynn J. Good, Vice Chairman, President and CEO of Duke Energy Corporation, as a new director. The Board has appointed Ms. Good to the Audit Committee and the Finance Committee. Ms. Good will participate in the Company’s nonemployee director compensation program, which is described on pages 14 to 15 of the Company’s proxy statement for its 2015 Annual Meeting of Shareholders filed with the Secur"
0000012927-15-000083,0,"On December 14, 2015, the Board of Directors (the “Board”) of The Boeing Company (the “Company”) elected Randall L. Stephenson, Chairman and Chief Executive Officer of AT&T Inc., as a new director effective as of February 17, 2016 (the ""Effective Date""). Mr. Stephenson will serve on the Audit Committee, Finance Committee and Special Programs Committee, and will be nominated for election at the Company's 2016 annual meeting of shareholders. Mr. Stephenson will participate in the Company’s nonempl"
0000012927-16-000147,0,"On October 14, 2016, the Board of Directors (the “Board”) of The Boeing Company (the “Company”) elected Robert A. Bradway, Chairman and Chief Executive Officer of Amgen Inc., as a new director. The Board has appointed Mr. Bradway to the Audit Committee and the Finance Committee. Mr. Bradway will participate in the Company’s nonemployee director compensation program, which is described on pages 17 to 19 of the Company’s proxy statement for its 2016 Annual Meeting of Shareholders filed with the Se"
0000012927-17-000040,0,"The Compensation Committee of the Board of Directors of The Boeing Company (the “Company”) approved a grant of 50,000 restricted stock units (the “Award”) effective July 3, 2017, to Gregory D. Smith, the Company’s Chief Financial Officer and Executive Vice President, Corporate Development & Strategy. The Award was granted in connection with the expansion of Mr. Smith's responsibilities beginning July 1, 2017, at which time he will begin to serve as the Company’s Chief Financial Officer and Execu"
0001193125-21-056971,1,"(d) On February 25, 2021, the board of directors (the “Board”) of Lumen Technologies, Inc. (the “Company”), on the recommendation of its nominating and corporate governance committee, voted to increase its size from 11 members to 12 members and to appoint Quincy L. Allen to fill the newly-created vacancy. Mr. Allen’s appointment is effective immediately and, assuming his renomination by the Board, he will stand for reelection at the Company’s 2021 annual meeting of shareholders. The Board has de"
0001019687-16-006642,0,"(e) At the Annual Meeting of Stockholders of Delta Air Lines, Inc. (the “Company”) held on June 10, 2016, our stockholders approved an amendment and restatement of the Performance Compensation Plan (the “Performance Compensation Plan”). The Performance Compensation Plan amends and restates the 2007 Performance Compensation Plan currently in effect. The terms of the Performance Compensation Plan are unchanged, other than an increase of 6,650,000 in the number of shares authorized for issuance und"
0001683168-17-000167,0,"On January 25, 2017, the Board of Directors of Delta Air Lines, Inc. (“Delta”) elected Jeanne P. Jackson to Delta’s Board of Directors. The Board of Directors appointed Ms. Jackson to serve on the Board’s Audit Committee and Personnel & Compensation Committee. Ms. Jackson will be compensated for her service as a director on the same basis as other non-employee directors of Delta. Compensation for Delta’s non-employee directors is described in Delta’s Proxy Statement for its 2016 annual meeting o"
0001683168-17-002723,0,"On October 23, 2017, the Board of Directors of Delta Air Lines, Inc. (“Delta”) elected Ash Carter to Delta’s Board of Directors. The Board of Directors appointed Secretary Carter to serve on the Board’s Audit Committee and Safety and Security Committee. Secretary Carter will be compensated for his service as a director on the same basis as other non-employee directors of Delta. A copy of Delta’s press release announcing Secretary Carter’s election to the Board of Directors is attached to this re"
0001683168-18-001046,0,"On April 20, 2018, the Board of Directors of Delta Air Lines, Inc. (“Delta”) elected Michael P. Huerta to Delta’s Board of Directors. The Board of Directors appointed Mr. Huerta to serve on the Board’s Audit Committee and Safety & Security Committee. Mr. Huerta will be compensated for his service as a director on the same basis as other non-employee directors of Delta. A copy of Delta’s press release announcing Mr. Huerta’s election to the Board of Directors is attached to this report as Exhibit"
0001144204-13-055259,0,"(d) On October 15, 2013, Equifax Inc. (the “Company”) announced that Robert D. Marcus has been appointed a member of the Board of Directors of the Company, effective November 1, 2013, for a term expiring at the next annual meeting of shareholders scheduled to be held in May 2014. Mr. Marcus also has been appointed a member of the Governance Committee of the Board effective January 1, 2014. The Board action was taken on October 9, 2013. A copy of the Company's press release relating to the appoin"
0001193125-22-255620,0,"(e) On September 27, 2022, the shareholders of General Mills, Inc. (the “Company”) approved the General Mills, Inc. 2022 Stock Compensation Plan (the “2022 Stock Plan”). Subject to the terms of the 2022 Stock Plan, the 2022 Stock Plan authorizes up to 35,000,000 shares of Company common stock to be available for grants of equity awards. The material terms of the 2022 Stock Plan are described in the Company’s definitive proxy statement, dated August 8, 2022, under the heading “Proposal Number 2: "
0001437749-16-034694,0,"Effective June 30, 2016, the Board of Directors (the “Board”) of Gray Television, Inc. (the “Company”), increased the size of the Board from eight to nine members, and appointed Luis A. Garcia to serve as a Director until the Company’s annual meeting of shareholders in 2017. Mr. Garcia, age 49, has served as the President and Chief Strategist of MarketVision, a privately owned, strategic marketing firm focused on understanding diverse audiences, since 2008. Mr. Garcia will receive compensation f"
0001437749-16-038936,0,"On September 20, 2016, Gray Television, Inc. (the “Company”) announced that the Company had increased the size of its Board of Directors from nine to ten members, and had appointed Richard B. Hare to serve as a Director until the Company’s annual meeting of shareholders in 2017. Mr. Hare, age 49, has over 25 years experience in finance and accounting. He has served as the Senior Vice President – Finance, Treasurer, and Chief Financial Officer of Carmike Cinemas, Inc., one of the largest motion p"
0001437749-22-011229,0,"The Board of Directors (the “Board”) of Gray Television, Inc. (the “Company”), previously approved, subject to shareholder approval, the Gray Television, Inc. 2022 Equity and Incentive Compensation Plan (the “Plan”). The Company’s shareholders approved the Plan at the Company’s 2022 Annual Meeting of Shareholders (the “Annual Meeting”) held on May 5, 2022. A detailed summary of the material terms of the Plan appears under the caption “Proposal 2 - Approval of the Gray Television, Inc. 2022 Equit"
0001104659-05-057353,0,"(d) (1) On November 18, 2005, the Board of Directors of HP (the “Board”) elected John H. Hammergren as a director effective November 22, 2005 (the “Effective Time”). In a press release dated August 29, 2005, HP announced that Mr. Hammergren, chairman, president and chief executive officer of McKesson Corporation, agreed to join HP’s Board. (2) There is no arrangement or understanding between Mr. Hammergren and any other persons pursuant to which he was selected as a director. (3) At the time of "
0001104659-06-075980,0,"(d) On November 16, 2006, the Board of Directors of HP (the “Board”) elected G. Kennedy Thompson as a director effective November 16, 2006. Mr. Thompson is chairman, president and CEO of Wachovia Corporation. Mr. Thompson has not been named to serve on any committee of the Board, and the information about whether Mr. Thompson is expected to be named to serve on any committees of the Board has not been determined or is unavailable at the time of this filing. Mr. Thompson will participate in the n"
0001104659-07-041277,0,"On May 17, 2007, the Board of Directors of Hewlett-Packard Company (“HP”) elected Joel Z. Hyatt, the chief executive officer of Current Media, LLC, and John R. Joyce, a managing director at Silver Lake, to serve as directors of HP effective May 17, 2007 (the “Effective Time”). The Board also appointed Mr. Hyatt to serve on the newly formed Finance and Investment Committee and the HR and Compensation Committee and Mr. Joyce to serve on the Audit Committee and to the newly reconstituted Technology"
0001104659-08-055465,0,"(e) On August 22, 2008, the HR and Compensation Committee (the “HRC”) of the Board of Directors of Hewlett-Packard Company (“HP”) approved a special performance-based cash incentive arrangement for Shane V. Robison, Executive Vice President and Chief Strategy and Technology Officer. A copy of the related form of performance-based cash incentive notification letter is filed as Exhibit 10.1 hereto and incorporated by reference herein. Under the arrangement, a targeted cash amount of $2,000,000 was"
0001104659-05-045904,0,"(d) Election of New Director: On September 26, 2005, IBM announced that Shirley Ann Jackson has been elected to the IBM Board of Directors. Dr. Jackson has become a member of IBM’s Directors and Corporate Governance Committee. The press release is Exhibit 99.1 of this Form 8-K."
0001104659-06-004976,0,"(d) Election of New Director: On January 31, 2006, IBM announced that the IBM Board of Directors elected James W. Owens to the Board effective March 1, 2006. Mr. Owens is expected to become a member of IBM’s Audit Committee. The press release is Exhibit 99.1 of this Form 8-K. IBM’s web site (www.ibm.com) contains a significant amount of information about IBM, including financial and other information for investors (www.ibm.com/investor/). IBM encourages investors to visit its various web sites f"
0001104659-07-049962,0,"(d) Election of New Director: On June 26, 2007, IBM announced that the IBM Board of Directors elected William R. Brody to the Board effective July 31, 2007. The press release is Exhibit 99.1 of this Form 8-K. IBM’s web site (www.ibm.com) contains a significant amount of information about IBM, including financial and other information for investors (www.ibm.com/investor/). IBM encourages investors to visit its various web sites from time to time, as information is updated and new information is p"
0001193125-21-244798,0,"(d) On August 11, 2021, the Board of Directors of Nucor Corporation (the “Company”) elected Norma B. Clayton as a director, effective September 1, 2021, with a term expiring at the Company’s 2022 annual meeting of stockholders. Concurrent with her election as a director, Ms. Clayton was appointed to the Audit Committee, the Compensation and Executive Development Committee and the Governance and Nominating Committee of the Company’s Board of Directors. There are no arrangements or understandings "
0001193125-22-215713,0,"(d) On August 8, 2022, the Board of Directors of Nucor Corporation (the “Company”) elected Michael W. Lamach as a director, effective September 1, 2022, with a term expiring at the Company’s 2023 annual meeting of stockholders. Concurrent with his election as a director, Mr. Lamach was appointed to the Audit Committee, the Compensation and Executive Development Committee and the Governance and Nominating Committee of the Company’s Board of Directors. There are no arrangements or understandings b"
0001193125-23-206313,0,"(d) On August 7, 2023, the Board of Directors of Nucor Corporation (the “Company”) elected Nicholas C. Gangestad as a director, effective September 1, 2023, with a term expiring at the Company’s 2024 annual meeting of stockholders. Concurrent with his election as a director, Mr. Gangestad was appointed to the Audit Committee, the Compensation and Executive Development Committee and the Governance and Nominating Committee of the Company’s Board of Directors. There are no arrangements or understan"
0001193125-17-369333,0,"(c) The PACCAR Board of Directors elected Harrie Schippers, 55, as President and Chief Financial Officer of the Company, effective January 1, 2018. Mr. Schippers has served as Executive Vice President and Chief Financial Officer since February 1, 2017 and prior to that was Senior Vice President of the Company from April 1, 2016 to January 31, 2017. Mr. Schippers was President of DAF Trucks N.V. from 2010 to March 31, 2016. As President and Chief Financial Officer, Mr. Schippers will receive an a"
0000078003-06-000275,0,"On October 26, 2006, Pfizer Inc. (""Pfizer"") issued a press release announcing the election of Dennis A. Ausiello, M.D. to the Pfizer Board of Directors effective December 1, 2006. The information contained in the press release is deemed to be “filed” under the Securities Exchange Act of 1934 as Exhibit 99 to this report, and such press release is incorporated herein by reference."
0000078003-07-000245,0,"On September 27, 2007, Pfizer Inc. (""Pfizer"") issued a press release announcing the election of Suzanne Nora Johnson and James M. Kilts to the Pfizer Board of Directors effective September 27, 2007. Ms. Johnson will serve as a member of the Audit Committee and Mr. Kilts will serve as a member of the Compensation Committee. The information contained in the press release is deemed to be filed under the Securities Exchange Act of 1934 as Exhibit 99 to this report, and such press release is incorpor"
0001299933-09-000511,0,"On January 26, 2009, the J. M. Smucker Company (the ""Company"") issued a press release announcing that its Board of Directors (the ""Board"") was increased to thirteen members and that the Board had elected Alex Shumate, Paul Smucker Wagstaff and Mark Smucker to serve on the Board, effective immediately. In addition to his service on the Board, Mr. Shumate will serve as a member of the Nominating and Corporate Governance Committee. Messrs. Smucker and Wagstaff will not serve on any committees of th"
0000101830-07-000032,1,"On August 7, 2007, the Board of Directors of Sprint Nextel Corporation (the ""Company"") appointed two new independent directors, Larry C. Glasscock and Rodney O'Neal. Messrs. Glasscock and O'Neal have not been appointed to any committees of the board. A copy of the press release issued by the Company on August 7, 2007 announcing the appointment of Messrs. Glasscock and O'Neal is included as Exhibit 99 to this report and incorporated herein by reference."
0000101830-08-000026,1,"(d) On June 9, 2008, the Board of Directors of Sprint Nextel Corporation (""Sprint Nextel"") appointed a new independent director, William R. Nuti. The Board appointed Mr. Nuti to serve on the Nominating and Corporate Governance Committee. A copy of the press release issued by Sprint Nextel on June 9, 2008 announcing the appointment of Mr. Nuti is included as Exhibit 99.1 to this report and incorporated herein by reference."
0000101830-12-000046,1,"On May 4, 2012, Sprint Nextel Corporation (the “Company”) and Daniel R. Hesse, President and Chief Executive Officer of the Company, entered into a Letter Agreement, a copy of which is filed as Exhibit 10.1 to this Form 8-K and is incorporated by reference herein."
0000101830-12-000110,1,"(e) Amendments to Cowan, Elfman, Euteneuer, and Hesse Employment Agreements On November 18, 2012, November 16, 2012, November 20, 2012, and November 16, 2012, Sprint Nextel Corporation (the ""Company"") entered into amendments (each, a “Named Executive Amendment” and collectively, the “Named Executive Amendments”) with each of Keith O. Cowan, Steven L. Elfman, Joseph J. Euteneuer, and Daniel R. Hesse, respectively, to each executive's respective employment agreement. In general the amendments limi"
0000101830-13-000041,1,"(d) On September 2, 2013, the Vacancy Resolution Committee of the Board of Directors (the “Board”) of the Company appointed a new director, Sara Martinez Tucker. There are no arrangements or understandings between Ms. Tucker and any other persons pursuant to which Ms. Tucker was appointed as a director. There are no related party transactions between the Company and Ms. Tucker. At its next scheduled meeting, the Board will evaluate Ms. Tucker's independence and financial expertise. After such ev"
0000101830-15-000024,1,"On August 7, 2015, the 2015 annual meeting of stockholders (the “Annual Meeting”) of Sprint Corporation (the “Company”) was held, at which the Company’s shareholders approved the 2015 Omnibus Incentive Plan (the “Omnibus Plan”). A description of the material terms and conditions of the Omnibus Plan is provided under the heading ""Proposal 4 - Approval of the 2015 Omnibus Incentive Plan"" starting on page 68 of the Company's proxy statement filed with the Securities and Exchange Commission on June "
0000101830-15-000043,1,"Appointment of Certain Officers; Compensatory Arrangements of Certain Officers. Amended and Restated Employment Agreement On November 6, 2015 (the “ Amendment Effective Date ”), Sprint Nextel Corporation, now known as Sprint Communications, Inc. (the “ Company ”), entered into a Fourth Amendment (the “ Amendment ”) to that certain Employment Agreement by and between the Company and Joseph J. Euteneuer, Senior Financial Advisor and former Chief Financial Officer, dated as of December 20, 2010 and"
0000101830-16-000092,1,"On November 1, 2016, the 2016 annual meeting of stockholders (the “Annual Meeting”) of Sprint Corporation (the “Company”) was held, at which the Company’s shareholders approved the Amended and Restated 2015 Omnibus Incentive Plan (the “Amended Omnibus Plan”). A description of the material terms and conditions of the Amended Omnibus Plan is provided under the heading ""Proposal 4 - Approval of the Amended and Restated 2015 Omnibus Incentive Plan"" starting on page 70 of the Company's proxy statemen"
0000101830-16-000094,1,"(d) On December 1, 2016, the Vacancy Resolution Committee of the Board of Directors (the “Board”) of Sprint Corporation (the “Company”) appointed a new director, Patrick Doyle. There are no arrangements or understandings between Mr. Doyle and any other persons pursuant to which Mr. Doyle was appointed as a director. There are no related party transactions between the Company and Mr. Doyle. The Board will evaluate Mr. Doyle’s independence and financial expertise. After such evaluation, Mr. Doyle "
0001193125-19-181180,0,"On June 25, 2019, Aon Corporation, an indirect, wholly owned subsidiary of Aon plc, and Christa Davies entered into an amendment (the “Davies Amendment”) to the international assignment letter agreement dated July 1, 2016 between Aon Corporation and Ms. Davies (the “Davies International Assignment Letter”). The Davies Amendment extends the term of the Davies International Assignment Letter, which was set to expire on June 30, 2019, to expire on June 30, 2020. On June 25, 2019, Aon Corporation an"
0001193125-20-178023,0,"On June 19, 2020, Aon Corporation, an indirect, wholly owned subsidiary of Aon plc, and Christa Davies entered into an amendment (the “Davies Amendment”) to the international assignment letter agreement dated July 1, 2016 between Aon Corporation and Ms. Davies (the “Davies International Assignment Letter”). The Davies Amendment extends the term of the Davies International Assignment Letter, which was set to expire on June 30, 2020, to expire on June 30, 2021. On June 19, 2020, Aon Corporation an"
0001193125-23-295027,0,"David M. Reese, M.D., will transition from Executive Vice President, Research and Development to Executive Vice President and Chief Technology Officer, a newly created executive officer position, responsible for accelerating the use of technology and artificial intelligence (AI) across all facets of Amgen Inc. (“Amgen” or the “Company”). James Bradner, M.D., has been hired as the Company’s Executive Vice President, Research and Development, and Chief Scientific Officer, an executive officer posi"
0001193125-16-488223,0,"(e) The Board of Directors of Apple Inc. previously adopted, subject to shareholder approval, an amendment and restatement of Apple’s 2014 Employee Stock Plan (the “2014 Plan”). Apple’s shareholders approved the amended and restated 2014 Plan at the Annual Meeting of Shareholders held on February 26, 2016 (the “Annual Meeting”). The amended and restated 2014 Plan, which became effective upon shareholder approval, increased the maximum amount payable as a cash bonus award that may qualify as perf"
