round,classifier,field,group,reference_positives,classifier_hits,misses,recall,recall_ci95,filings_in_group
1,v1 (d39bc6d),exec,treated,12,8,4,0.6667,"[0.349, 0.901]",36
1,v1 (d39bc6d),exec,control,17,15,2,0.8824,"[0.636, 0.985]",44
1,v1 (d39bc6d),ceo,treated,3,1,2,0.3333,"[0.008, 0.906]",36
1,v1 (d39bc6d),ceo,control,3,3,0,1.0,"[0.292, 1.000]",44
1,v1 (d39bc6d),director_only,treated,6,6,0,1.0,"[0.541, 1.000]",36
1,v1 (d39bc6d),director_only,control,8,5,3,0.625,"[0.245, 0.915]",44
1,v2 (6f7be7a) IN-SAMPLE,exec,treated,12,12,0,1.0,"[0.735, 1.000]",36
1,v2 (6f7be7a) IN-SAMPLE,exec,control,17,17,0,1.0,"[0.805, 1.000]",44
1,v2 (6f7be7a) IN-SAMPLE,ceo,treated,3,2,1,0.6667,"[0.094, 0.992]",36
1,v2 (6f7be7a) IN-SAMPLE,ceo,control,3,3,0,1.0,"[0.292, 1.000]",44
1,v2 (6f7be7a) IN-SAMPLE,director_only,treated,6,5,1,0.8333,"[0.359, 0.996]",36
1,v2 (6f7be7a) IN-SAMPLE,director_only,control,8,8,0,1.0,"[0.631, 1.000]",44
2,v2 (6f7be7a),exec,treated,3,1,2,0.3333,"[0.008, 0.906]",12
2,v2 (6f7be7a),exec,control,2,2,0,1.0,"[0.158, 1.000]",17
2,v2 (6f7be7a),ceo,treated,0,0,0,,n/a,12
2,v2 (6f7be7a),ceo,control,0,0,0,,n/a,18
2,v2 (6f7be7a),director_only,treated,5,5,0,1.0,"[0.478, 1.000]",12
2,v2 (6f7be7a),director_only,control,4,4,0,1.0,"[0.398, 1.000]",18
