final_cik,breach_date,org_name,reported_date,fcc_form499,permno,immediate_disclosure,firm_size_log,leverage,roa,prior_breaches_1yr,health_breach,rs_exec_departure_30_rd,rs_ceo_departure_30_rd,rs_director_departure_30_rd,any_502_30_rd,rs_exec_departure_nopre_30_rd,rs_exec_departure_90_rd,rs_ceo_departure_90_rd,rs_director_departure_90_rd,any_502_90_rd,rs_exec_departure_nopre_90_rd,rs_exec_departure_180_rd,rs_ceo_departure_180_rd,rs_director_departure_180_rd,any_502_180_rd,rs_exec_departure_nopre_180_rd,rs_days_to_first_exec_departure_rd,rs_placebo_exec_departure_rd,rs_baseline_exec_departures_rd,rs_baseline_exec_rate_py_rd,rs_exec_departure_30_bd,rs_ceo_departure_30_bd,rs_director_departure_30_bd,any_502_30_bd,rs_exec_departure_nopre_30_bd,rs_exec_departure_90_bd,rs_ceo_departure_90_bd,rs_director_departure_90_bd,any_502_90_bd,rs_exec_departure_nopre_90_bd,rs_exec_departure_180_bd,rs_ceo_departure_180_bd,rs_director_departure_180_bd,any_502_180_bd,rs_exec_departure_nopre_180_bd,rs_days_to_first_exec_departure_bd,rs_placebo_exec_departure_bd,rs_baseline_exec_departures_bd,rs_baseline_exec_rate_py_bd,exec_departure_30_rd,ceo_departure_30_rd,director_departure_30_rd,exec_departure_nopre_30_rd,exec_departure_90_rd,ceo_departure_90_rd,director_departure_90_rd,exec_departure_nopre_90_rd,exec_departure_180_rd,ceo_departure_180_rd,director_departure_180_rd,exec_departure_nopre_180_rd,days_to_first_exec_departure_rd,placebo_exec_departure_rd,baseline_exec_departures_rd,baseline_exec_rate_py_rd,exec_departure_30_bd,ceo_departure_30_bd,director_departure_30_bd,exec_departure_nopre_30_bd,exec_departure_90_bd,ceo_departure_90_bd,director_departure_90_bd,exec_departure_nopre_90_bd,exec_departure_180_bd,ceo_departure_180_bd,director_departure_180_bd,exec_departure_nopre_180_bd,days_to_first_exec_departure_bd,placebo_exec_departure_bd,baseline_exec_departures_bd,baseline_exec_rate_py_bd,outcome_cik,has_8k_activity,prior12m_mktadj_ret_rd,prior12m_ndays_rd,prior12m_mktadj_ret_bd,prior12m_ndays_bd,sic2,reported_year,breach_year,in_analysis_sample,bd180_before_rd
4904,2018-12-09,American Electric Power,2019-04-26 00:00:00,0,24109.0,0.0,11.078,0.7169,0.0295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273,4904,1,0.16410170138478186,251,0.07255763211416655,250,49,2019,2018,1,0
4904,2019-02-18,American Electric Power,2019-04-26 00:00:00,0,24109.0,0.0,11.139,0.7214,0.028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273,4904,1,0.16410170138478186,251,0.1922104459664773,250,49,2019,2019,1,0
8670,2013-04-29,"Automatic Data Processing, Inc.",2013-06-04 00:00:00,0,44644.0,0.0,10.3358,0.8016,0.0451,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,1,0.6636,0,0,0,0,0,0,1,0,0,0,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,0.6636,8670,1,0.10397294012485347,250,0.08755085497268333,249,34,2013,2013,1,0
12927,2016-11-21,The Boeing Company,2017-02-09 00:00:00,0,19561.0,0.0,11.4554,0.9322,0.0548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,1.3273,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,1.3273,12927,1,0.14266994068068017,252,-0.059181393852639985,251,34,2017,2016,1,0
18926,2013-12-27,CenturyLink,2014-05-28 00:00:00,1,60599.0,0.0,10.8971,0.6429,0.0144,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,18926,1,-0.10696507896959262,252,-0.4390626329236216,252,48,2014,2013,1,0
18926,2017-01-30,CenturyLink,2017-02-20 00:00:00,1,60599.0,0.0,10.7583,0.715,0.0133,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,,0,1,0.6636,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,,0,1,0.6636,0,0,1,0,0,0,1,0,0,0,1,0,,0,1,0.6636,0,0,1,0,0,0,1,0,0,0,1,0,,0,1,0.6636,18926,1,-0.39217700508194797,252,-0.12472231268101153,251,48,2017,2017,1,0
18926,2017-02-28,CenturyLink,2017-02-28 00:00:00,1,60599.0,1.0,10.7583,0.715,0.0133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,18926,1,-0.37678346873980395,252,-0.37678346873980395,252,48,2017,2017,1,0
18926,2020-08-20,CenturyLink Communications,2020-09-25 00:00:00,1,60599.0,0.0,11.0782,0.7919,-0.0814,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,117.0,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,153.0,0,2,1.3273,0,0,0,0,0,0,0,0,1,0,0,1,117.0,0,1,0.6636,0,0,0,0,0,0,0,0,1,0,0,1,153.0,0,2,1.3273,18926,1,-0.2400485985168913,252,-0.07817425797510946,252,48,2020,2020,1,0
18926,2022-03-15,Centurylink Communications,2022-04-21 00:00:00,1,60599.0,0.0,10.9681,0.7958,0.0351,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,145.0,1,1,0.6636,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,13.0,0,1,0.6636,0,0,0,0,0,0,0,0,1,1,0,1,145.0,1,1,0.6636,1,0,0,1,1,0,0,1,1,0,0,1,13.0,0,1,0.6636,18926,1,-0.05781846224917797,253,-0.18109495033688572,253,48,2022,2022,1,0
20520,2022-02-24,Frontier Communications,2022-05-04 00:00:00,1,21297.0,0.0,9.71,0.7209,0.3006,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,51.0,0,5,3.3182,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,120.0,0,6,3.9818,0,0,0,0,1,0,0,1,1,0,0,1,51.0,0,5,3.3182,0,0,0,0,0,0,0,0,1,0,0,1,120.0,0,6,3.9818,20520,1,-0.013426937182566268,252,-0.031855235706626184,204,48,2022,2022,1,0
