deleted_parent_cik,coef_without,cluster_size,partial_leverage_share,window
4904,0.0162,2,0.011,30
8670,0.0166,1,0.0035,30
12927,0.0166,1,0.0084,30
18926,0.0186,5,0.0306,30
20520,0.0201,4,0.0448,30
27904,0.0163,2,0.0088,30
33185,0.0168,4,0.0002,30
40704,0.0165,1,0.0025,30
43196,0.0167,3,0.0005,30
47111,0.0168,1,0.0008,30
47217,0.0153,5,0.0264,30
51143,0.0163,2,0.0133,30
73309,0.0166,1,0.0007,30
75362,0.0166,1,0.0018,30
76334,0.0168,1,0.0003,30
77476,0.0165,1,0.0074,30
78003,0.0166,1,0.0043,30
91419,0.0167,1,0.0001,30
91440,0.0169,1,0.0031,30
92380,0.0165,2,0.0025,30
96021,0.0167,1,0.0033,30
101830,0.0109,12,0.0549,30
277135,0.0167,2,0.0001,30
315293,0.0167,1,0.0037,30
318154,0.0166,2,0.0112,30
320193,0.0244,7,0.0436,30
354190,0.0165,2,0.002,30
354950,0.0166,1,0.0028,30
723254,0.0167,1,0.0001,30
732712,0.0187,11,0.0303,30
732717,0.0226,26,0.0616,30
764180,0.0165,1,0.0056,30
773840,0.0164,3,0.0091,30
789019,0.0152,5,0.0363,30
789570,0.0164,2,0.0075,30
796343,0.0166,3,0.0006,30
815097,0.0165,2,0.0065,30
823768,0.0168,1,0.0,30
831259,0.0165,1,0.0029,30
858877,0.0162,2,0.0077,30
860731,0.017,1,0.001,30
872589,0.017,1,0.0012,30
896878,0.015,78,0.0088,30
908937,0.0128,15,0.0237,30
920522,0.0167,1,0.0001,30
926480,0.0165,1,0.0029,30
943452,0.0166,1,0.0009,30
1000228,0.0168,1,0.0019,30
1001082,0.0174,2,0.0154,30
1001250,0.0165,3,0.0047,30
1041061,0.0173,1,0.0032,30
1048911,0.0166,1,0.0011,30
1051470,0.0165,2,0.0045,30
1058290,0.0167,1,0.0001,30
1060391,0.0159,5,0.0085,30
1091667,0.0191,8,0.0355,30
1108524,0.0128,1,0.0008,30
1123360,0.0143,2,0.0006,30
1136893,0.0388,12,0.0672,30
1137789,0.0219,1,0.0013,30
1140859,0.0167,3,0.0105,30
1166691,0.0185,12,0.0514,30
1283699,-0.0022,26,0.1055,30
1326160,0.0162,3,0.0221,30
1341439,0.0166,1,0.0029,30
1373715,0.0166,1,0.0009,30
1428439,0.0166,3,0.0001,30
1447669,0.019,2,0.04,30
1501585,0.0168,1,0.0004,30
1510295,0.0166,1,0.0026,30
1535527,0.0165,2,0.0007,30
1543151,0.0161,3,0.0158,30
1553023,0.0168,1,0.0,30
1564408,0.0167,1,0.0013,30
1590895,0.0166,1,0.005,30
1609711,0.0185,3,0.0378,30
1632127,0.0202,2,0.0479,30
1640147,0.0166,2,0.0004,30
1645590,0.0165,1,0.004,30
1660134,0.0167,3,0.0016,30
1808065,0.0166,2,0.0049,30
4904,-0.0186,2,0.011,90
8670,-0.018,1,0.0035,90
12927,-0.0184,1,0.0084,90
18926,-0.008,5,0.0306,90
20520,-0.0291,4,0.0448,90
27904,-0.0192,2,0.0088,90
33185,-0.0183,4,0.0002,90
40704,-0.0174,1,0.0025,90
43196,-0.0173,3,0.0005,90
47111,-0.0157,1,0.0008,90
47217,-0.0235,5,0.0264,90
51143,-0.0194,2,0.0133,90
73309,-0.0173,1,0.0007,90
75362,-0.0179,1,0.0018,90
