window,sensitivity,y,n,G,G1,coef,se_hc3,p_hc3,se_cv1,p_cv1,se_cv3,p_cv3,ci_cv3_lo,ci_cv3_hi,mde80_cv3,treated_mean,control_mean,p_wcr,B_wcr,row_type,hc3_status
30,year FE (reported year),exec_departure_30_rd,338,81,12,0.0219,0.0237,0.3557,0.0181,0.23,0.0331,0.5092,-0.0439,0.0878,0.0939,0.0374,0.0433,0.2989,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
30,two-digit SIC FE,exec_departure_30_rd,338,81,12,0.0404,0.0249,0.1056,0.0262,0.1267,0.0468,0.3907,-0.0528,0.1336,0.1328,0.0374,0.0433,0.2337,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
30,breach_date anchor,exec_departure_30_bd,337,81,12,-0.0057,0.0339,0.8662,0.0348,0.8697,0.0437,0.8962,-0.0927,0.0812,0.1239,0.0561,0.0609,0.8799,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
30,excluding pre-announced departures,exec_departure_nopre_30_rd,338,81,12,0.0334,0.0192,0.0821,0.0176,0.0614,0.0258,0.199,-0.0179,0.0848,0.0732,0.0374,0.0346,0.2031,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
30,excluding the F2 baseline control,exec_departure_30_rd,338,81,12,0.0167,0.0232,0.4712,0.0197,0.3973,0.0296,0.5735,-0.0422,0.0757,0.084,0.0374,0.0433,0.4859,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
30,restatement-dated outcome (rs),rs_exec_departure_30_rd,338,81,12,0.0491,0.0295,0.0966,0.0401,0.2238,0.0601,0.4163,-0.0705,0.1687,0.1705,0.0654,0.0433,0.4979,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
30,"recall-corrected, audit point estimates (r_T=0.842, r_C=0.750)",y_corr,338,81,12,0.0177,0.0293,0.5473,0.0251,0.4832,0.0429,0.6817,-0.0678,0.1031,0.1217,0.0444,0.0577,0.5623,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
30,"recall-corrected, treated recall at CI low / control at CI high (r_T=0.604, r_C=0.927)",y_corr,338,81,12,0.0366,0.0323,0.2568,0.0263,0.1674,0.0413,0.3779,-0.0456,0.1189,0.1172,0.0619,0.0467,0.3329,9999,BOUNDING EXERCISE (recall CI endpoints; not an estimate),DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
30,"recall-corrected, treated recall at CI high / control at CI low (r_T=0.966, r_C=0.476)",y_corr,338,81,12,0.0009,0.0386,0.9804,0.035,0.9784,0.065,0.9884,-0.1284,0.1303,0.1843,0.0387,0.0909,0.9825,9999,BOUNDING EXERCISE (recall CI endpoints; not an estimate),DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
90,year FE (reported year),exec_departure_90_rd,338,81,12,-0.0002,0.0527,0.9968,0.0582,0.9971,0.1054,0.9984,-0.2099,0.2095,0.2989,0.1121,0.1602,0.9979,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
