breach_date,reported_date,accession,filing_date,days_from_reported,items,items_7_01_8_01_1_05,incident_sentences,first_incident_passages
2009-09-03,2009-09-03,0001193125-09-166211,2009-08-06,-28,"2.02,9.01",0,0,
2009-09-03,2009-09-03,0001193125-09-191670,2009-09-15,12,"1.01,9.01",0,0,
2009-10-05,2009-10-05,0001193125-09-191670,2009-09-15,-20,"1.01,9.01",0,0,
2009-10-08,2009-10-08,0001193125-09-191670,2009-09-15,-23,"1.01,9.01",0,0,
2009-10-08,2009-10-08,0001193125-09-224609,2009-11-05,28,"2.02,9.01",0,0,
2011-10-21,2011-10-21,0001193125-11-289636,2011-11-01,11,"2.02,9.01",0,0,
2012-05-08,2012-05-08,0001445305-12-001187,2012-04-26,-12,"2.02,9.01",0,0,
2012-05-08,2012-05-08,0001445305-12-001909,2012-05-31,23,"5.02,5.07,9.01",0,0,
2012-08-28,2012-08-28,0001283699-12-000010,2012-08-03,-25,5.02,0,0,
2013-11-01,2013-12-31,0001193125-14-002245,2014-01-06,6,"1.01,7.01,9.01",1,0,
2013-11-01,2013-12-31,0001283699-14-000004,2014-01-08,8,"7.01,9.01",1,0,
2013-11-26,2013-12-30,0001193125-14-002245,2014-01-06,7,"1.01,7.01,9.01",1,0,
2013-11-26,2013-12-30,0001283699-14-000004,2014-01-08,9,"7.01,9.01",1,0,
2014-01-02,2014-01-02,0001193125-14-002245,2014-01-06,4,"1.01,7.01,9.01",1,0,
2014-01-02,2014-01-02,0001283699-14-000004,2014-01-08,6,"7.01,9.01",1,0,
2015-09-14,2015-10-01,0001283699-15-000042,2015-09-18,-13,8.01,1,0,
2015-09-14,2015-10-01,0001283699-15-000045,2015-10-16,15,"3.01,9.01",0,0,
2015-09-14,2015-10-01,0001283699-15-000053,2015-10-27,26,"2.02,9.01",0,0,
2015-09-14,2015-10-01,0001283699-15-000059,2015-10-29,28,8.01,1,0,
2015-10-01,2015-10-01,0001283699-15-000042,2015-09-18,-13,8.01,1,0,
2015-10-01,2015-10-01,0001283699-15-000045,2015-10-16,15,"3.01,9.01",0,0,
2015-10-01,2015-10-01,0001283699-15-000053,2015-10-27,26,"2.02,9.01",0,0,
2015-10-01,2015-10-01,0001283699-15-000059,2015-10-29,28,8.01,1,0,
2015-11-04,2015-11-04,0001283699-15-000045,2015-10-16,-19,"3.01,9.01",0,0,
2015-11-04,2015-11-04,0001283699-15-000053,2015-10-27,-8,"2.02,9.01",0,0,
2015-11-04,2015-11-04,0001283699-15-000059,2015-10-29,-6,8.01,1,0,
2015-11-04,2015-11-04,0001193125-15-368375,2015-11-05,1,"1.01,2.03,8.01,9.01",1,0,
2015-11-04,2015-11-04,0001193125-15-375741,2015-11-12,8,"1.01,2.03,9.01",0,0,
2015-11-04,2015-11-04,0001193125-15-383718,2015-11-20,16,"1.01,9.01",0,0,
2017-04-01,2017-06-09,0001193125-17-202513,2017-06-13,4,5.07,0,0,
2017-08-24,2017-09-14,0001283699-17-000036,2017-09-19,5,"2.03,9.01",0,0,
2017-09-16,2017-10-02,0001283699-17-000036,2017-09-19,-13,"2.03,9.01",0,0,
2017-09-16,2017-10-02,0001283699-17-000042,2017-10-23,21,"2.02,7.01,9.01",1,0,
2018-08-20,2018-08-23,0001283699-18-000044,2018-08-01,-22,"2.02,9.01",0,0,
2019-11-26,2020-03-02,0001283699-20-000025,2020-02-06,-25,"2.02,9.01",0,0,
2019-11-26,2020-03-02,0001193125-20-030768,2020-02-11,-20,"8.01,9.01",1,0,
2019-11-26,2020-03-02,0001193125-20-041926,2020-02-19,-12,5.02,0,0,
2019-11-26,2020-03-02,0001193125-20-043713,2020-02-20,-11,"1.01,8.01,9.01",1,0,
2019-11-26,2020-03-02,0001193125-20-071678,2020-03-12,10,"5.02,7.01,9.01",1,0,
2019-11-26,2020-03-02,0001193125-20-075308,2020-03-17,15,"7.01,9.01",1,0,
2019-11-26,2020-03-02,0001193125-20-076470,2020-03-18,16,7.01,1,0,
2019-11-26,2020-03-02,0001193125-20-078392,2020-03-19,17,"8.01,9.01",1,0,
2019-11-26,2020-03-02,0001283699-20-000064,2020-03-25,23,"5.02,9.01",0,0,
2019-11-26,2020-03-02,0001140361-20-007620,2020-04-01,30,"7.01,8.01,9.01",1,0,
2019-11-26,2020-03-02,0001193125-20-093622,2020-04-01,30,"1.01,1.02,2.01,2.03,3.03,5.02,5.03,7.01,9.01",1,0,
2020-04-02,2020-04-02,0001193125-20-071678,2020-03-12,-21,"5.02,7.01,9.01",1,0,
2020-04-02,2020-04-02,0001193125-20-075308,2020-03-17,-16,"7.01,9.01",1,0,
2020-04-02,2020-04-02,0001193125-20-076470,2020-03-18,-15,7.01,1,0,
2020-04-02,2020-04-02,0001193125-20-078392,2020-03-19,-14,"8.01,9.01",1,0,
2020-04-02,2020-04-02,0001283699-20-000064,2020-03-25,-8,"5.02,9.01",0,0,
2020-04-02,2020-04-02,0001140361-20-007620,2020-04-01,-1,"7.01,8.01,9.01",1,0,
2020-04-02,2020-04-02,0001193125-20-093622,2020-04-01,-1,"1.01,1.02,2.01,2.03,3.03,5.02,5.03,7.01,9.01",1,0,
2020-04-02,2020-04-02,0001140361-20-008648,2020-04-13,11,"1.01,1.02,2.03,9.01",0,0,
2020-04-02,2020-04-02,0001193125-20-109354,2020-04-16,14,5.02,0,0,
2020-04-02,2020-04-02,0001283699-20-000084,2020-04-17,15,9.01,0,0,
2020-04-02,2020-04-02,0001193125-20-119230,2020-04-24,22,5.02,0,0,
2020-04-02,2020-04-02,0001193125-20-129811,2020-05-01,29,7.01,1,0,
2020-04-15,2020-04-15,0001193125-20-075308,2020-03-17,-29,"7.01,9.01",1,0,
2020-04-15,2020-04-15,0001193125-20-076470,2020-03-18,-28,7.01,1,0,
2020-04-15,2020-04-15,0001193125-20-078392,2020-03-19,-27,"8.01,9.01",1,0,
2020-04-15,2020-04-15,0001283699-20-000064,2020-03-25,-21,"5.02,9.01",0,0,
2020-04-15,2020-04-15,0001140361-20-007620,2020-04-01,-14,"7.01,8.01,9.01",1,0,
2020-04-15,2020-04-15,0001193125-20-093622,2020-04-01,-14,"1.01,1.02,2.01,2.03,3.03,5.02,5.03,7.01,9.01",1,0,
2020-04-15,2020-04-15,0001140361-20-008648,2020-04-13,-2,"1.01,1.02,2.03,9.01",0,0,
2020-04-15,2020-04-15,0001193125-20-109354,2020-04-16,1,5.02,0,0,
2020-04-15,2020-04-15,0001283699-20-000084,2020-04-17,2,9.01,0,0,
2020-04-15,2020-04-15,0001193125-20-119230,2020-04-24,9,5.02,0,0,
2020-04-15,2020-04-15,0001193125-20-129811,2020-05-01,16,7.01,1,0,
