breach_date,reported_date,org_name,n_source_records,prc_source_types,prc_source_first_record,n_8k_in_window,incident_8k_accession,days_8k_minus_reported,in_q2_scope,cik_vintage
2009-09-03,2009-09-03,"T-Mobile USA, Inc.",1,state AG,"The New Hampshire Attorney General's Office reported a data breach involving T-Mobile USA, Inc. on September 3, 2009. The breach potentially exposed the names, addresses, and Social Security numbers of 169 residents of N",2,,,0,MetroPCS
2009-10-05,2009-10-05,"T-Mobile USA, Inc.",1,other,"On October 5, 2009, the Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving T-Mobile USA, Inc. that affected 1 resident. The breach compromised electronic records, specifical",1,,,0,MetroPCS
2009-10-08,2009-10-08,T-Mobile,1,other,"The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving T-Mobile on October 8, 2009, affecting 490 residents. Compromised information includes electronic records containing S",2,,,0,MetroPCS
2011-10-21,2011-10-21,T-Mobile USA Inc.,1,other,"On October 21, 2011, the Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving T-Mobile USA Inc., affecting 1 resident. The breach involved the exposure of electronic records, ",1,,,0,MetroPCS
2012-05-08,2012-05-08,T-Mobile,1,other,"The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving T-Mobile on May 8, 2012, affecting 1 resident. The compromised information type includes Social Security Numbers (SSN)",2,,,0,MetroPCS
2012-08-28,2012-08-28,T-Mobile,1,other,"On August 28, 2012, the Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving T-Mobile, affecting 1 resident. The breach involved electronic records, specifically compromising ",1,,,0,MetroPCS
2013-11-01,2013-12-31,T-Mobile,1,state AG,"The Maine Office of the Attorney General reported a data breach involving T-Mobile on December 31, 2013. The breach was discovered in November 2013 and affected 15 residents, compromising their names, addresses, Social S",2,,,0,T-Mobile US
2013-11-26,2013-12-30,"T-Mobile USA, Inc.",1,state AG,"On December 30, 2013, the New Hampshire Department of Justice reported a data breach involving T-Mobile USA, Inc. that occurred on November 26, 2013, exposing personal information of approximately 14 New Hampshire reside",2,,,0,T-Mobile US
2014-01-02,2014-01-02,"T-Mobile USA, Inc.",1,other,"The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving T-Mobile USA, Inc. on January 2, 2014. The breach affected 233 residents and involved electronic records that included",2,,,1,T-Mobile US
2015-09-14,2015-10-01,"T-Mobile USA, Inc.",4,state AG,"The Maine Office of the Attorney General reported a data breach involving T-Mobile USA on October 1, 2015. The breach occurred on September 14, 2015, affecting 12,952 individuals and exposing names, Social Security Numbe",4,,,1,T-Mobile US
2015-10-01,2015-10-01,T-Mobile USA Inc.,1,other,"The Massachusetts Office of Consumer Affairs and Business Regulation reported on October 1, 2015, that T-Mobile USA Inc. experienced a data breach affecting 287,115 residents. The breach involved electronic records compr",4,,,1,T-Mobile US
2015-11-04,2015-11-04,T-Mobile USA Inc,1,other,"The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving T-Mobile USA Inc on November 4, 2015. The breach affected 3 residents and compromised electronic records, specifically",6,,,1,T-Mobile US
2017-04-01,2017-06-09,T-Mobile,2,state AG,"The New Hampshire Attorney General's Office reported on June 9, 2017, that T-Mobile experienced a data breach involving the misuse of personal credit card information by a former employee. One New Hampshire resident was ",1,,,1,T-Mobile US
2017-08-24,2017-09-14,"T-Mobile USA, Inc.",1,state AG,"The New Hampshire Office of the Attorney General reported a data breach involving T-Mobile on September 14, 2017. The breach occurred on or about August 24, 2017, when a T-Mobile employee misused a customer's payment car",1,,,1,T-Mobile US
2017-09-16,2017-10-02,"T-Mobile USA, Inc.",1,state AG,"The Maryland Office of the Attorney General reported that T-Mobile experienced a data breach where a former employee misused the personal information of one Maryland resident between September 16, 2017, and September 21,",2,,,1,T-Mobile US
