form,filing_date,accession,primary_doc,parsed,url,local,fetched_ok,raw_bytes,gz_bytes
DEFA14A,2013-02-07,0001283699-13-000009,form8-k020713.htm,False,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000009/form8-k020713.htm,,,,
DEFM14A,2013-02-26,0001193125-13-074683,d433418ddefm14a.htm,False,https://www.sec.gov/Archives/edgar/data/1283699/000119312513074683/d433418ddefm14a.htm,,,,
DEFA14A,2013-02-26,0001283699-13-000026,form8-k022613.htm,False,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000026/form8-k022613.htm,,,,
DEFC14A,2013-03-01,0001047469-13-002054,a2213329zdefc14a.htm,False,https://www.sec.gov/Archives/edgar/data/1283699/000104746913002054/a2213329zdefc14a.htm,,,,
10-K,2013-03-01,0001283699-13-000031,metropcs10k-2012.htm,True,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000031/metropcs10k-2012.htm,Data\edgar\tmobile_filings\10-K\0001283699-13-000031_metropcs10k-2012.htm.gz,True,5203176.0,374044.0
DEFA14A,2013-03-04,0001283699-13-000035,defa14a030113.htm,False,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000035/defa14a030113.htm,,,,
DEFA14A,2013-03-05,0001193125-13-090243,d498276ddefa14a.htm,False,https://www.sec.gov/Archives/edgar/data/1283699/000119312513090243/d498276ddefa14a.htm,,,,
DEFR14A,2013-03-05,0001193125-13-090556,d433418ddefr14a.htm,False,https://www.sec.gov/Archives/edgar/data/1283699/000119312513090556/d433418ddefr14a.htm,,,,
DEFA14A,2013-03-06,0001283699-13-000038,defa14a030513hsr.htm,False,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000038/defa14a030513hsr.htm,,,,
DEFA14A,2013-03-08,0001283699-13-000041,defa14a030813.htm,False,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000041/defa14a030813.htm,,,,
DEFR14A,2013-03-12,0001193125-13-102132,d433418ddefr14a.htm,False,https://www.sec.gov/Archives/edgar/data/1283699/000119312513102132/d433418ddefr14a.htm,,,,
DEFA14A,2013-03-12,0001283699-13-000044,defa14a031213.htm,False,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000044/defa14a031213.htm,,,,
DEFA14A,2013-03-12,0001283699-13-000047,defa14a031213fcc.htm,False,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000047/defa14a031213fcc.htm,,,,
DEFA14A,2013-03-18,0001283699-13-000052,defa14a031813.htm,False,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000052/defa14a031813.htm,,,,
DEFA14A,2013-03-19,0001283699-13-000056,defa14a031913.htm,False,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000056/defa14a031913.htm,,,,
DEFA14A,2013-03-21,0001283699-13-000058,defa14a032113.htm,False,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000058/defa14a032113.htm,,,,
DEFA14A,2013-03-25,0001283699-13-000060,defa14a032513.htm,False,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000060/defa14a032513.htm,,,,
