proxy_date,accession,method,name,age,director_since,independent,affiliation_as_stated,roster_parsed,bio_blocks_counted,verbatim_evidence
2013-05-17,0001193125-13-226248,bio + independence sentence,W. Michael Barnes W. Michael Barnes,70,,,,False,9,"In addition to candidates designated by Deutsche Telekom pursuant to its rights under our certificate of incorporation and the Stockholder’s Agreement, the Nominating and Corporate Governance Committee considers possible director candidates from a number of sources, including those recommended by stockholders, directors, or officers."
2013-05-17,0001193125-13-226248,bio + independence sentence,Srikant Datar Srikant Datar,59,,,,False,9,"In addition to candidates designated by Deutsche Telekom pursuant to its rights under our certificate of incorporation and the Stockholder’s Agreement, the Nominating and Corporate Governance Committee considers possible director candidates from a number of sources, including those recommended by stockholders, directors, or officers."
2013-05-17,0001193125-13-226248,bio + independence sentence,Lawrence H. Guffey Lawrence H. Guffey,45,,,,False,9,"In addition to candidates designated by Deutsche Telekom pursuant to its rights under our certificate of incorporation and the Stockholder’s Agreement, the Nominating and Corporate Governance Committee considers possible director candidates from a number of sources, including those recommended by stockholders, directors, or officers."
2013-05-17,0001193125-13-226248,bio + independence sentence,Thorsten Langheim Thorsten Langheim,47,,,,False,9,"In addition to candidates designated by Deutsche Telekom pursuant to its rights under our certificate of incorporation and the Stockholder’s Agreement, the Nominating and Corporate Governance Committee considers possible director candidates from a number of sources, including those recommended by stockholders, directors, or officers."
2013-05-17,0001193125-13-226248,bio + independence sentence,John J. Legere John J. Legere,54,,,,False,9,"In addition to candidates designated by Deutsche Telekom pursuant to its rights under our certificate of incorporation and the Stockholder’s Agreement, the Nominating and Corporate Governance Committee considers possible director candidates from a number of sources, including those recommended by stockholders, directors, or officers."
2013-05-17,0001193125-13-226248,bio + independence sentence,Obermann,50,,,,False,9,"In addition to candidates designated by Deutsche Telekom pursuant to its rights under our certificate of incorporation and the Stockholder’s Agreement, the Nominating and Corporate Governance Committee considers possible director candidates from a number of sources, including those recommended by stockholders, directors, or officers."
2013-05-17,0001193125-13-226248,bio + independence sentence,Jr .,52,,,,False,9,"In addition to candidates designated by Deutsche Telekom pursuant to its rights under our certificate of incorporation and the Stockholder’s Agreement, the Nominating and Corporate Governance Committee considers possible director candidates from a number of sources, including those recommended by stockholders, directors, or officers."
2013-05-17,0001193125-13-226248,bio + independence sentence,Teresa A. Taylor Teresa A. Taylor,49,,,,False,9,"In addition to candidates designated by Deutsche Telekom pursuant to its rights under our certificate of incorporation and the Stockholder’s Agreement, the Nominating and Corporate Governance Committee considers possible director candidates from a number of sources, including those recommended by stockholders, directors, or officers."
2013-05-17,0001193125-13-226248,bio + independence sentence,Kelvin R. Westbrook Kelvin R. Westbrook,57,,,,False,9,"In addition to candidates designated by Deutsche Telekom pursuant to its rights under our certificate of incorporation and the Stockholder’s Agreement, the Nominating and Corporate Governance Committee considers possible director candidates from a number of sources, including those recommended by stockholders, directors, or officers."
2014-04-24,0001193125-14-157312,bio + independence sentence,W. Michael Barnes W. Michael Barnes,71,,,,False,8,"Nomination Process In addition to candidates designated by Deutsche Telekom pursuant to its rights under our certificate of incorporation and the Stockholder’s Agreement, the Nominating and Corporate Governance Committee may consider possible director candidates from a number of sources, including those recommended by stockholders, directors, or officers. || So long as Deutsche Telekom’s stock ownership percentage is at least 10%, Deutsche Telekom has the right to designate as nominees for election to our Board a number of individuals in proportion to its stock ownership percentage, rounded to the nearest whole number."
2014-04-24,0001193125-14-157312,bio + independence sentence,ORS Thomas Dannenfeldt Thomas Dannenfeldt,47,,,,False,8,"Nomination Process In addition to candidates designated by Deutsche Telekom pursuant to its rights under our certificate of incorporation and the Stockholder’s Agreement, the Nominating and Corporate Governance Committee may consider possible director candidates from a number of sources, including those recommended by stockholders, directors, or officers. || So long as Deutsche Telekom’s stock ownership percentage is at least 10%, Deutsche Telekom has the right to designate as nominees for election to our Board a number of individuals in proportion to its stock ownership percentage, rounded to the nearest whole number."
2014-04-24,0001193125-14-157312,bio + independence sentence,Srikant M. Datar Srikant M. Datar,60,,,,False,8,"Nomination Process In addition to candidates designated by Deutsche Telekom pursuant to its rights under our certificate of incorporation and the Stockholder’s Agreement, the Nominating and Corporate Governance Committee may consider possible director candidates from a number of sources, including those recommended by stockholders, directors, or officers. || So long as Deutsche Telekom’s stock ownership percentage is at least 10%, Deutsche Telekom has the right to designate as nominees for election to our Board a number of individuals in proportion to its stock ownership percentage, rounded to the nearest whole number."
