breach_date,reported_date,accession,filing_date,days_from_breach,days_from_reported,items,on_validation_sheet,exec_departure,ceo_departure,director_departure,action,persons,flags
2009-02-01,2009-06-12,0000101830-09-000005,2009-03-03,30.0,-101.0,"5.02,9.01",0.0,1,0,0,departure,Christopher J. Gregoire (PAO: principal accounting officer of the Company effective March 3),
2009-02-01,2009-06-12,0000101830-09-000007,2009-03-27,54.0,-77.0,5.02,0.0,0,0,0,other,,
2012-08-01,2009-03-30,0000101830-12-000091,2012-08-08,7.0,1227.0,5.02,0.0,0,0,0,other,,
2012-08-01,2009-03-30,0000101830-12-000093,2012-10-04,64.0,1284.0,5.02,0.0,0,0,0,other,,
2012-08-01,2009-03-30,0000101830-12-000110,2012-11-20,111.0,1331.0,"5.02,8.01,9.01",1.0,[masked],[masked],[masked],[masked],[masked],[masked]
2015-08-17,2020-04-09,0000101830-15-000030,2015-10-15,59.0,-1638.0,5.02,1.0,[masked],[masked],[masked],[masked],[masked],[masked]
2015-08-17,2020-04-09,0000101830-15-000043,2015-11-12,87.0,-1610.0,"5.02,9.01",0.0,0,0,0,compensation only,,
2017-05-01,2017-09-20,none,,,,,,,,,,,
2017-05-07,2017-09-20,none,,,,,,,,,,,
2018-03-02,2018-03-30,0000101830-18-000021,2018-05-02,61.0,33.0,5.02,0.0,0,0,0,appointment,,
2018-03-02,2018-03-30,0000101830-18-000027,2018-05-30,89.0,61.0,5.02,0.0,0,0,1,departure,Stephen R. Kappes (director: Board as the “Security Director),
2018-03-02,2018-03-30,0000101830-18-000029,2018-07-02,122.0,94.0,"5.02,9.01",1.0,[masked],[masked],[masked],[masked],[masked],[masked]
2019-03-14,2019-05-09,0000101830-19-000017,2019-05-22,69.0,13.0,5.02,0.0,0,0,0,appointment,,
2019-05-09,2019-05-09,0000101830-19-000017,2019-05-22,13.0,13.0,5.02,0.0,0,0,0,appointment,,
2019-06-02,2019-07-11,none,,,,,,,,,,,
2019-06-08,2019-06-08,none,,,,,,,,,,,
2019-06-22,2019-07-11,none,,,,,,,,,,,
2019-08-13,2020-03-31,none,,,,,,,,,,,
