breach_date,reported_date,in_analysis_sample,departure,is_ceo,first_disclosure,days_from_notification,first_accession,filer_vintage,pre_announced,flags,controlled_holder_affiliate,excerpt
2009-09-03,2009-09-03,0,none,,,,,,,,,
2009-10-05,2009-10-05,0,none,,,,,,,,,
2009-10-08,2009-10-08,0,none,,,,,,,,,
2011-10-21,2011-10-21,0,none,,,,,,,,,
2012-05-08,2012-05-08,0,none,,,,,,,,,
2012-08-28,2012-08-28,0,none,,,,,,,,,
2013-11-01,2013-12-31,0,none,,,,,,,,,
2013-11-26,2013-12-30,0,none,,,,,,,,,
2014-01-02,2014-01-02,1,none,,,,,,,,,
2015-09-14,2015-10-01,1,Gary A. King,0.0,2016-02-19,141.0,0001193125-16-470124,T-Mobile US,N,"termination,severance_release","Gary A. King: not a Deutsche Telekom/SoftBank designee in the parsed rosters (2021, 2022 nominee tables; rosters list directors only)","(b) and (e) Changes to Executive Management Team and Modifications to Compensatory Arrangements On February 16, 2016, T-Mobile US, Inc. (the “Company”) and Gary A. King, Executive Vice President and Chief Information Officer, agreed that Mr. King will terminate his employment with the Company effective on March 18, 2016."
2015-10-01,2015-10-01,1,Gary A. King,0.0,2016-02-19,141.0,0001193125-16-470124,T-Mobile US,N,"termination,severance_release","Gary A. King: not a Deutsche Telekom/SoftBank designee in the parsed rosters (2021, 2022 nominee tables; rosters list directors only)","(b) and (e) Changes to Executive Management Team and Modifications to Compensatory Arrangements On February 16, 2016, T-Mobile US, Inc. (the “Company”) and Gary A. King, Executive Vice President and Chief Information Officer, agreed that Mr. King will terminate his employment with the Company effective on March 18, 2016."
2015-11-04,2015-11-04,1,Gary A. King,0.0,2016-02-19,107.0,0001193125-16-470124,T-Mobile US,N,"termination,severance_release","Gary A. King: not a Deutsche Telekom/SoftBank designee in the parsed rosters (2021, 2022 nominee tables; rosters list directors only)","(b) and (e) Changes to Executive Management Team and Modifications to Compensatory Arrangements On February 16, 2016, T-Mobile US, Inc. (the “Company”) and Gary A. King, Executive Vice President and Chief Information Officer, agreed that Mr. King will terminate his employment with the Company effective on March 18, 2016."
2017-04-01,2017-06-09,1,none,,,,,,,,,
2017-08-24,2017-09-14,1,none,,,,,,,,,
2017-09-16,2017-10-02,1,none,,,,,,,,,
2018-08-20,2018-08-23,1,none,,,,,,,,,
2019-11-26,2020-03-02,1,none,,,,,,,,,
2020-04-02,2020-04-02,1,none,,,,,,,,,
2020-04-15,2020-04-15,1,none,,,,,,,,,
2020-08-27,2020-12-08,1,none,,,,,,,,,
2020-08-31,2020-10-09,1,none,,,,,,,,,
2021-01-18,2021-02-09,1,none,,,,,,,,,
2021-02-12,2021-03-16,1,none,,,,,,,,,
2021-02-20,2021-03-31,1,David A. Miller,0.0,2021-09-16,169.0,0001193125-21-275230,T-Mobile US,N,retirement,"David A. Miller: not a Deutsche Telekom/SoftBank designee in the parsed rosters (2021, 2022 nominee tables; rosters list directors only)","On September 10, 2021, David A. Miller, Executive Vice President, General Counsel and Secretary of T-Mobile US, Inc. (the “Company”) notified the Company that he will retire from the Company effective April 1, 2022."
2021-03-01,2021-08-16,1,David A. Miller,0.0,2021-09-16,31.0,0001193125-21-275230,T-Mobile US,N,retirement,"David A. Miller: not a Deutsche Telekom/SoftBank designee in the parsed rosters (2021, 2022 nominee tables; rosters list directors only)","On September 10, 2021, David A. Miller, Executive Vice President, General Counsel and Secretary of T-Mobile US, Inc. (the “Company”) notified the Company that he will retire from the Company effective April 1, 2022."
2021-03-31,2021-03-31,1,David A. Miller,0.0,2021-09-16,169.0,0001193125-21-275230,T-Mobile US,N,retirement,"David A. Miller: not a Deutsche Telekom/SoftBank designee in the parsed rosters (2021, 2022 nominee tables; rosters list directors only)","On September 10, 2021, David A. Miller, Executive Vice President, General Counsel and Secretary of T-Mobile US, Inc. (the “Company”) notified the Company that he will retire from the Company effective April 1, 2022."
