part,group,n,same_day,same_day_share,lag_median,lag_q25,lag_q75,lag_max,bd180_before_rd,bd180_share,variable,mean,sd,median,min,max,std_diff,share_zero
C2,treated,109,42.0,0.3853,22.0,0.0,94.0,1917.0,13.0,0.1193,,,,,,,,
C2,control,296,86.0,0.2905,27.0,0.0,102.5,1647.0,43.0,0.1453,,,,,,,,
C3,treated,109,,,,,,,,,prior_breaches_1yr,1.66055,2.09594,1.0,0.0,9.0,-0.460269,
C3,control,296,,,,,,,,,prior_breaches_1yr,4.155405,7.373533,1.0,0.0,27.0,-0.460269,
C3,treated,109,,,,,,,,,health_breach,0.018349,0.134829,0.0,0.0,1.0,-0.291011,
C3,control,296,,,,,,,,,health_breach,0.081081,0.273422,0.0,0.0,1.0,-0.291011,
C3,treated,109,,,,,,,,,firm_size_log,11.576185,1.212418,11.8812,7.7421,13.2206,1.445717,
C3,control,296,,,,,,,,,firm_size_log,9.694533,1.384931,9.35815,6.442,12.8096,1.445717,
C3,treated,109,,,,,,,,,leverage,0.72515,0.162974,0.6848,0.1513,1.5242,0.485386,
C3,control,296,,,,,,,,,leverage,0.627834,0.232017,0.6253,0.1044,2.5183,0.485386,
C3,treated,109,,,,,,,,,roa,0.022199,0.047124,0.0237,-0.1102,0.3006,-0.55956,
C3,control,296,,,,,,,,,roa,0.071674,0.115823,0.0735,-0.2847,0.2478,-0.55956,
C3,treated,109,,,,,,,,,baseline_exec_rate_py_rd,1.022842,0.891882,0.6636,0.0,3.9818,0.090012,
C3,control,296,,,,,,,,,baseline_exec_rate_py_rd,0.934914,1.055008,0.6636,0.0,6.6364,0.090012,
C3,treated,109,,,,,,,,,prior12m_mktadj_ret_rd,-0.022217,0.315161,-0.072895,-0.71369,1.216865,-0.164154,
C3,control,296,,,,,,,,,prior12m_mktadj_ret_rd,0.02464,0.252252,0.053368,-0.804576,1.150194,-0.164154,
C3-baseline,treated,109,,,,,,,,,baseline_exec_rate_py_rd,1.022842,,0.6636,,,,0.2385
C3-baseline,control,296,,,,,,,,,baseline_exec_rate_py_rd,0.934914,,0.6636,,,,0.3547
