org_canon,breach_date,reported_date,fcc_form499,permno,placebo_exec_departure_rd,exec_departure_30_rd,exec_departure_90_rd,exec_departure_180_rd,ceo_departure_180_rd,director_departure_180_rd,exec_departure_nopre_180_rd,days_to_first_exec_departure_rd,baseline_exec_departures_rd,any_502_180_rd
"T-Mobile USA, Inc.",2014-01-02,2014-01-02 00:00:00,1,91937.0,0,0,0,0,0,1,0,,2,1
"T-Mobile USA, Inc.",2015-09-14,2015-10-01 00:00:00,1,91937.0,0,0,0,1,0,0,1,141.0,1,1
T-Mobile USA Inc.,2015-10-01,2015-10-01 00:00:00,1,91937.0,0,0,0,1,0,0,1,141.0,1,1
T-Mobile USA Inc,2015-11-04,2015-11-04 00:00:00,1,91937.0,0,0,0,1,0,0,1,107.0,1,1
T-Mobile,2017-04-01,2017-06-09 00:00:00,1,91937.0,0,0,0,0,0,0,0,,1,0
"T-Mobile USA, Inc.",2017-08-24,2017-09-14 00:00:00,1,91937.0,0,0,0,0,0,0,0,,1,1
"T-Mobile USA, Inc.",2017-09-16,2017-10-02 00:00:00,1,91937.0,0,0,0,0,0,0,0,,1,1
T-Mobile USA Inc.,2018-08-20,2018-08-23 00:00:00,1,91937.0,1,0,0,0,0,1,0,,0,1
T-Mobile USA,2019-11-26,2020-03-02 00:00:00,1,91937.0,1,0,0,0,0,1,0,,2,1
Sprint,2020-04-02,2020-04-02 00:00:00,1,91937.0,1,0,0,0,0,1,0,,2,1
Sprint,2020-04-15,2020-04-15 00:00:00,1,91937.0,1,0,0,0,0,1,0,,2,1
"T-Mobile US, Inc.",2020-08-27,2020-12-08 00:00:00,1,91937.0,0,0,0,0,0,1,0,,3,1
T-Mobile,2020-08-31,2020-10-09 00:00:00,1,91937.0,0,0,0,0,0,1,0,,3,1
T-Mobile,2021-01-18,2021-02-09 00:00:00,1,91937.0,0,0,0,0,0,1,0,,3,1
"T-Mobile USA, Inc.",2021-02-12,2021-03-16 00:00:00,1,91937.0,0,0,0,0,0,1,0,,3,1
T-Mobile,2021-02-20,2021-03-31 00:00:00,1,91937.0,0,0,0,1,0,1,1,169.0,3,1
"T-Mobile USA, Inc.",2021-03-01,2021-08-16 00:00:00,1,91937.0,0,0,1,1,0,0,1,31.0,3,1
T-Mobile,2021-03-31,2021-03-31 00:00:00,1,91937.0,0,0,0,1,0,1,1,169.0,3,1
"T-Mobile USA, Inc.",2021-08-13,2021-08-16 00:00:00,1,91937.0,0,0,1,1,0,0,1,31.0,3,1
T-Mobile USA,2021-08-17,2021-08-19 00:00:00,1,91937.0,0,1,1,1,0,0,1,28.0,3,1
T-Mobile USA,2021-08-26,2021-08-26 00:00:00,1,91937.0,0,1,1,1,0,0,1,21.0,3,1
T-Mobile,2022-03-08,2022-03-08 00:00:00,1,91937.0,1,0,0,0,0,1,0,,0,1
T-Mobile USA,2022-11-25,2023-01-19 00:00:00,1,91937.0,0,1,1,1,0,1,1,25.0,1,1
"T-Mobile USA, Inc.",2023-02-01,2023-04-28 00:00:00,1,91937.0,1,0,0,1,0,0,1,133.0,1,1
T-Mobile,2023-02-24,2023-04-28 00:00:00,1,91937.0,1,0,0,1,0,0,1,133.0,1,1
T-Mobile USA,2023-04-28,2023-04-28 00:00:00,1,91937.0,1,0,0,1,0,0,1,133.0,1,1
