window,term,is_treatment,coef,se_cv3,t,p_cv3,ci_lo,ci_hi,df,G,n,family
30,(intercept),False,0.05847,0.12415,0.471,0.6385,-0.18738,0.304321,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
30,fcc_form499,True,0.003951,0.033433,0.1182,0.9061,-0.062255,0.070157,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
30,prior_breaches_1yr,False,0.002215,0.005577,0.3971,0.692,-0.008829,0.013259,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
30,health_breach,False,-0.038081,0.019363,-1.9666,0.0516,-0.076426,0.000264,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
30,firm_size_log,False,-0.0037,0.011215,-0.33,0.742,-0.025909,0.018508,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
30,leverage,False,0.019918,0.053642,0.3713,0.7111,-0.086307,0.126143,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
30,roa,False,0.058981,0.162893,0.3621,0.7179,-0.263592,0.381555,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
30,baseline_exec_rate_py_rd,False,-0.001605,0.0113,-0.1421,0.8873,-0.023983,0.020772,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
30,prior12m_mktadj_ret_rd,False,-0.001028,0.05156,-0.0199,0.9841,-0.103131,0.101075,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
90,(intercept),False,0.037724,0.211078,0.1787,0.8585,-0.380269,0.455716,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
90,fcc_form499,True,-0.040982,0.079095,-0.5181,0.6053,-0.197611,0.115647,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
90,prior_breaches_1yr,False,0.002519,0.005707,0.4413,0.6598,-0.008784,0.013821,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
90,health_breach,False,-0.02444,0.074107,-0.3298,0.7421,-0.171193,0.122312,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
90,firm_size_log,False,0.000121,0.020877,0.0058,0.9954,-0.041222,0.041463,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
90,leverage,False,0.074635,0.142839,0.5225,0.6023,-0.208224,0.357494,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
90,roa,False,0.288334,0.509647,0.5658,0.5726,-0.720906,1.297574,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
90,baseline_exec_rate_py_rd,False,0.035324,0.041345,0.8544,0.3946,-0.04655,0.117197,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
90,prior12m_mktadj_ret_rd,False,-0.10776,0.091759,-1.1744,0.2426,-0.289467,0.073947,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
180,(intercept),False,-0.009342,0.295446,-0.0316,0.9748,-0.594404,0.575721,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
180,fcc_form499,True,0.023253,0.099634,0.2334,0.8159,-0.17405,0.220556,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
180,prior_breaches_1yr,False,0.0072,0.01164,0.6185,0.5374,-0.015851,0.030251,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
180,health_breach,False,-0.037235,0.098612,-0.3776,0.7064,-0.232515,0.158044,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
180,firm_size_log,False,0.025452,0.026664,0.9546,0.3418,-0.027349,0.078253,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
180,leverage,False,-0.019215,0.195396,-0.0983,0.9218,-0.406153,0.367723,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
180,roa,False,0.035124,0.410465,0.0856,0.932,-0.777708,0.847956,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
180,baseline_exec_rate_py_rd,False,-0.006027,0.041362,-0.1457,0.8844,-0.087934,0.07588,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
180,prior12m_mktadj_ret_rd,False,-0.101377,0.106907,-0.9483,0.3449,-0.313081,0.110328,118,119,405,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
