round,source_file,variant,sample,field,n,agreement,kappa,ref_Y,clf_Y,both_Y,clf_only_Y,ref_only_Y,precision,recall,ref_positives,clf_positives,tp,fp,fn,precision_ci95,recall_ci95,scoring,excluded_unclear,panel,stratum
round 1 (80 = 50 calibration + 30 random),outputs/essay3_q2/d3_agreement.csv,A,all 80,exec_departure,80,0.9125,0.8034,29.0,24.0,23.0,1.0,6.0,0.9583,0.7931,,,,,,,,,,agreement,
round 1 (80 = 50 calibration + 30 random),outputs/essay3_q2/d3_agreement.csv,A,all 80,ceo_departure,80,0.9625,0.7073,6.0,5.0,4.0,1.0,2.0,0.8,0.6667,,,,,,,,,,agreement,
round 1 (80 = 50 calibration + 30 random),outputs/essay3_q2/d3_agreement.csv,A,all 80,director_only_departure,80,0.9625,0.8582,14.0,11.0,11.0,0.0,3.0,1.0,0.7857,,,,,,,,,,agreement,
round 1 (80 = 50 calibration + 30 random),outputs/essay3_q2/d3_agreement.csv,A,all 80,pre_announced,80,0.8875,0.698,20.0,12.0,12.0,0.0,8.0,1.0,0.6,,,,,,,,,,agreement,
round 1 (80 = 50 calibration + 30 random),outputs/essay3_q2/d3_agreement.csv,A,excl. T-Mobile calibration 7,exec_departure,73,0.9452,0.876,25.0,23.0,22.0,1.0,3.0,0.9565,0.88,,,,,,,,,,agreement,
round 1 (80 = 50 calibration + 30 random),outputs/essay3_q2/d3_agreement.csv,A,excl. T-Mobile calibration 7,ceo_departure,73,0.9726,0.7853,5.0,5.0,4.0,1.0,1.0,0.8,0.8,,,,,,,,,,agreement,
round 1 (80 = 50 calibration + 30 random),outputs/essay3_q2/d3_agreement.csv,A,excl. T-Mobile calibration 7,director_only_departure,73,0.9589,0.8192,11.0,8.0,8.0,0.0,3.0,1.0,0.7273,,,,,,,,,,agreement,
round 1 (80 = 50 calibration + 30 random),outputs/essay3_q2/d3_agreement.csv,A,excl. T-Mobile calibration 7,pre_announced,73,0.8904,0.7191,19.0,12.0,12.0,0.0,7.0,1.0,0.6316,,,,,,,,,,agreement,
round 1 (80 = 50 calibration + 30 random),outputs/essay3_q2/d3_agreement.csv,B,all 80,exec_departure,80,0.8875,0.7289,23.0,24.0,19.0,5.0,4.0,0.7917,0.8261,,,,,,,,,,agreement,
round 1 (80 = 50 calibration + 30 random),outputs/essay3_q2/d3_agreement.csv,B,all 80,ceo_departure,80,0.95,0.4754,3.0,5.0,2.0,3.0,1.0,0.4,0.6667,,,,,,,,,,agreement,
round 1 (80 = 50 calibration + 30 random),outputs/essay3_q2/d3_agreement.csv,B,all 80,director_only_departure,80,0.95,0.8042,13.0,11.0,10.0,1.0,3.0,0.9091,0.7692,,,,,,,,,,agreement,
round 1 (80 = 50 calibration + 30 random),outputs/essay3_q2/d3_agreement.csv,B,all 80,pre_announced,80,0.8375,0.5192,17.0,12.0,9.0,3.0,8.0,0.75,0.5294,,,,,,,,,,agreement,
round 1 (80 = 50 calibration + 30 random),outputs/essay3_q2/d3_agreement.csv,B,excl. T-Mobile calibration 7,exec_departure,73,0.8904,0.74,21.0,23.0,18.0,5.0,3.0,0.7826,0.8571,,,,,,,,,,agreement,
