y,n,G,G1,coef,se_hc3,p_hc3,se_cv1,p_cv1,se_cv3,p_cv3,ci_cv3_lo,ci_cv3_hi,mde80_cv3,treated_mean,control_mean,p_wcr,B_wcr,ci_wcr_lo,ci_wcr_hi,G_star_x,cluster_size_cv,window,panel,mde80,G_star_y,control_rate,mde_over_control,mde_exceeds_control_rate,ame,se_cluster,p,ci_lo,ci_hi,converged,iterations,max_fitted_p,separation_flag,warnings_verbatim,term,is_treatment,t,df,family
exec_departure_30_rd,405.0,119.0,13.0,0.004,0.0254,0.8764,0.0247,0.873,0.0334,0.9061,-0.0623,0.0702,0.0944,0.0367,0.0439,0.8889,99999.0,-0.0553,0.0578,24.5,2.328,30,ladder (treatment),0.0944,24.5,0.0439,2.1503,True,,,,,,,,,,,,,,,
exec_departure_90_rd,405.0,119.0,13.0,-0.041,0.0433,0.3445,0.0499,0.4128,0.0791,0.6053,-0.1976,0.1156,0.2234,0.1009,0.1453,0.5136,99999.0,-0.1596,0.0805,24.5,2.328,90,ladder (treatment),0.2234,24.5,0.1453,1.5375,True,,,,,,,,,,,,,,,
exec_departure_180_rd,405.0,119.0,13.0,0.0233,0.061,0.7034,0.0782,0.7668,0.0996,0.8159,-0.174,0.2206,0.2815,0.3028,0.2466,0.7901,99999.0,-0.1576,0.2011,24.5,2.328,180,ladder (treatment),0.2815,24.5,0.2466,1.1415,True,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,30,logit AME,,,,,,0.007,0.0311,0.8225,-0.0539,0.0678,False,35.0,0.12416,False,ConvergenceWarning: Maximum Likelihood optimization failed to converge. Check mle_retvals,,,,,
,,,,,,,,,,,,,,,,,,,,,,90,logit AME,,,,,,-0.042,0.0468,0.3691,-0.1337,0.0497,True,6.0,0.407248,False,,,,,,
,,,,,,,,,,,,,,,,,,,,,,180,logit AME,,,,,,0.0197,0.0775,0.7993,-0.1321,0.1715,True,5.0,0.398072,False,,,,,,
,405.0,119.0,,0.05847,,,,,0.12415,0.6385,,,,,,,,,,,,30,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.18738,0.304321,,,,,,(intercept),False,0.471,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,0.003951,,,,,0.033433,0.9061,,,,,,,,,,,,30,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.062255,0.070157,,,,,,fcc_form499,True,0.1182,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,0.002215,,,,,0.005577,0.692,,,,,,,,,,,,30,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.008829,0.013259,,,,,,prior_breaches_1yr,False,0.3971,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,-0.038081,,,,,0.019363,0.0516,,,,,,,,,,,,30,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.076426,0.000264,,,,,,health_breach,False,-1.9666,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,-0.0037,,,,,0.011215,0.742,,,,,,,,,,,,30,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.025909,0.018508,,,,,,firm_size_log,False,-0.33,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,0.019918,,,,,0.053642,0.7111,,,,,,,,,,,,30,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.086307,0.126143,,,,,,leverage,False,0.3713,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,0.058981,,,,,0.162893,0.7179,,,,,,,,,,,,30,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.263592,0.381555,,,,,,roa,False,0.3621,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,-0.001605,,,,,0.0113,0.8873,,,,,,,,,,,,30,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.023983,0.020772,,,,,,baseline_exec_rate_py_rd,False,-0.1421,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,-0.001028,,,,,0.05156,0.9841,,,,,,,,,,,,30,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.103131,0.101075,,,,,,prior12m_mktadj_ret_rd,False,-0.0199,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,0.037724,,,,,0.211078,0.8585,,,,,,,,,,,,90,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.380269,0.455716,,,,,,(intercept),False,0.1787,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,-0.040982,,,,,0.079095,0.6053,,,,,,,,,,,,90,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.197611,0.115647,,,,,,fcc_form499,True,-0.5181,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,0.002519,,,,,0.005707,0.6598,,,,,,,,,,,,90,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.008784,0.013821,,,,,,prior_breaches_1yr,False,0.4413,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,-0.02444,,,,,0.074107,0.7421,,,,,,,,,,,,90,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.171193,0.122312,,,,,,health_breach,False,-0.3298,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,0.000121,,,,,0.020877,0.9954,,,,,,,,,,,,90,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.041222,0.041463,,,,,,firm_size_log,False,0.0058,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,0.074635,,,,,0.142839,0.6023,,,,,,,,,,,,90,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.208224,0.357494,,,,,,leverage,False,0.5225,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,0.288334,,,,,0.509647,0.5726,,,,,,,,,,,,90,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.720906,1.297574,,,,,,roa,False,0.5658,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
