org_name,breach_date,reported_date,treated,placebo_exec,exec_30,exec_90,exec_180,ceo_180,director_180,exec_nopre_180,days_to_first,outcome_persons,outcome_accessions,outcome_filing_dates,outcome_is_ceo,outcome_restated_only,outcome_vacancy_only,placebo_persons,placebo_accessions,health_flag
"T-Mobile USA, Inc.",2014-01-02,2014-01-02,1,0,0,0,0,0,1,0,,,,,,,,,,OMITTED BY INSTRUCTION (known false positive: benefit-continuation language)
"T-Mobile USA, Inc.",2015-09-14,2015-10-01,1,0,0,0,1,0,0,1,141.0,Gary A. King,0001193125-16-470124,2016-02-19,0,0,0,,,OMITTED BY INSTRUCTION (known false positive: benefit-continuation language)
T-Mobile USA Inc.,2015-10-01,2015-10-01,1,0,0,0,1,0,0,1,141.0,Gary A. King,0001193125-16-470124,2016-02-19,0,0,0,,,OMITTED BY INSTRUCTION (known false positive: benefit-continuation language)
T-Mobile USA Inc,2015-11-04,2015-11-04,1,0,0,0,1,0,0,1,107.0,Gary A. King,0001193125-16-470124,2016-02-19,0,0,0,,,OMITTED BY INSTRUCTION (known false positive: benefit-continuation language)
T-Mobile,2017-04-01,2017-06-09,1,0,0,0,0,0,0,0,,,,,,,,,,OMITTED BY INSTRUCTION (known false positive: benefit-continuation language)
"T-Mobile USA, Inc.",2017-08-24,2017-09-14,1,0,0,0,0,0,0,0,,,,,,,,,,OMITTED BY INSTRUCTION (known false positive: benefit-continuation language)
"T-Mobile USA, Inc.",2017-09-16,2017-10-02,1,0,0,0,0,0,0,0,,,,,,,,,,OMITTED BY INSTRUCTION (known false positive: benefit-continuation language)
T-Mobile USA Inc.,2018-08-20,2018-08-23,1,1,0,0,0,0,1,0,,,,,,,,John J. Legere; Michael Sievert,0001104659-18-028086; 0001104659-18-028086,OMITTED BY INSTRUCTION (known false positive: benefit-continuation language)
T-Mobile USA,2019-11-26,2020-03-02,1,1,0,0,0,0,1,0,,,,,,,,David Carey; Braxton Carter; John J. Legere | John Legere,0001193125-20-041926; 0001193125-19-294093; 0001193125-19-294093,OMITTED BY INSTRUCTION (known false positive: benefit-continuation language)
Sprint,2020-04-02,2020-04-02,1,1,0,0,0,0,1,0,,,,,,,,David Carey; Braxton Carter; John J. Legere | John Legere,0001193125-20-041926; 0001193125-19-294093; 0001193125-19-294093,OMITTED BY INSTRUCTION (known false positive: benefit-continuation language)
Sprint,2020-04-15,2020-04-15,1,1,0,0,0,0,1,0,,,,,,,,David Carey; Braxton Carter; John J. Legere | John Legere,0001193125-20-041926; 0001193125-19-294093; 0001193125-19-294093,OMITTED BY INSTRUCTION (known false positive: benefit-continuation language)
"T-Mobile US, Inc.",2020-08-27,2020-12-08,1,0,0,0,0,0,1,0,,,,,,,,,,OMITTED BY INSTRUCTION (known false positive: benefit-continuation language)
T-Mobile,2020-08-31,2020-10-09,1,0,0,0,0,0,1,0,,,,,,,,,,OMITTED BY INSTRUCTION (known false positive: benefit-continuation language)
