final_cik,breach_date,org_name,treated,outcome_cik,last_filing,status,t0_rd,censored_30_rd,days_uncovered_30_rd,censored_90_rd,days_uncovered_90_rd,censored_180_rd,days_uncovered_180_rd,never_covered_rd,t0_bd,censored_30_bd,days_uncovered_30_bd,censored_90_bd,days_uncovered_90_bd,censored_180_bd,days_uncovered_180_bd,never_covered_bd
4904,2018-12-09,American Electric Power,0,4904,2026-08-04,ok,2019-04-26,0,0,0,0,0,0,0,2018-12-09,0,0,0,0,0,0,0
4904,2019-02-18,American Electric Power,0,4904,2026-08-04,ok,2019-04-26,0,0,0,0,0,0,0,2019-02-18,0,0,0,0,0,0,0
8670,2013-04-29,"Automatic Data Processing, Inc.",0,8670,2026-07-31,ok,2013-06-04,0,0,0,0,0,0,0,2013-04-29,0,0,0,0,0,0,0
12927,2016-11-21,The Boeing Company,0,12927,2026-07-28,ok,2017-02-09,0,0,0,0,0,0,0,2016-11-21,0,0,0,0,0,0,0
14693,2020-07-28,Brown-Forman Corporation,0,14693,2026-07-24,ok,2021-04-01,0,0,0,0,0,0,0,2020-07-28,0,0,0,0,0,0,0
18926,2013-12-27,CenturyLink,1,18926,2026-06-12,ok,2014-05-28,0,0,0,0,0,0,0,2013-12-27,0,0,0,0,0,0,0
18926,2017-01-30,CenturyLink,1,18926,2026-06-12,ok,2017-02-20,0,0,0,0,0,0,0,2017-01-30,0,0,0,0,0,0,0
18926,2017-02-28,CenturyLink,1,18926,2026-06-12,ok,2017-02-28,0,0,0,0,0,0,0,2017-02-28,0,0,0,0,0,0,0
18926,2020-08-20,CenturyLink Communications,1,18926,2026-06-12,ok,2020-09-25,0,0,0,0,0,0,0,2020-08-20,0,0,0,0,0,0,0
18926,2022-03-15,Centurylink Communications,1,18926,2026-06-12,ok,2022-04-21,0,0,0,0,0,0,0,2022-03-15,0,0,0,0,0,0,0
20520,2022-02-24,Frontier Communications,1,20520,2026-02-12,ok,2022-05-04,0,0,0,0,0,0,0,2022-02-24,0,0,0,0,0,0,0
20520,2023-12-18,"Frontier Communications Parent, Inc.",1,20520,2026-02-12,ok,2024-06-12,0,0,0,0,0,0,0,2023-12-18,0,0,0,0,0,0,0
20520,2024-04-13,"Frontier Communications Parent, Inc.",1,20520,2026-02-12,ok,2024-06-06,0,0,0,0,0,0,0,2024-04-13,0,0,0,0,0,0,0
20520,2024-06-10,"Frontier Communications Parent, Inc.",1,20520,2026-02-12,ok,2024-06-10,0,0,0,0,0,0,0,2024-06-10,0,0,0,0,0,0,0
27904,2017-09-01,"Delta Air Lines, Inc.",0,27904,2026-08-04,ok,2018-04-13,0,0,0,0,0,0,0,2017-09-01,0,0,0,0,0,0,0
27904,2017-09-26,"Delta Air Lines, Inc.",0,27904,2026-08-04,ok,2018-04-13,0,0,0,0,0,0,0,2017-09-26,0,0,0,0,0,0,0
27996,2019-08-13,Deluxe Corporation,0,27996,2026-07-31,ok,2019-09-03,0,0,0,0,0,0,0,2019-08-13,0,0,0,0,0,0,0
33185,2014-01-31,"Equifax, Inc.",0,33185,2026-07-29,ok,2014-03-05,0,0,0,0,0,0,0,2014-01-31,0,0,0,0,0,0,0
33185,2016-01-01,TALX Corporation,0,33185,2026-07-29,ok,2017-05-15,0,0,0,0,0,0,0,2016-01-01,0,0,0,0,0,0,0
33185,2016-04-18,TALX Corporation,0,33185,2026-07-29,ok,2017-07-21,0,0,0,0,0,0,0,2016-04-18,0,0,0,0,0,0,0
33185,2017-03-09,TALX Corporation,0,33185,2026-07-29,ok,2017-05-19,0,0,0,0,0,0,0,2017-03-09,0,0,0,0,0,0,0
40704,2022-11-18,"General Mills, Inc.",0,40704,2026-08-03,ok,2023-01-12,0,0,0,0,0,0,0,2022-11-18,0,0,0,0,0,0,0
43196,2016-02-16,"Gray Television, Inc.",0,43196,2026-07-21,ok,2016-08-31,0,0,0,0,0,0,0,2016-02-16,0,0,0,0,0,0,0
43196,2016-08-08,Gray Television,0,43196,2026-07-21,ok,2016-08-31,0,0,0,0,0,0,0,2016-08-08,0,0,0,0,0,0,0
43196,2021-09-01,"Gray Television, Inc.",0,43196,2026-07-21,ok,2022-02-21,0,0,0,0,0,0,0,2021-09-01,0,0,0,0,0,0,0
47111,2023-09-03,The Hershey Company,0,47111,2026-08-03,ok,2023-12-07,0,0,0,0,0,0,0,2023-09-03,0,0,0,0,0,0,0
47217,2007-07-01,Hewlett-Packard Company,0,47217,2026-08-03,ok,2007-08-16,0,0,0,0,0,0,0,2007-07-01,0,0,0,0,0,0,0
47217,2007-08-16,Hewlett Packard Company,0,47217,2026-08-03,ok,2007-08-16,0,0,0,0,0,0,0,2007-08-16,0,0,0,0,0,0,0
47217,2008-12-04,Hewlett-Packard Company,0,47217,2026-08-03,ok,2008-12-04,0,0,0,0,0,0,0,2008-12-04,0,0,0,0,0,0,0
47217,2008-12-08,Hewlett-Packard Company,0,47217,2026-08-03,ok,2008-12-08,0,0,0,0,0,0,0,2008-12-08,0,0,0,0,0,0,0
47217,2010-02-09,Hewlett-Packard Company,0,47217,2026-08-03,ok,2010-02-09,0,0,0,0,0,0,0,2010-02-09,0,0,0,0,0,0,0
51143,2007-02-23,IBM,0,51143,2026-07-29,ok,2007-04-26,0,0,0,0,0,0,0,2007-02-23,0,0,0,0,0,0,0
51143,2011-04-14,IBM,0,51143,2026-07-29,ok,2011-04-14,0,0,0,0,0,0,0,2011-04-14,0,0,0,0,0,0,0
