final_cik,breach_date,treated,outcome_cik,accession,filing_date,win_lo,win_hi
4904,2018-12-09,0,4904,0000004904-19-000042,2019-09-18,2016-12-09,2019-10-23
4904,2018-12-09,0,4904,0000004904-17-000017,2017-02-27,2016-12-09,2019-10-23
4904,2019-02-18,0,4904,0000004904-19-000042,2019-09-18,2017-02-18,2019-10-23
4904,2019-02-18,0,4904,0000004904-17-000017,2017-02-27,2017-02-18,2019-10-23
8670,2013-04-29,0,8670,0000950142-13-001766,2013-08-07,2011-04-30,2013-12-01
8670,2013-04-29,0,8670,0000950142-12-002159,2012-11-13,2011-04-30,2013-12-01
8670,2013-04-29,0,8670,0001171843-12-003874,2012-11-01,2011-04-30,2013-12-01
8670,2013-04-29,0,8670,0000950142-11-002022,2011-12-15,2011-04-30,2013-12-01
8670,2013-04-29,0,8670,0000950142-11-002020,2011-12-14,2011-04-30,2013-12-01
8670,2013-04-29,0,8670,0000950142-11-001898,2011-11-15,2011-04-30,2013-12-01
8670,2013-04-29,0,8670,0000008670-11-000024,2011-11-09,2011-04-30,2013-12-01
8670,2013-04-29,0,8670,0000950142-11-001656,2011-09-23,2011-04-30,2013-12-01
8670,2013-04-29,0,8670,0000950142-11-001591,2011-09-12,2011-04-30,2013-12-01
8670,2013-04-29,0,8670,0000008670-11-000020,2011-08-10,2011-04-30,2013-12-01
8670,2013-04-29,0,8670,0000950142-11-001005,2011-05-19,2011-04-30,2013-12-01
12927,2016-11-21,0,12927,0000012927-17-000040,2017-06-28,2014-11-22,2017-08-08
12927,2016-11-21,0,12927,0000012927-16-000165,2016-11-21,2014-11-22,2017-08-08
12927,2016-11-21,0,12927,0000012927-16-000147,2016-10-14,2014-11-22,2017-08-08
12927,2016-11-21,0,12927,0000012927-16-000105,2016-02-23,2014-11-22,2017-08-08
12927,2016-11-21,0,12927,0000012927-15-000083,2015-12-15,2014-11-22,2017-08-08
12927,2016-11-21,0,12927,0000012927-15-000061,2015-08-13,2014-11-22,2017-08-08
12927,2016-11-21,0,12927,0000012927-15-000035,2015-06-23,2014-11-22,2017-08-08
12927,2016-11-21,0,12927,0000012927-15-000004,2015-02-10,2014-11-22,2017-08-08
12927,2016-11-21,0,12927,0000012927-14-000070,2014-12-19,2014-11-22,2017-08-08
14693,2020-07-28,0,14693,0000014693-21-000051,2021-05-10,2018-07-29,2021-09-28
14693,2020-07-28,0,14693,0000014693-21-000042,2021-05-03,2018-07-29,2021-09-28
14693,2020-07-28,0,14693,0000014693-21-000038,2021-04-15,2018-07-29,2021-09-28
14693,2020-07-28,0,14693,0000014693-21-000010,2021-01-27,2018-07-29,2021-09-28
14693,2020-07-28,0,14693,0000014693-20-000062,2020-06-10,2018-07-29,2021-09-28
14693,2020-07-28,0,14693,0000014693-19-000171,2019-09-12,2018-07-29,2021-09-28
14693,2020-07-28,0,14693,0000014693-19-000016,2019-03-29,2018-07-29,2021-09-28
14693,2020-07-28,0,14693,0000014693-18-000173,2018-11-16,2018-07-29,2021-09-28
18926,2013-12-27,1,18926,0001193125-14-221590,2014-06-02,2011-12-28,2014-11-24
18926,2013-12-27,1,18926,0001193125-13-124519,2013-03-25,2011-12-28,2014-11-24
18926,2013-12-27,1,18926,0001193125-13-012088,2013-01-14,2011-12-28,2014-11-24
18926,2013-12-27,1,18926,0001193125-12-134562,2012-03-27,2011-12-28,2014-11-24
18926,2017-01-30,1,18926,0001193125-17-191355,2017-06-01,2015-01-31,2017-08-19
18926,2017-01-30,1,18926,0001193125-17-053977,2017-02-23,2015-01-31,2017-08-19
18926,2017-01-30,1,18926,0001193125-16-436965,2016-01-25,2015-01-31,2017-08-19
18926,2017-01-30,1,18926,0001193125-15-378521,2015-11-16,2015-01-31,2017-08-19
18926,2017-01-30,1,18926,0001193125-15-210785,2015-06-02,2015-01-31,2017-08-19
18926,2017-01-30,1,18926,0001193125-15-197966,2015-05-22,2015-01-31,2017-08-19
18926,2017-02-28,1,18926,0001193125-17-191355,2017-06-01,2015-03-01,2017-08-27
18926,2017-02-28,1,18926,0001193125-17-053977,2017-02-23,2015-03-01,2017-08-27
18926,2017-02-28,1,18926,0001193125-16-436965,2016-01-25,2015-03-01,2017-08-27
18926,2017-02-28,1,18926,0001193125-15-378521,2015-11-16,2015-03-01,2017-08-27
18926,2017-02-28,1,18926,0001193125-15-210785,2015-06-02,2015-03-01,2017-08-27
18926,2017-02-28,1,18926,0001193125-15-197966,2015-05-22,2015-03-01,2017-08-27
18926,2020-08-20,1,18926,0001193125-21-056971,2021-02-25,2018-08-21,2021-03-24
18926,2020-08-20,1,18926,0001193125-21-011905,2021-01-20,2018-08-21,2021-03-24
18926,2020-08-20,1,18926,0001193125-20-150103,2020-05-22,2018-08-21,2021-03-24
18926,2020-08-20,1,18926,0001193125-19-325996,2019-12-30,2018-08-21,2021-03-24
18926,2020-08-20,1,18926,0001193125-18-319718,2018-11-07,2018-08-21,2021-03-24
18926,2020-08-20,1,18926,0001193125-18-319714,2018-11-07,2018-08-21,2021-03-24
18926,2020-08-20,1,18926,0001193125-18-281219,2018-09-24,2018-08-21,2021-03-24
18926,2022-03-15,1,18926,0001193125-22-243230,2022-09-13,2020-03-15,2022-10-18
18926,2022-03-15,1,18926,0001193125-22-085992,2022-03-28,2020-03-15,2022-10-18
18926,2022-03-15,1,18926,0001193125-21-056971,2021-02-25,2020-03-15,2022-10-18
18926,2022-03-15,1,18926,0001193125-21-011905,2021-01-20,2020-03-15,2022-10-18
18926,2022-03-15,1,18926,0001193125-20-150103,2020-05-22,2020-03-15,2022-10-18
20520,2022-02-24,1,20520,0001140361-22-023997,2022-06-24,2020-02-25,2022-10-31
20520,2022-02-24,1,20520,0000020520-21-000008,2021-07-30,2020-02-25,2022-10-31
20520,2022-02-24,1,20520,0001193125-21-205666,2021-07-01,2020-02-25,2022-10-31
20520,2022-02-24,1,20520,0001193125-21-179930,2021-06-02,2020-02-25,2022-10-31
20520,2022-02-24,1,20520,0001140361-21-015200,2021-04-30,2020-02-25,2022-10-31
20520,2022-02-24,1,20520,0001140361-21-005386,2021-02-18,2020-02-25,2022-10-31
20520,2022-02-24,1,20520,0001140361-20-028400,2020-12-15,2020-02-25,2022-10-31
20520,2022-02-24,1,20520,0001140361-20-020249,2020-09-11,2020-02-25,2022-10-31
20520,2022-02-24,1,20520,0001193125-20-050127,2020-02-26,2020-02-25,2022-10-31
