final_cik,breach_date,org_name,treated,outcome_cik,win_lo,win_hi
4904,2018-12-09,American Electric Power,0,4904,2016-12-09,2019-10-23
4904,2019-02-18,American Electric Power,0,4904,2017-02-18,2019-10-23
8670,2013-04-29,"Automatic Data Processing, Inc.",0,8670,2011-04-30,2013-12-01
12927,2016-11-21,The Boeing Company,0,12927,2014-11-22,2017-08-08
14693,2020-07-28,Brown-Forman Corporation,0,14693,2018-07-29,2021-09-28
18926,2013-12-27,CenturyLink,1,18926,2011-12-28,2014-11-24
18926,2017-01-30,CenturyLink,1,18926,2015-01-31,2017-08-19
18926,2017-02-28,CenturyLink,1,18926,2015-03-01,2017-08-27
18926,2020-08-20,CenturyLink Communications,1,18926,2018-08-21,2021-03-24
18926,2022-03-15,Centurylink Communications,1,18926,2020-03-15,2022-10-18
20520,2022-02-24,Frontier Communications,1,20520,2020-02-25,2022-10-31
20520,2023-12-18,"Frontier Communications Parent, Inc.",1,20520,2021-12-18,2024-12-09
20520,2024-04-13,"Frontier Communications Parent, Inc.",1,20520,2022-04-14,2024-12-03
20520,2024-06-10,"Frontier Communications Parent, Inc.",1,20520,2022-06-11,2024-12-07
27904,2017-09-01,"Delta Air Lines, Inc.",0,27904,2015-09-02,2018-10-10
27904,2017-09-26,"Delta Air Lines, Inc.",0,27904,2015-09-27,2018-10-10
27996,2019-08-13,Deluxe Corporation,0,27996,2017-08-13,2020-03-01
33185,2014-01-31,"Equifax, Inc.",0,33185,2012-02-01,2014-09-01
33185,2016-01-01,TALX Corporation,0,33185,2014-01-01,2017-11-11
33185,2016-04-18,TALX Corporation,0,33185,2014-04-19,2018-01-17
33185,2017-03-09,TALX Corporation,0,33185,2015-03-10,2017-11-15
40704,2022-11-18,"General Mills, Inc.",0,40704,2020-11-18,2023-07-11
43196,2016-02-16,"Gray Television, Inc.",0,43196,2014-02-16,2017-02-27
43196,2016-08-08,Gray Television,0,43196,2014-08-09,2017-02-27
