cik,form,filing_date,items,accession,primary_doc,local_file,on_disk
4904,8-K,2017-02-27,5.02,0000004904-17-000017,a8kdepartureofcertainexecoff.htm,Data\edgar\item5_02_text\4904\0000004904-17-000017_a8kdepartureofcertainexecoff.htm,1
4904,8-K,2019-09-18,5.02,0000004904-19-000042,a09-20198xkitem502dire.htm,Data\edgar\item5_02_text\4904\0000004904-19-000042_a09-20198xkitem502dire.htm,1
8670,8-K,2011-05-19,"5.02,9.01",0000950142-11-001005,eh1100392_form8k.htm,Data\edgar\item5_02_text\8670\0000950142-11-001005_eh1100392_form8k.htm,1
8670,8-K,2011-08-10,5.02,0000008670-11-000020,form8k.htm,Data\edgar\item5_02_text\8670\0000008670-11-000020_form8k.htm,1
8670,8-K,2011-09-12,5.02,0000950142-11-001591,eh1100673_form8k.htm,Data\edgar\item5_02_text\8670\0000950142-11-001591_eh1100673_form8k.htm,1
8670,8-K,2011-09-23,5.02,0000950142-11-001656,eh1100701_form8k.htm,Data\edgar\item5_02_text\8670\0000950142-11-001656_eh1100701_form8k.htm,1
8670,8-K,2011-11-09,"5.02,9.01",0000008670-11-000024,form8k.htm,Data\edgar\item5_02_text\8670\0000008670-11-000024_form8k.htm,1
8670,8-K,2011-11-15,"5.02,9.01",0000950142-11-001898,eh1100824_8k.htm,Data\edgar\item5_02_text\8670\0000950142-11-001898_eh1100824_8k.htm,1
8670,8-K,2011-12-14,"5.02,9.01",0000950142-11-002020,eh1100888_8k.htm,Data\edgar\item5_02_text\8670\0000950142-11-002020_eh1100888_8k.htm,1
8670,8-K,2011-12-15,5.02,0000950142-11-002022,eh1100889_8k.htm,Data\edgar\item5_02_text\8670\0000950142-11-002022_eh1100889_8k.htm,1
8670,8-K,2012-11-01,"5.02,9.01",0001171843-12-003874,document.htm,Data\edgar\item5_02_text\8670\0001171843-12-003874_document.htm,1
8670,8-K,2012-11-13,"5.02,9.01",0000950142-12-002159,eh1201199_8k.htm,Data\edgar\item5_02_text\8670\0000950142-12-002159_eh1201199_8k.htm,1
8670,8-K,2013-08-07,5.02,0000950142-13-001766,eh1301002_8k.htm,Data\edgar\item5_02_text\8670\0000950142-13-001766_eh1301002_8k.htm,1
12927,8-K,2014-12-19,"5.02,9.01",0000012927-14-000070,a201412dec198kdocument.htm,Data\edgar\item5_02_text\12927\0000012927-14-000070_a201412dec198kdocument.htm,1
12927,8-K,2015-02-10,"5.02,9.01",0000012927-15-000004,a201502feb58kdocument.htm,Data\edgar\item5_02_text\12927\0000012927-15-000004_a201502feb58kdocument.htm,1
12927,8-K,2015-06-23,"5.02,5.03,9.01",0000012927-15-000035,a201506jun228-kdocument.htm,Data\edgar\item5_02_text\12927\0000012927-15-000035_a201506jun228-kdocument.htm,1
12927,8-K,2015-08-13,"5.02,5.03,9.01",0000012927-15-000061,a201508aug118-kdocument.htm,Data\edgar\item5_02_text\12927\0000012927-15-000061_a201508aug118-kdocument.htm,1
12927,8-K,2015-12-15,"5.02,5.03,8.01,9.01",0000012927-15-000083,a201512dec148-kdocument.htm,Data\edgar\item5_02_text\12927\0000012927-15-000083_a201512dec148-kdocument.htm,1
12927,8-K,2016-02-23,"5.02,5.03,9.01",0000012927-16-000105,a201602feb188-k.htm,Data\edgar\item5_02_text\12927\0000012927-16-000105_a201602feb188-k.htm,1
12927,8-K,2016-10-14,"5.02,5.03,9.01",0000012927-16-000147,a201610octxx8-kdocument.htm,Data\edgar\item5_02_text\12927\0000012927-16-000147_a201610octxx8-kdocument.htm,1
12927,8-K,2016-11-21,"5.02,9.01",0000012927-16-000165,a201611nov218-k.htm,Data\edgar\item5_02_text\12927\0000012927-16-000165_a201611nov218-k.htm,1
12927,8-K,2017-06-28,"5.02,9.01",0000012927-17-000040,a201706jun258-kdocument.htm,Data\edgar\item5_02_text\12927\0000012927-17-000040_a201706jun258-kdocument.htm,1
14693,8-K,2018-11-16,"5.02,9.01",0000014693-18-000173,a8-kx20181115xnewdirectorw.htm,Data\edgar\item5_02_text\14693\0000014693-18-000173_a8-kx20181115xnewdirectorw.htm,1
14693,8-K,2019-03-29,5.02,0000014693-19-000016,draft8-kmarch2019.htm,Data\edgar\item5_02_text\14693\0000014693-19-000016_draft8-kmarch2019.htm,1
14693,8-K,2019-09-12,5.02,0000014693-19-000171,a8-kx20190912xofficerd.htm,Data\edgar\item5_02_text\14693\0000014693-19-000171_a8-kx20190912xofficerd.htm,1
14693,8-K,2020-06-10,5.02,0000014693-20-000062,a8-kx20200610xhinrichs.htm,Data\edgar\item5_02_text\14693\0000014693-20-000062_a8-kx20200610xhinrichs.htm,1
14693,8-K,2021-01-27,"5.02,7.01,9.01",0000014693-21-000010,bfb-20210122.htm,Data\edgar\item5_02_text\14693\0000014693-21-000010_bfb-20210122.htm,1
14693,8-K,2021-04-15,"5.02,7.01,9.01",0000014693-21-000038,bfb-20210415.htm,Data\edgar\item5_02_text\14693\0000014693-21-000038_bfb-20210415.htm,1
14693,8-K/A,2021-05-03,5.02,0000014693-21-000042,bfb-20210503.htm,Data\edgar\item5_02_text\14693\0000014693-21-000042_bfb-20210503.htm,1
14693,8-K,2021-05-10,"5.02,9.01",0000014693-21-000051,bfb-20210504.htm,Data\edgar\item5_02_text\14693\0000014693-21-000051_bfb-20210504.htm,1
18926,8-K,2012-03-27,5.02,0001193125-12-134562,d321644d8k.htm,Data\edgar\item5_02_text\18926\0001193125-12-134562_d321644d8k.htm,1
18926,8-K,2013-01-14,5.02,0001193125-13-012088,d468068d8k.htm,Data\edgar\item5_02_text\18926\0001193125-13-012088_d468068d8k.htm,1
18926,8-K,2013-03-25,"5.02,9.01",0001193125-13-124519,d509961d8k.htm,Data\edgar\item5_02_text\18926\0001193125-13-124519_d509961d8k.htm,1
18926,8-K,2014-06-02,"5.02,5.03,5.07,9.01",0001193125-14-221590,d734946d8k.htm,Data\edgar\item5_02_text\18926\0001193125-14-221590_d734946d8k.htm,1
18926,8-K,2015-05-22,"5.02,5.07,9.01",0001193125-15-197966,d930238d8k.htm,Data\edgar\item5_02_text\18926\0001193125-15-197966_d930238d8k.htm,1
18926,8-K,2015-06-02,"5.02,9.01",0001193125-15-210785,d935325d8k.htm,Data\edgar\item5_02_text\18926\0001193125-15-210785_d935325d8k.htm,1
18926,8-K,2015-11-16,"5.02,9.01",0001193125-15-378521,d52983d8k.htm,Data\edgar\item5_02_text\18926\0001193125-15-378521_d52983d8k.htm,1
18926,8-K,2016-01-25,"5.02,9.01",0001193125-16-436965,d130401d8k.htm,Data\edgar\item5_02_text\18926\0001193125-16-436965_d130401d8k.htm,1
18926,8-K,2017-02-23,"5.02,9.01",0001193125-17-053977,d354377d8k.htm,Data\edgar\item5_02_text\18926\0001193125-17-053977_d354377d8k.htm,1
18926,8-K,2017-06-01,"5.02,8.01,9.01",0001193125-17-191355,d370866d8k.htm,Data\edgar\item5_02_text\18926\0001193125-17-191355_d370866d8k.htm,1
18926,8-K,2018-09-24,"5.02,9.01",0001193125-18-281219,d629720d8k.htm,Data\edgar\item5_02_text\18926\0001193125-18-281219_d629720d8k.htm,1
18926,8-K,2018-11-07,5.02,0001193125-18-319718,d647295d8k.htm,Data\edgar\item5_02_text\18926\0001193125-18-319718_d647295d8k.htm,1
18926,8-K,2018-11-07,"5.02,9.01",0001193125-18-319714,d617864d8k.htm,Data\edgar\item5_02_text\18926\0001193125-18-319714_d617864d8k.htm,1
18926,8-K,2019-12-30,"5.02,9.01",0001193125-19-325996,d859081d8k.htm,Data\edgar\item5_02_text\18926\0001193125-19-325996_d859081d8k.htm,1
18926,8-K,2020-05-22,"5.02,5.07,9.01",0001193125-20-150103,d935861d8k.htm,Data\edgar\item5_02_text\18926\0001193125-20-150103_d935861d8k.htm,1
18926,8-K,2021-01-20,"5.02,9.01",0001193125-21-011905,d53156d8k.htm,Data\edgar\item5_02_text\18926\0001193125-21-011905_d53156d8k.htm,1
18926,8-K,2021-02-25,"5.02,9.01",0001193125-21-056971,d97460d8k.htm,Data\edgar\item5_02_text\18926\0001193125-21-056971_d97460d8k.htm,1
18926,8-K,2022-03-28,"5.02,9.01",0001193125-22-085992,d280485d8k.htm,Data\edgar\item5_02_text\18926\0001193125-22-085992_d280485d8k.htm,1
18926,8-K,2022-09-13,"5.02,9.01",0001193125-22-243230,d396237d8k.htm,Data\edgar\item5_02_text\18926\0001193125-22-243230_d396237d8k.htm,1
20520,8-K,2020-02-26,5.02,0001193125-20-050127,d896833d8k.htm,Data\edgar\item5_02_text\20520\0001193125-20-050127_d896833d8k.htm,1
20520,8-K,2020-09-11,5.02,0001140361-20-020249,brhc10015042_8k.htm,Data\edgar\item5_02_text\20520\0001140361-20-020249_brhc10015042_8k.htm,1
20520,8-K,2020-12-15,"5.02,9.01",0001140361-20-028400,brhc10017962_8k.htm,Data\edgar\item5_02_text\20520\0001140361-20-028400_brhc10017962_8k.htm,1
20520,8-K,2021-02-18,"5.02,7.01,9.01",0001140361-21-005386,brhc10020563_8k.htm,Data\edgar\item5_02_text\20520\0001140361-21-005386_brhc10020563_8k.htm,1
20520,8-K12G3,2021-04-30,"1.01,1.02,2.03,3.02,3.03,5.01,5.02,5.03,9.01",0001140361-21-015200,brhc10023786_8k12g3.htm,Data\edgar\item5_02_text\20520\0001140361-21-015200_brhc10023786_8k12g3.htm,1
20520,8-K,2021-06-02,"5.02,9.01",0001193125-21-179930,d187333d8k.htm,Data\edgar\item5_02_text\20520\0001193125-21-179930_d187333d8k.htm,1
20520,8-K,2021-07-01,"5.02,9.01",0001193125-21-205666,d362936d8k.htm,Data\edgar\item5_02_text\20520\0001193125-21-205666_d362936d8k.htm,1
20520,8-K,2021-07-30,"5.02,8.01,9.01",0000020520-21-000008,fybr-20210430x8k.htm,Data\edgar\item5_02_text\20520\0000020520-21-000008_fybr-20210430x8k.htm,1
20520,8-K,2022-06-24,5.02,0001140361-22-023997,brhc10039037_8k.htm,Data\edgar\item5_02_text\20520\0001140361-22-023997_brhc10039037_8k.htm,1
20520,8-K,2024-02-05,"5.02,7.01,9.01",0000950157-24-000104,form8-k.htm,Data\edgar\item5_02_text\20520\0000950157-24-000104_form8-k.htm,1
20520,8-K,2024-05-20,"5.02,5.07,9.01",0001140361-24-026861,ef20029460_8k.htm,Data\edgar\item5_02_text\20520\0001140361-24-026861_ef20029460_8k.htm,1
27904,8-K,2016-02-05,"5.02,9.01",0001019687-16-005064,delta_8k.htm,Data\edgar\item5_02_text\27904\0001019687-16-005064_delta_8k.htm,1
27904,8-K,2016-06-10,"5.02,5.07",0001019687-16-006642,delta_8k.htm,Data\edgar\item5_02_text\27904\0001019687-16-006642_delta_8k.htm,1
27904,8-K,2016-10-11,"5.02,9.01",0001683168-16-000288,delta_8k.htm,Data\edgar\item5_02_text\27904\0001683168-16-000288_delta_8k.htm,1
27904,8-K,2017-01-26,"5.02,9.01",0001683168-17-000167,delta_8k.htm,Data\edgar\item5_02_text\27904\0001683168-17-000167_delta_8k.htm,1
27904,8-K,2017-04-11,5.02,0001683168-17-000876,delta_8k.htm,Data\edgar\item5_02_text\27904\0001683168-17-000876_delta_8k.htm,1
27904,8-K,2017-10-23,"5.02,9.01",0001683168-17-002723,delta_8k.htm,Data\edgar\item5_02_text\27904\0001683168-17-002723_delta_8k.htm,1
27904,8-K,2018-04-20,"5.02,9.01",0001683168-18-001046,delta_8k.htm,Data\edgar\item5_02_text\27904\0001683168-18-001046_delta_8k.htm,1
27996,8-K,2018-04-26,"5.02,9.01",0001140361-18-019659,s002231x1_8k.htm,Data\edgar\item5_02_text\27996\0001140361-18-019659_s002231x1_8k.htm,1
27996,8-K,2018-11-06,"5.02,9.01",0001140361-18-042450,s002521x1_8k.htm,Data\edgar\item5_02_text\27996\0001140361-18-042450_s002521x1_8k.htm,1
27996,8-K,2019-01-25,5.02,0000027996-19-000012,a201901258-k.htm,Data\edgar\item5_02_text\27996\0000027996-19-000012_a201901258-k.htm,1
