sample,anchor,window,N,any_502_treated,exec_departure_treated,ceo_departure_treated,director_departure_treated,v3_any502_treated,any_502_control,exec_departure_control,ceo_departure_control,director_departure_control,v3_any502_control,any502_not_exec_events,any502_events,bd_any502_vs_v3_mismatch
scope 341,rd,30,412,0.2477,0.0367,0.0,0.0734,0.2385,0.1386,0.0429,0.0033,0.0198,0.1386,52,69,
scope 341,rd,90,412,0.5321,0.1101,0.0367,0.1651,0.5505,0.4257,0.1452,0.0264,0.0825,0.3828,131,187,
scope 341,rd,180,412,0.7615,0.3119,0.0734,0.1927,0.7615,0.67,0.2508,0.0792,0.2013,0.6403,176,286,
scope 341,bd,30,412,0.2385,0.055,0.0,0.0459,0.2385,0.1485,0.0561,0.0132,0.0231,0.1386,48,71,3.0
scope 341,bd,90,412,0.5505,0.1284,0.0183,0.1835,0.5505,0.4059,0.1386,0.0231,0.0957,0.3828,127,183,7.0
scope 341,bd,180,412,0.7615,0.2294,0.0275,0.2294,0.7615,0.6865,0.2376,0.0594,0.1914,0.6403,194,291,14.0
Q1 Essay 3 sample 340,rd,30,411,0.25,0.037,0.0,0.0741,0.2315,0.1386,0.0429,0.0033,0.0198,0.1386,52,69,
Q1 Essay 3 sample 340,rd,90,411,0.537,0.1111,0.037,0.1667,0.5463,0.4257,0.1452,0.0264,0.0825,0.3828,131,187,
Q1 Essay 3 sample 340,rd,180,411,0.7593,0.3148,0.0741,0.1944,0.7593,0.67,0.2508,0.0792,0.2013,0.6403,175,285,
Q1 Essay 3 sample 340,bd,30,411,0.2315,0.0556,0.0,0.0463,0.2315,0.1485,0.0561,0.0132,0.0231,0.1386,47,70,3.0
Q1 Essay 3 sample 340,bd,90,411,0.5463,0.1204,0.0185,0.1852,0.5463,0.4059,0.1386,0.0231,0.0957,0.3828,127,182,7.0
Q1 Essay 3 sample 340,bd,180,411,0.7593,0.2222,0.0278,0.2315,0.7593,0.6865,0.2376,0.0594,0.1914,0.6403,194,290,14.0
