deleted_parent_cik,coef_without,cluster_size,partial_leverage_share,window
4904,0.0025,2,0.0074,30
8670,0.0028,1,0.0024,30
12927,0.0027,1,0.0061,30
14693,0.0033,1,0.0,30
18926,0.0052,5,0.0324,30
20520,0.0058,4,0.0417,30
27904,0.0025,2,0.0058,30
27996,0.0032,1,0.0002,30
33185,0.0032,4,0.0003,30
40704,0.0029,1,0.0017,30
43196,0.0031,3,0.0002,30
47111,0.0031,1,0.0005,30
47217,0.0017,5,0.0191,30
51143,0.0024,2,0.0091,30
51434,0.0031,1,0.0,30
62709,0.003,1,0.0007,30
68505,0.0028,2,0.0057,30
73309,0.003,1,0.0004,30
73756,0.0031,1,0.0,30
75362,0.0029,1,0.0011,30
76334,0.0031,1,0.0001,30
77476,0.0027,1,0.0052,30
78003,0.0029,1,0.0029,30
91419,0.0031,1,0.0,30
91440,0.0031,1,0.0021,30
92380,0.0028,2,0.0019,30
96021,0.0028,1,0.0023,30
101830,-0.0035,12,0.0591,30
277135,0.003,2,0.0001,30
315293,0.0025,3,0.0066,30
318154,0.0024,2,0.0084,30
319687,0.0027,1,0.0051,30
320193,0.0081,7,0.0308,30
354190,0.0028,2,0.0011,30
354950,0.0029,1,0.0018,30
708818,0.0034,1,0.0026,30
718877,0.003,2,0.0002,30
723254,0.0031,1,0.0,30
728535,0.0031,2,0.0,30
731766,0.0028,1,0.0064,30
732712,0.0052,11,0.0314,30
732717,0.0098,26,0.0709,30
764180,0.0028,1,0.0037,30
771497,0.0031,1,0.0,30
773840,0.0025,3,0.0073,30
789019,0.0015,5,0.0264,30
789570,0.0026,2,0.006,30
790070,0.0029,1,0.0014,30
796343,0.003,3,0.0003,30
798354,0.0025,3,0.0074,30
815097,0.003,2,0.0049,30
823768,0.0031,1,0.0001,30
831259,0.0029,1,0.0019,30
858877,0.0027,2,0.0048,30
860731,0.0033,1,0.0011,30
872589,0.0033,1,0.0013,30
877890,0.003,3,0.001,30
892553,0.0034,1,0.0015,30
896878,0.0008,78,0.0053,30
908937,-0.0023,15,0.0186,30
920522,0.0031,1,0.0,30
920760,0.003,1,0.0007,30
943452,0.003,1,0.0005,30
1000228,0.0031,1,0.001,30
1001082,0.0041,2,0.0166,30
1001250,0.0025,3,0.0033,30
1002517,0.0031,1,0.0009,30
1041061,0.0025,1,0.004,30
1048911,0.003,1,0.0007,30
1051470,0.0027,2,0.0028,30
1058290,0.0031,1,0.0,30
1060391,0.0023,5,0.0058,30
1067837,0.0031,1,0.0,30
1091667,0.0069,8,0.0375,30
1105705,0.0009,8,0.0232,30
1108524,-0.0004,1,0.0007,30
1113169,0.0034,2,0.0019,30
1123360,0.0004,2,0.0008,30
1124610,0.0029,2,0.0006,30
1133421,0.0029,1,0.0016,30
1136893,0.0188,12,0.0551,30
1137789,0.0067,3,0.001,30
1140859,0.0026,3,0.0081,30
1166691,0.0049,12,0.0486,30
1180262,0.0028,1,0.001,30
1283699,-0.018,26,0.1118,30
1326160,0.0022,3,0.0163,30
1326801,0.0029,3,0.0012,30
1336920,0.0031,1,0.0002,30
1341439,0.0029,1,0.0019,30
1373715,0.003,1,0.0006,30
1387467,0.0033,1,0.0013,30
1397911,0.003,1,0.0002,30
1400891,0.0031,1,0.0,30
1428439,0.0031,3,0.0001,30
1447669,0.0039,2,0.0364,30
1472787,0.0031,1,0.0001,30
1501585,0.0031,1,0.0002,30
1510295,0.0029,1,0.0019,30
1512673,0.003,1,0.001,30
1535527,0.003,2,0.0004,30
1543151,0.0025,3,0.0105,30
1553023,0.0031,1,0.0,30
1564408,0.0031,1,0.0009,30
1590895,0.0028,1,0.0035,30
1609711,0.0053,3,0.0349,30
1632127,0.0052,2,0.0413,30
1640147,0.0031,2,0.0001,30
1645590,0.0029,1,0.0031,30
1647088,0.0031,1,0.001,30
1652044,0.0024,5,0.0078,30
1660134,0.003,3,0.0009,30
1669779,0.0052,1,0.0003,30
1702780,0.004,2,0.0118,30
1744489,0.0029,1,0.0018,30
1770450,0.003,1,0.001,30
1889539,0.0178,1,0.0115,30
1971213,0.0023,3,0.0084,30
2041610,0.0027,2,0.0048,30
4904,-0.0265,2,0.0074,90
8670,-0.026,1,0.0024,90
12927,-0.0265,1,0.0061,90
14693,-0.025,1,0.0,90
18926,-0.0182,5,0.0324,90
20520,-0.0358,4,0.0417,90
27904,-0.0269,2,0.0058,90
27996,-0.0248,1,0.0002,90
33185,-0.0273,4,0.0003,90
40704,-0.0257,1,0.0017,90
43196,-0.0253,3,0.0002,90
47111,-0.0246,1,0.0005,90
47217,-0.031,5,0.0191,90
51143,-0.0273,2,0.0091,90
51434,-0.0251,1,0.0,90
62709,-0.0258,1,0.0007,90
68505,-0.0286,2,0.0057,90
73309,-0.0255,1,0.0004,90
73756,-0.025,1,0.0,90
75362,-0.0259,1,0.0011,90
76334,-0.0263,1,0.0001,90
77476,-0.0261,1,0.0052,90
78003,-0.0188,1,0.0029,90
91419,-0.0252,1,0.0,90
91440,-0.0242,1,0.0021,90
92380,-0.027,2,0.0019,90
96021,-0.0263,1,0.0023,90
101830,-0.0258,12,0.0591,90
277135,-0.0255,2,0.0001,90
315293,-0.0207,3,0.0066,90
318154,-0.029,2,0.0084,90
319687,-0.0259,1,0.0051,90
320193,-0.0271,7,0.0308,90
354190,-0.0258,2,0.0011,90
354950,-0.026,1,0.0018,90
708818,-0.0244,1,0.0026,90
718877,-0.0255,2,0.0002,90
723254,-0.0246,1,0.0,90
728535,-0.0253,2,0.0,90
731766,-0.0264,1,0.0064,90
732712,-0.0303,11,0.0314,90
732717,-0.0029,26,0.0709,90
764180,-0.026,1,0.0037,90
771497,-0.0252,1,0.0,90
773840,-0.0254,3,0.0073,90
789019,-0.0322,5,0.0264,90
789570,-0.0281,2,0.006,90
790070,-0.0257,1,0.0014,90
796343,-0.0257,3,0.0003,90
798354,-0.0201,3,0.0074,90
815097,-0.0259,2,0.0049,90
823768,-0.0253,1,0.0001,90
831259,-0.0257,1,0.0019,90
858877,-0.0263,2,0.0048,90
860731,-0.0249,1,0.0011,90
872589,-0.0249,1,0.0013,90
877890,-0.024,3,0.001,90
892553,-0.0243,1,0.0015,90
896878,-0.0255,78,0.0053,90
908937,-0.0412,15,0.0186,90
920522,-0.0246,1,0.0,90
920760,-0.0254,1,0.0007,90
943452,-0.0254,1,0.0005,90
1000228,-0.0243,1,0.001,90
1001082,-0.0475,2,0.0166,90
1001250,-0.0285,3,0.0033,90
1002517,-0.0245,1,0.0009,90
1041061,-0.0172,1,0.004,90
1048911,-0.0256,1,0.0007,90
1051470,-0.0265,2,0.0028,90
1058290,-0.0254,1,0.0,90
1060391,-0.0193,5,0.0058,90
1067837,-0.0253,1,0.0,90
