window,sensitivity,y,n,G,G1,coef,se_hc3,p_hc3,se_cv1,p_cv1,se_cv3,p_cv3,ci_cv3_lo,ci_cv3_hi,mde80_cv3,treated_mean,control_mean,p_wcr,B_wcr,row_type,hc3_status
30,year FE (reported year),exec_departure_30_rd,405,119,13,0.0061,0.0247,0.8046,0.0221,0.7824,0.0306,0.8418,-0.0544,0.0666,0.0863,0.0367,0.0439,0.8045,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
30,two-digit SIC FE,exec_departure_30_rd,405,119,13,0.0382,0.0219,0.0817,0.0224,0.0904,0.0343,0.2675,-0.0297,0.1062,0.0969,0.0367,0.0439,0.1682,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
30,breach_date anchor,exec_departure_30_bd,405,119,13,-0.0188,0.0333,0.5729,0.0337,0.578,0.0392,0.6324,-0.0963,0.0588,0.1106,0.055,0.0574,0.5949,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
30,excluding pre-announced departures,exec_departure_nopre_30_rd,405,119,13,0.0167,0.0235,0.4788,0.0242,0.4917,0.0308,0.5889,-0.0442,0.0776,0.0869,0.0367,0.0372,0.5436,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
30,excluding the F2 baseline control,exec_departure_30_rd,405,119,13,0.003,0.0255,0.9054,0.025,0.9035,0.0322,0.9252,-0.0608,0.0668,0.091,0.0367,0.0439,0.9152,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
30,restatement-dated outcome (rs),rs_exec_departure_30_rd,405,119,13,0.0337,0.031,0.2769,0.0432,0.437,0.0596,0.5729,-0.0843,0.1517,0.1684,0.0642,0.0439,0.677,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
30,"recall-corrected, audit point estimates (r_T=0.842, r_C=0.750)",y_corr,405,119,13,-0.0003,0.0329,0.9922,0.0323,0.9921,0.0437,0.9942,-0.0869,0.0863,0.1236,0.0436,0.0586,0.9931,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
30,"recall-corrected, treated recall at CI low / control at CI high (r_T=0.604, r_C=0.927)",y_corr,405,119,13,0.0216,0.0341,0.5271,0.0324,0.5062,0.0444,0.6276,-0.0664,0.1096,0.1255,0.0608,0.0474,0.5893,9999,BOUNDING EXERCISE (recall CI endpoints; not an estimate),DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
30,"recall-corrected, treated recall at CI high / control at CI low (r_T=0.966, r_C=0.476)",y_corr,405,119,13,-0.0268,0.0456,0.5573,0.0458,0.5597,0.0621,0.6667,-0.1498,0.0961,0.1754,0.038,0.0923,0.6139,9999,BOUNDING EXERCISE (recall CI endpoints; not an estimate),DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
90,year FE (reported year),exec_departure_90_rd,405,119,13,-0.0164,0.0458,0.7202,0.045,0.7155,0.0712,0.818,-0.1575,0.1246,0.2012,0.1009,0.1453,0.7497,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
